stage,imputer,model,missing_rate,replicate,fold,f1_macro,bal_acc,n_train,n_test,train_class_distribution,test_class_distribution,n_unique_predictions,degenerate_single_class_preds,seed
classification,SimpleMean,EnsembleSoft,0.1,0,1,0.871758103008103,0.8669630601771493,1072,536,"{'Basal': 140, 'Her2': 149, 'LumA': 466, 'LumB': 317}","{'Basal': 69, 'Her2': 75, 'LumA': 234, 'LumB': 158}",4,False,1052
classification,SimpleMean,EnsembleSoft,0.1,0,2,0.8729023465865571,0.8600063750804702,1072,536,"{'Basal': 139, 'Her2': 150, 'LumA': 467, 'LumB': 316}","{'Basal': 70, 'Her2': 74, 'LumA': 233, 'LumB': 159}",4,False,1052
classification,SimpleMean,EnsembleSoft,0.1,0,3,0.8810629226049476,0.86437885949186,1072,536,"{'Basal': 139, 'Her2': 149, 'LumA': 467, 'LumB': 317}","{'Basal': 70, 'Her2': 75, 'LumA': 233, 'LumB': 158}",4,False,1052
classification,"KNN(k=5,dist)",EnsembleSoft,0.1,0,1,0.8783882903358424,0.8746575316690891,1072,536,"{'Basal': 140, 'Her2': 149, 'LumA': 466, 'LumB': 317}","{'Basal': 69, 'Her2': 75, 'LumA': 234, 'LumB': 158}",4,False,1052
classification,"KNN(k=5,dist)",EnsembleSoft,0.1,0,2,0.8664318160749049,0.8541614465940321,1072,536,"{'Basal': 139, 'Her2': 150, 'LumA': 467, 'LumB': 316}","{'Basal': 70, 'Her2': 74, 'LumA': 233, 'LumB': 159}",4,False,1052
classification,"KNN(k=5,dist)",EnsembleSoft,0.1,0,3,0.8805736456190338,0.8636584425697263,1072,536,"{'Basal': 139, 'Her2': 149, 'LumA': 467, 'LumB': 317}","{'Basal': 70, 'Her2': 75, 'LumA': 233, 'LumB': 158}",4,False,1052
classification,RFECA_SVR(k=5),EnsembleSoft,0.1,0,1,0.8774417758712061,0.872326766671841,1072,536,"{'Basal': 140, 'Her2': 149, 'LumA': 466, 'LumB': 317}","{'Basal': 69, 'Her2': 75, 'LumA': 234, 'LumB': 158}",4,False,1052
classification,RFECA_SVR(k=5),EnsembleSoft,0.1,0,2,0.8788110274222679,0.8670623291523769,1072,536,"{'Basal': 139, 'Her2': 150, 'LumA': 467, 'LumB': 316}","{'Basal': 70, 'Her2': 74, 'LumA': 233, 'LumB': 159}",4,False,1052
classification,RFECA_SVR(k=5),EnsembleSoft,0.1,0,3,0.8747954132621022,0.8590683797830535,1072,536,"{'Basal': 139, 'Her2': 149, 'LumA': 467, 'LumB': 317}","{'Basal': 70, 'Her2': 75, 'LumA': 233, 'LumB': 158}",4,False,1052
classification,SimpleMean,EnsembleSoft,0.1,1,1,0.8666572592404949,0.8633651082605402,1072,536,"{'Basal': 140, 'Her2': 149, 'LumA': 466, 'LumB': 317}","{'Basal': 69, 'Her2': 75, 'LumA': 234, 'LumB': 158}",4,False,1053
classification,SimpleMean,EnsembleSoft,0.1,1,2,0.8649708498951248,0.8510646603245193,1072,536,"{'Basal': 139, 'Her2': 150, 'LumA': 467, 'LumB': 316}","{'Basal': 70, 'Her2': 74, 'LumA': 233, 'LumB': 159}",4,False,1053
classification,SimpleMean,EnsembleSoft,0.1,1,3,0.8813010663730089,0.8692521478630024,1072,536,"{'Basal': 139, 'Her2': 149, 'LumA': 467, 'LumB': 317}","{'Basal': 70, 'Her2': 75, 'LumA': 233, 'LumB': 158}",4,False,1053
classification,"KNN(k=5,dist)",EnsembleSoft,0.1,1,1,0.8879174896899967,0.8844887552977811,1072,536,"{'Basal': 140, 'Her2': 149, 'LumA': 466, 'LumB': 317}","{'Basal': 69, 'Her2': 75, 'LumA': 234, 'LumB': 158}",4,False,1053
classification,"KNN(k=5,dist)",EnsembleSoft,0.1,1,2,0.8778171351700764,0.86591677659173,1072,536,"{'Basal': 139, 'Her2': 150, 'LumA': 467, 'LumB': 316}","{'Basal': 70, 'Her2': 74, 'LumA': 233, 'LumB': 159}",4,False,1053
classification,"KNN(k=5,dist)",EnsembleSoft,0.1,1,3,0.8786362492801592,0.8610575298734694,1072,536,"{'Basal': 139, 'Her2': 149, 'LumA': 467, 'LumB': 317}","{'Basal': 70, 'Her2': 75, 'LumA': 233, 'LumB': 158}",4,False,1053
classification,RFECA_SVR(k=5),EnsembleSoft,0.1,1,1,0.8740909879285063,0.8684171335299568,1072,536,"{'Basal': 140, 'Her2': 149, 'LumA': 466, 'LumB': 317}","{'Basal': 69, 'Her2': 75, 'LumA': 234, 'LumB': 158}",4,False,1053
classification,RFECA_SVR(k=5),EnsembleSoft,0.1,1,2,0.8689304687913952,0.8565147314175576,1072,536,"{'Basal': 139, 'Her2': 150, 'LumA': 467, 'LumB': 316}","{'Basal': 70, 'Her2': 74, 'LumA': 233, 'LumB': 159}",4,False,1053
classification,RFECA_SVR(k=5),EnsembleSoft,0.1,1,3,0.8785134776473643,0.8626398083544821,1072,536,"{'Basal': 139, 'Her2': 149, 'LumA': 467, 'LumB': 317}","{'Basal': 70, 'Her2': 75, 'LumA': 233, 'LumB': 158}",4,False,1053
