stage,imputer,missing_rate,replicate,fold,n_train,n_test,train_test_overlap,imputer_object_id,correlation_source,has_corr_csv_path
imputation,SimpleMean,0.1,0,1,1072,536,0,1764227279888,n/a,False
imputation,SimpleMean,0.1,0,2,1072,536,0,1764227277328,n/a,False
imputation,SimpleMean,0.1,0,3,1072,536,0,1764224423344,n/a,False
imputation,"KNN(k=5,dist)",0.1,0,1,1072,536,0,1764227280208,n/a,False
imputation,"KNN(k=5,dist)",0.1,0,2,1072,536,0,1764227280528,n/a,False
imputation,"KNN(k=5,dist)",0.1,0,3,1072,536,0,1764227051776,n/a,False
imputation,RFECA_SVR(k=5),0.1,0,1,1072,536,0,1764227281488,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.1,0,2,1072,536,0,1764227282448,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.1,0,3,1072,536,0,1764227052080,training_fold_X.corr(),False
classification,SimpleMean,0.1,0,1,1072,536,0,1764227828912,n/a,False
classification,SimpleMean,0.1,0,2,1072,536,0,1764227829792,n/a,False
classification,SimpleMean,0.1,0,3,1072,536,0,1764227831200,n/a,False
classification,"KNN(k=5,dist)",0.1,0,1,1072,536,0,1764227052688,n/a,False
classification,"KNN(k=5,dist)",0.1,0,2,1072,536,0,1764228008848,n/a,False
classification,"KNN(k=5,dist)",0.1,0,3,1072,536,0,1764227883600,n/a,False
classification,RFECA_SVR(k=5),0.1,0,1,1072,536,0,1764228783616,training_fold_X.corr(),False
classification,RFECA_SVR(k=5),0.1,0,2,1072,536,0,1764228012304,training_fold_X.corr(),False
classification,RFECA_SVR(k=5),0.1,0,3,1072,536,0,1764227884144,training_fold_X.corr(),False
imputation,SimpleMean,0.1,1,1,1072,536,0,1764227832432,n/a,False
imputation,SimpleMean,0.1,1,2,1072,536,0,1764227830848,n/a,False
imputation,SimpleMean,0.1,1,3,1072,536,0,1764227832256,n/a,False
imputation,"KNN(k=5,dist)",0.1,1,1,1072,536,0,1764227884416,n/a,False
imputation,"KNN(k=5,dist)",0.1,1,2,1072,536,0,1764227478608,n/a,False
imputation,"KNN(k=5,dist)",0.1,1,3,1072,536,0,1764227480144,n/a,False
imputation,RFECA_SVR(k=5),0.1,1,1,1072,536,0,1764227885232,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.1,1,2,1072,536,0,1764227480656,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.1,1,3,1072,536,0,1764280435536,training_fold_X.corr(),False
classification,SimpleMean,0.1,1,1,1072,536,0,1764227832960,n/a,False
classification,SimpleMean,0.1,1,2,1072,536,0,1764227829264,n/a,False
classification,SimpleMean,0.1,1,3,1072,536,0,1764227832784,n/a,False
classification,"KNN(k=5,dist)",0.1,1,1,1072,536,0,1764228231200,n/a,False
classification,"KNN(k=5,dist)",0.1,1,2,1072,536,0,1764228229520,n/a,False
classification,"KNN(k=5,dist)",0.1,1,3,1072,536,0,1764299987376,n/a,False
classification,RFECA_SVR(k=5),0.1,1,1,1072,536,0,1764228226160,training_fold_X.corr(),False
classification,RFECA_SVR(k=5),0.1,1,2,1072,536,0,1764228220400,training_fold_X.corr(),False
classification,RFECA_SVR(k=5),0.1,1,3,1072,536,0,1764301015088,training_fold_X.corr(),False
