mechanism,gene,mean_prefix,mean_n_features,mean_rmse
mar,ACTR3B,43.8,21.8,0.557395813278532
mar,ANLN,39.4,19.4,0.30985637549716805
mar,BAG1,44.8,22.0,0.31814078716622374
mar,BCL2,47.8,23.6,0.6889756639268094
mar,BIRC5,42.0,20.8,0.5340440540393694
mar,BLVRA,42.0,21.0,0.6321305974214706
mar,CCNB1,45.8,22.6,0.3513067040905117
mar,CCNE1,45.6,22.8,0.5056040042854293
mar,CDC20,44.8,22.2,0.38734847700811814
mar,CDC6,19.2,9.4,0.23767036780041234
mar,CDH3,46.2,22.8,0.8678363123649475
mar,CENPF,45.6,22.6,0.3939839099241425
mar,CEP55,45.6,22.6,0.28804882723830666
mar,CXXC5,46.4,23.0,0.5594889876360389
mar,EGFR,45.6,22.6,0.6522129860744718
mar,ERBB2,48.4,23.8,0.5667758735078974
mar,ESR1,45.2,22.4,0.9602476735061197
mar,EXO1,40.8,20.2,0.301452300675085
mar,FGFR4,47.6,23.4,0.8271742484769099
mar,FOXA1,44.2,21.8,0.6323307884055511
mar,FOXC1,46.6,23.0,0.7689958894557936
mar,GPR160,45.6,22.6,0.6183558508840215
mar,GRB7,31.0,15.2,0.523537664368788
mar,KIF2C,28.8,14.2,0.26274640452683506
mar,KRT14,46.4,23.0,0.7383154234251659
mar,KRT17,8.8,4.4,0.8147319987122339
mar,KRT5,40.8,20.2,0.6370496035720621
mar,MAPT,47.0,23.4,1.1015799420338976
mar,MDM2,46.2,22.8,0.22009750508058187
mar,MELK,32.0,15.8,0.37241780091477483
mar,MIA,46.4,23.0,0.4758886886820254
mar,MKI67,46.0,22.6,0.22494735620084913
mar,MLPH,47.2,23.2,0.6647662578279585
mar,MMP11,41.0,20.4,1.3302274157608802
mar,MYBL2,26.8,13.0,0.17081301420978806
mar,MYC,48.6,24.0,0.8500251018268571
mar,NAT1,46.0,22.8,1.2240455882200079
mar,NDC80,44.2,21.8,0.2382032535447657
mar,NUF2,41.4,20.6,0.2909114129267582
mar,ORC6,45.2,22.2,0.3851637836768343
mar,PGR,45.2,22.4,0.8264320857547048
mar,PHGDH,49.0,24.0,0.9426583126018558
mar,PTTG1,48.6,24.0,0.38855397835131533
mar,RRM2,48.0,23.6,0.34076109805040206
mar,SFRP1,42.2,20.8,1.0240937982774778
mar,SLC39A6,48.4,23.8,0.9796857564177268
mar,TMEM45B,44.0,22.0,0.5153371653828941
mar,TYMS,46.6,23.0,0.4817157884135665
mar,UBE2C,46.2,22.8,0.412348858861345
mar,UBE2T,40.6,20.2,0.37363846449743576
mcar,ACTR3B,42.8,21.0,0.5105968495568962
mcar,ANLN,40.0,19.8,0.29048091177899704
mcar,BAG1,44.0,22.0,0.2912331007628707
mcar,BCL2,47.4,23.4,0.6596265942658119
mcar,BIRC5,42.4,21.2,0.49205866076413474
mcar,BLVRA,43.4,21.4,0.5993943772134023
mcar,CCNB1,47.6,23.4,0.3603325870821559
mcar,CCNE1,47.0,23.2,0.4585360215883453
mcar,CDC20,41.2,20.2,0.37226799696185014
mcar,CDC6,26.8,13.0,0.20983269227215023
mcar,CDH3,48.4,23.8,0.8193578358817479
mcar,CENPF,44.8,22.2,0.41896443068871125
mcar,CEP55,45.8,22.8,0.2760104118423748
mcar,CXXC5,48.6,24.0,0.5614031490529843
mcar,EGFR,43.2,21.4,0.5677189820744403
mcar,ERBB2,43.0,21.4,0.5205829206428533
mcar,ESR1,43.0,21.4,0.9239365396154957
mcar,EXO1,40.6,20.2,0.30604536492288525
mcar,FGFR4,48.0,23.8,0.8770285304189805
mcar,FOXA1,43.4,21.4,0.5460776659800276
mcar,FOXC1,47.4,23.4,0.7332628568530861
mcar,GPR160,46.0,22.8,0.5639898311194018
mcar,GRB7,39.8,19.6,0.4848731652164859
mcar,KIF2C,47.0,23.2,0.24131288928640976
mcar,KRT14,43.6,21.4,0.6648052447311773
mcar,KRT17,7.6,3.8,0.7622912156691579
mcar,KRT5,47.8,23.6,0.5749911928958813
mcar,MAPT,45.4,22.2,1.0691646733508562
mcar,MDM2,36.2,17.8,0.21998415990296313
mcar,MELK,46.0,22.8,0.3765111114680832
mcar,MIA,45.4,22.6,0.46134179579599993
mcar,MKI67,47.4,23.6,0.2103071948912994
mcar,MLPH,47.6,23.4,0.6448271409392693
mcar,MMP11,45.0,22.2,1.2636419547510735
mcar,MYBL2,27.4,13.6,0.1632409521635584
mcar,MYC,48.0,23.6,0.8204883876504674
mcar,NAT1,47.2,23.6,1.2387848144289404
mcar,NDC80,41.8,20.8,0.23228954388363915
mcar,NUF2,46.6,23.0,0.27880701524062285
mcar,ORC6,48.2,23.8,0.38264960174109225
mcar,PGR,45.6,22.8,0.8529447209351166
mcar,PHGDH,47.0,23.0,0.9008795601650655
mcar,PTTG1,48.4,23.8,0.3691008494359213
mcar,RRM2,45.6,22.6,0.3501621114612775
mcar,SFRP1,39.8,19.6,0.9595442354138306
mcar,SLC39A6,48.0,23.8,0.9578375031361626
mcar,TMEM45B,46.0,22.8,0.5057096906043377
mcar,TYMS,46.2,23.0,0.49471620080157974
mcar,UBE2C,47.0,23.4,0.3968758850703059
mcar,UBE2T,43.0,21.2,0.3720268569024695
