stage,imputer,model,missing_rate,replicate,fold,f1_macro,bal_acc,n_train,n_test,train_class_distribution,test_class_distribution,n_unique_predictions,degenerate_single_class_preds,f1_LumA,precision_LumA,recall_LumA,f1_LumB,precision_LumB,recall_LumB,f1_Her2,precision_Her2,recall_Her2,f1_Basal,precision_Basal,recall_Basal,seed,mechanism,imputer_display,protocol,source_artifact
classification,SimpleMean,EnsembleSoft,0.05,0,1,0.8765578207354562,0.8812343358395991,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.906367041198502,0.952755905511811,0.8642857142857143,0.8811881188118812,0.8317757009345794,0.936842105263158,0.8297872340425532,0.7959183673469388,0.8666666666666667,0.8888888888888888,0.9230769230769232,0.8571428571428571,1047,mcar,Mean,imputer_within_cv,metabric_full_20260724_185916
classification,SimpleMean,EnsembleSoft,0.05,0,2,0.9019933325724286,0.8897974101921471,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9423728813559322,0.896774193548387,0.9928571428571428,0.9111111111111112,0.9647058823529412,0.8631578947368421,0.8409090909090909,0.8604651162790697,0.8222222222222222,0.9135802469135802,0.9487179487179488,0.8809523809523809,1047,mcar,Mean,imputer_within_cv,metabric_full_20260724_185916
classification,SimpleMean,EnsembleSoft,0.05,0,3,0.8837318431246817,0.8807226399331664,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9361702127659576,0.9295774647887324,0.9428571428571428,0.8783068783068783,0.8829787234042553,0.8736842105263158,0.7692307692307693,0.7608695652173914,0.7777777777777778,0.951219512195122,0.975,0.9285714285714286,1047,mcar,Mean,imputer_within_cv,metabric_full_20260724_185916
classification,SimpleMean,EnsembleSoft,0.05,0,4,0.8734173427800249,0.8670978768058358,1287,321,"{'Basal': 168, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 41, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9257950530035336,0.916083916083916,0.9357142857142856,0.8854166666666666,0.8762886597938144,0.8947368421052632,0.7441860465116279,0.7804878048780488,0.7111111111111111,0.9382716049382716,0.95,0.926829268292683,1047,mcar,Mean,imputer_within_cv,metabric_full_20260724_185916
classification,SimpleMean,EnsembleSoft,0.05,0,5,0.8633471341610301,0.8388214855320119,1287,321,"{'Basal': 167, 'Her2': 180, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 44, 'LumA': 140, 'LumB': 95}",4,False,0.9152542372881356,0.8709677419354839,0.9642857142857144,0.8645833333333334,0.8556701030927835,0.8736842105263158,0.7368421052631579,0.875,0.6363636363636364,0.9367088607594936,1.0,0.8809523809523809,1047,mcar,Mean,imputer_within_cv,metabric_full_20260724_185916
classification,"KNN(k=5,dist)",EnsembleSoft,0.05,0,1,0.8680918519922717,0.8686403508771929,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.906367041198502,0.952755905511811,0.8642857142857143,0.8878048780487805,0.8272727272727273,0.9578947368421052,0.8210526315789474,0.78,0.8666666666666667,0.8571428571428571,0.9428571428571428,0.7857142857142857,1047,mcar,KNN,imputer_within_cv,metabric_full_20260724_185916
classification,"KNN(k=5,dist)",EnsembleSoft,0.05,0,2,0.9016996606028344,0.8906432748538012,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9452054794520548,0.9078947368421052,0.9857142857142858,0.907103825136612,0.9431818181818182,0.8736842105263158,0.8409090909090909,0.8604651162790697,0.8222222222222222,0.9135802469135802,0.9487179487179488,0.8809523809523809,1047,mcar,KNN,imputer_within_cv,metabric_full_20260724_185916
classification,"KNN(k=5,dist)",EnsembleSoft,0.05,0,3,0.8764106798691639,0.8728279030910611,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9295774647887324,0.9166666666666666,0.9428571428571428,0.8556149732620321,0.8695652173913043,0.8421052631578947,0.7692307692307693,0.7608695652173914,0.7777777777777778,0.951219512195122,0.975,0.9285714285714286,1047,mcar,KNN,imputer_within_cv,metabric_full_20260724_185916
classification,"KNN(k=5,dist)",EnsembleSoft,0.05,0,4,0.8703265677789553,0.8653121625201216,1287,321,"{'Basal': 168, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 41, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9219858156028368,0.9154929577464788,0.9285714285714286,0.8854166666666666,0.8762886597938144,0.8947368421052632,0.735632183908046,0.7619047619047619,0.7111111111111111,0.9382716049382716,0.95,0.926829268292683,1047,mcar,KNN,imputer_within_cv,metabric_full_20260724_185916
classification,"KNN(k=5,dist)",EnsembleSoft,0.05,0,5,0.8687744257919647,0.8453491683754842,1287,321,"{'Basal': 167, 'Her2': 180, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 44, 'LumA': 140, 'LumB': 95}",4,False,0.9146757679180888,0.8758169934640523,0.9571428571428572,0.8704663212435233,0.8571428571428571,0.8842105263157894,0.7532467532467533,0.8787878787878788,0.6590909090909091,0.9367088607594936,1.0,0.8809523809523809,1047,mcar,KNN,imputer_within_cv,metabric_full_20260724_185916
classification,MissForest,EnsembleSoft,0.05,0,1,0.8658833761312852,0.8660087719298245,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9029850746268656,0.9453125,0.8642857142857143,0.8823529411764706,0.8256880733944955,0.9473684210526316,0.8210526315789474,0.78,0.8666666666666667,0.8571428571428571,0.9428571428571428,0.7857142857142857,1047,mcar,MissForest,imputer_within_cv,metabric_full_20260724_185916
classification,MissForest,EnsembleSoft,0.05,0,2,0.897024639034514,0.8842418546365916,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9423728813559322,0.896774193548387,0.9928571428571428,0.9060773480662984,0.9534883720930232,0.8631578947368421,0.8372093023255814,0.8780487804878049,0.8,0.902439024390244,0.925,0.8809523809523809,1047,mcar,MissForest,imputer_within_cv,metabric_full_20260724_185916
classification,MissForest,EnsembleSoft,0.05,0,3,0.8808435353828674,0.8771512113617378,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9252669039145908,0.9219858156028368,0.9285714285714286,0.8691099476439791,0.8645833333333334,0.8736842105263158,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.951219512195122,0.975,0.9285714285714286,1047,mcar,MissForest,imputer_within_cv,metabric_full_20260724_185916
classification,MissForest,EnsembleSoft,0.05,0,4,0.8685768595479322,0.8615423212502803,1287,321,"{'Basal': 168, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 41, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9257950530035336,0.916083916083916,0.9357142857142856,0.8808290155440415,0.8673469387755102,0.8947368421052632,0.7294117647058823,0.775,0.6888888888888889,0.9382716049382716,0.95,0.926829268292683,1047,mcar,MissForest,imputer_within_cv,metabric_full_20260724_185916
classification,MissForest,EnsembleSoft,0.05,0,5,0.8725302481961179,0.8471348826611985,1287,321,"{'Basal': 167, 'Her2': 180, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 44, 'LumA': 140, 'LumB': 95}",4,False,0.9152542372881356,0.8709677419354839,0.9642857142857144,0.875,0.865979381443299,0.8842105263157894,0.7631578947368421,0.90625,0.6590909090909091,0.9367088607594936,1.0,0.8809523809523809,1047,mcar,MissForest,imputer_within_cv,metabric_full_20260724_185916
