stage,imputer,model,missing_rate,replicate,fold,f1_macro,bal_acc,n_train,n_test,train_class_distribution,test_class_distribution,n_unique_predictions,degenerate_single_class_preds,f1_LumA,precision_LumA,recall_LumA,f1_LumB,precision_LumB,recall_LumB,f1_Her2,precision_Her2,recall_Her2,f1_Basal,precision_Basal,recall_Basal,seed,protocol,imputer_display,mechanism
classification,OriginalRFECA,EnsembleSoft,0.05,0,1,0.8717160609877486,0.8695802005012531,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9044117647058824,0.9318181818181818,0.8785714285714286,0.8955223880597015,0.8490566037735849,0.9473684210526316,0.8297872340425532,0.7959183673469388,0.8666666666666667,0.8571428571428571,0.9428571428571428,0.7857142857142857,50042,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,EnsembleSoft,0.05,0,2,0.8942922214864506,0.8831453634085213,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9387755102040816,0.8961038961038961,0.9857142857142858,0.8839779005524862,0.9302325581395348,0.8421052631578947,0.8275862068965517,0.8571428571428571,0.8,0.926829268292683,0.95,0.9047619047619048,50042,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,EnsembleSoft,0.05,0,3,0.872302723157831,0.8684106098579784,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9192982456140352,0.903448275862069,0.9357142857142856,0.8494623655913979,0.8681318681318682,0.8315789473684211,0.7692307692307693,0.7608695652173914,0.7777777777777778,0.951219512195122,0.975,0.9285714285714286,50042,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,EnsembleSoft,0.05,0,4,0.8729770783587809,0.86794374146749,1287,321,"{'Basal': 168, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 41, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.931899641577061,0.935251798561151,0.9285714285714286,0.8775510204081632,0.8514851485148515,0.9052631578947368,0.7441860465116279,0.7804878048780488,0.7111111111111111,0.9382716049382716,0.95,0.926829268292683,50042,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,EnsembleSoft,0.05,0,5,0.8776225284204007,0.855291638186375,1287,321,"{'Basal': 167, 'Her2': 180, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 44, 'LumA': 140, 'LumB': 95}",4,False,0.918918918918919,0.8717948717948718,0.9714285714285714,0.8723404255319149,0.8817204301075269,0.8631578947368421,0.7692307692307693,0.8823529411764706,0.6818181818181818,0.95,1.0,0.9047619047619048,50042,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,SVC,0.05,0,1,0.858151319879286,0.8532163742690059,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9022556390977444,0.9523809523809524,0.8571428571428571,0.8720379146919431,0.7931034482758621,0.968421052631579,0.7865168539325843,0.7954545454545454,0.7777777777777778,0.8717948717948718,0.9444444444444444,0.8095238095238095,50042,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,SVC,0.05,0,2,0.9115823484972436,0.895749791144528,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9423728813559322,0.896774193548387,0.9928571428571428,0.8961748633879781,0.9318181818181818,0.8631578947368421,0.8809523809523809,0.9487179487179488,0.8222222222222222,0.926829268292683,0.95,0.9047619047619048,50042,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,SVC,0.05,0,3,0.8717281545498924,0.8651942355889723,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9225352112676056,0.9097222222222222,0.9357142857142856,0.8631578947368421,0.8631578947368421,0.8631578947368421,0.75,0.7674418604651163,0.7333333333333333,0.951219512195122,0.975,0.9285714285714286,50042,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,SVC,0.05,0,4,0.8794437894118268,0.8743451616846996,1287,321,"{'Basal': 168, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 41, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9347826086956522,0.9485294117647058,0.9214285714285714,0.8743718592964824,0.8365384615384616,0.9157894736842104,0.7586206896551724,0.7857142857142857,0.7333333333333333,0.95,0.9743589743589745,0.926829268292683,50042,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,SVC,0.05,0,5,0.8812935155806271,0.8615487582592846,1287,321,"{'Basal': 167, 'Her2': 180, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 44, 'LumA': 140, 'LumB': 95}",4,False,0.9246575342465754,0.8881578947368421,0.9642857142857144,0.8736842105263158,0.8736842105263158,0.8736842105263158,0.7901234567901234,0.8648648648648649,0.7272727272727273,0.9367088607594936,1.0,0.8809523809523809,50042,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,LogReg,0.05,0,1,0.8738832315647084,0.8751253132832081,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.8970588235294118,0.9242424242424242,0.8714285714285714,0.8686868686868687,0.8349514563106796,0.9052631578947368,0.8297872340425532,0.7959183673469388,0.8666666666666667,0.9,0.9473684210526316,0.8571428571428571,50042,post_target_wise_impute,RFECA,mcar
