imputer,source_imputer,mechanism,missing_rate,model,f1_mean,f1_std,bal_mean,bal_std,n_rows,protocol
KNN,"KNN(k=5,dist)",mar,0.05,EnsembleSoft,0.8803363082962822,0.013769226688709342,0.8702920596020725,0.014443011572191996,50,imputer_within_cv
KNN,"KNN(k=5,dist)",mar,0.1,EnsembleSoft,0.8778545991857503,0.014086175062295935,0.8680423254181278,0.014730124975486739,50,imputer_within_cv
KNN,"KNN(k=5,dist)",mar,0.2,EnsembleSoft,0.8721681465435438,0.01456273535547623,0.8621136891563721,0.016807878804321188,50,imputer_within_cv
KNN,"KNN(k=5,dist)",mar,0.2,GB,0.8563545121769524,0.018267462458994476,0.8453428610328482,0.02035521282507675,50,imputer_within_cv
KNN,"KNN(k=5,dist)",mar,0.2,LogReg,0.8587710608676083,0.01408313231181576,0.8551856169433191,0.01404711795581074,50,imputer_within_cv
KNN,"KNN(k=5,dist)",mar,0.2,RF,0.853230123022176,0.015589805464793164,0.8370017579054806,0.01772552050940868,50,imputer_within_cv
KNN,"KNN(k=5,dist)",mar,0.2,SVC,0.8695229057655873,0.013944830464340592,0.8592673618636391,0.014387137694254041,50,imputer_within_cv
KNN,"KNN(k=5,dist)",mar,0.3,EnsembleSoft,0.8482454233955332,0.017576613076590128,0.8380687893977368,0.020109717138331745,50,imputer_within_cv
KNN,"KNN(k=5,dist)",mar,0.3,GB,0.832811894426529,0.019554849691587706,0.8211605357629107,0.021309343253035448,50,imputer_within_cv
KNN,"KNN(k=5,dist)",mar,0.3,LogReg,0.8382796487418183,0.015788290017453407,0.8343217092064974,0.017110631794311396,50,imputer_within_cv
KNN,"KNN(k=5,dist)",mar,0.3,RF,0.8332602138768729,0.01835417773105872,0.816189372637062,0.020875584217897585,50,imputer_within_cv
KNN,"KNN(k=5,dist)",mar,0.3,SVC,0.8475962732266297,0.018066848808592835,0.836635400863578,0.020079638106571297,50,imputer_within_cv
Mean,SimpleMean,mar,0.05,EnsembleSoft,0.8807230463647767,0.014271484721750227,0.8709846637102734,0.015940029921229424,50,imputer_within_cv
Mean,SimpleMean,mar,0.1,EnsembleSoft,0.8743290626841953,0.014117774064203326,0.8652054267227567,0.0165262040426851,50,imputer_within_cv
Mean,SimpleMean,mar,0.2,EnsembleSoft,0.8635717320954565,0.01599457825274251,0.8540339809242248,0.01704657782661135,50,imputer_within_cv
Mean,SimpleMean,mar,0.2,GB,0.8434380322299311,0.018389857292576528,0.831339406813412,0.020587624990648076,50,imputer_within_cv
Mean,SimpleMean,mar,0.2,LogReg,0.8510318073387196,0.017935999993900824,0.8478851253225451,0.0182390885855496,50,imputer_within_cv
Mean,SimpleMean,mar,0.2,RF,0.8485383566328164,0.01504823574104262,0.8314673453774866,0.01753263699257029,50,imputer_within_cv
Mean,SimpleMean,mar,0.2,SVC,0.8624073237031266,0.015064275843657115,0.8526134923413485,0.016978226880941808,50,imputer_within_cv
Mean,SimpleMean,mar,0.3,EnsembleSoft,0.84802008519513,0.020233082188741175,0.83789716438176,0.021524815649423244,50,imputer_within_cv
