gene,status,winning_prefix_len,n_predictors_selected,winning_predictors,selection_seconds,n_candidates
ACTR3B,ok,48,24,FOXA1|FOXC1|MIA|CXXC5|CCNE1|MELK|KRT5|EXO1|ANLN|BLVRA|CEP55|CDH3|NDC80|MKI67|PTTG1|RRM2|ERBB2|KRT14|MYBL2|MDM2|BAG1|FGFR4|CDC6|GRB7,1377.9339561000015,49
ANLN,ok,27,13,MELK|CEP55|UBE2T|EXO1|NDC80|KIF2C|NUF2|CCNB1|RRM2|BCL2|EGFR|CDH3|CXXC5,1290.2981488000005,49
BAG1,ok,48,24,SLC39A6|BCL2|PHGDH|MMP11|MLPH|CDC20|FOXA1|MDM2|SFRP1|KIF2C|ERBB2|CEP55|ORC6|CENPF|CCNB1|GRB7|MKI67|CDC6|MELK|RRM2|ANLN|BLVRA|NDC80|TYMS,1696.3196762000007,49
BCL2,ok,49,24,ESR1|SLC39A6|EXO1|CDH3|ANLN|MELK|EGFR|KIF2C|MLPH|FOXA1|UBE2C|CEP55|RRM2|UBE2T|BAG1|CENPF|NDC80|MKI67|MIA|TYMS|CCNB1|MYBL2|MYC|ORC6,1025.6338172999967,49
BIRC5,ok,42,21,KIF2C|CDC20|UBE2C|CEP55|EXO1|MELK|CCNE1|MKI67|ANLN|CCNB1|MLPH|GPR160|PGR|FOXC1|CDC6|EGFR|MIA|KRT14|BLVRA|GRB7|TMEM45B,1182.4920106999998,49
BLVRA,ok,46,23,GPR160|FOXA1|ACTR3B|MLPH|SLC39A6|PGR|ESR1|MYC|KIF2C|CENPF|MKI67|TYMS|BIRC5|MAPT|CCNB1|UBE2C|BCL2|FGFR4|MDM2|ANLN|NDC80|NUF2|MYBL2,1245.3663777000038,49
CCNB1,ok,42,21,NDC80|PTTG1|UBE2C|CEP55|BIRC5|CENPF|NUF2|UBE2T|MELK|TYMS|MKI67|CCNE1|CDC6|MAPT|GRB7|ESR1|MYBL2|FGFR4|PHGDH|BLVRA|MDM2,1348.9805119000011,49
CCNE1,ok,48,24,KIF2C|MELK|EXO1|UBE2C|FOXA1|BIRC5|MLPH|PTTG1|GPR160|NDC80|FOXC1|UBE2T|CCNB1|NUF2|KRT5|CDC6|FGFR4|GRB7|BAG1|ERBB2|ORC6|MYC|KRT14|MDM2,1210.9487775000016,49
CDC20,ok,43,21,KIF2C|UBE2C|CEP55|BIRC5|PTTG1|MELK|CENPF|UBE2T|MLPH|BCL2|GPR160|NUF2|PGR|RRM2|FOXC1|GRB7|MIA|ORC6|BAG1|MYBL2|ERBB2,1373.471622099998,49
CDC6,ok,36,18,EXO1|UBE2C|CEP55|ERBB2|CDC20|CCNE1|CCNB1|ANLN|MKI67|NDC80|RRM2|TYMS|BCL2|MLPH|PHGDH|CDH3|MDM2|FOXA1,1679.2097587000026,49
