gene,rmse,mae,r2,pearson,spearman,n_observed_train,n_masked,winning_prefix_len,n_predictors_selected,winning_predictors,best_oof_rmse,selection_seconds,final_fit_seconds,status,n_candidates,fallback_count,seed,mask_hash,mechanism,missing_rate,replicate,wall_seconds_slot,svr_ok
ACTR3B,0.5719062196682053,0.348836285346564,0.515305554086211,0.7315477946543041,0.4535876742033558,1117,491,45,22,FOXA1|FOXC1|MIA|CCNE1|MELK|EXO1|CEP55|KIF2C|ANLN|BLVRA|MKI67|EGFR|MYC|CDH3|BCL2|PTTG1|SLC39A6|CENPF|RRM2|PGR|MYBL2|FGFR4,0.5303736586777733,1039.86383870001,15.505894500005525,ok,49,0,1317045,a7b8d456896e3063,mar,0.3,1,3394.5062880999903,1
ANLN,0.30980443339650937,0.23234463507849945,0.7674191109426985,0.8796919915941404,0.8893983782710042,1118,490,45,22,MELK|CEP55|EXO1|UBE2C|UBE2T|NDC80|KIF2C|CDC20|MLPH|NUF2|CCNB1|BCL2|EGFR|CXXC5|CDH3|MIA|FOXC1|CDC6|FGFR4|KRT5|MYBL2|BAG1,0.29726821663637026,1086.7564944000042,16.007787700000335,ok,49,0,1317045,a7b8d456896e3063,mar,0.3,1,3394.5062880999903,1
BAG1,0.3094018310646196,0.21880586149973336,0.1383824461957216,0.4001376415362999,0.39820100200993563,1134,474,42,21,SLC39A6|BCL2|PHGDH|MMP11|MLPH|CDC20|MDM2|FOXA1|SFRP1|KIF2C|PTTG1|ERBB2|CEP55|KRT5|RRM2|GRB7|MELK|CDC6|MYBL2|ORC6|ANLN,0.3029764304915733,1392.0602289999952,16.127232400001958,ok,49,0,1317045,a7b8d456896e3063,mar,0.3,1,3394.5062880999903,1
BCL2,0.6878559012547878,0.5359958510224441,0.6190308530209501,0.7879265827266058,0.7790396577981259,1143,465,46,23,ESR1|SLC39A6|EGFR|EXO1|CDH3|MELK|ANLN|PHGDH|KIF2C|FOXA1|MLPH|UBE2C|FGFR4|CEP55|RRM2|UBE2T|BAG1|MKI67|CDC6|TYMS|MIA|MYBL2|BLVRA,0.6504914385900238,845.7055338999926,12.17641860000731,ok,49,0,1317045,a7b8d456896e3063,mar,0.3,1,3394.5062880999903,1
BIRC5,0.5305169946841969,0.3644974745698256,0.7233952785834865,0.8564582794709525,0.8794644130790189,1136,472,18,9,KIF2C|UBE2C|CDC20|CEP55|EXO1|MKI67|CCNE1|ANLN|CCNB1,0.4890153532434979,911.400953400007,1.9149410999962129,ok,49,0,1317045,a7b8d456896e3063,mar,0.3,1,3394.5062880999903,1
BLVRA,0.5910208216354206,0.4522116539133667,0.393943903690116,0.638209631270433,0.6321685037398876,1123,485,43,21,GPR160|ACTR3B|MLPH|MIA|SLC39A6|PGR|CCNE1|ESR1|MKI67|CDC20|CENPF|CCNB1|ERBB2|MAPT|TYMS|UBE2C|MDM2|FGFR4|NUF2|ANLN|GRB7,0.6386325683783756,962.4028095999965,12.627400700002909,ok,49,0,1317045,a7b8d456896e3063,mar,0.3,1,3394.5062880999903,1
CCNB1,0.3556201169100896,0.27395634181736234,0.6835042007664947,0.8271633700118959,0.829187594447987,1129,479,47,23,NDC80|PTTG1|UBE2C|BIRC5|CEP55|CENPF|KIF2C|CDC20|NUF2|UBE2T|MELK|MKI67|TYMS|CCNE1|MAPT|BCL2|MYBL2|PHGDH|ORC6|BLVRA|CXXC5|MDM2|ERBB2,0.3531081632993459,1053.7697656000091,17.603212200003327,ok,49,0,1317045,a7b8d456896e3063,mar,0.3,1,3394.5062880999903,1
CCNE1,0.4548005827119278,0.32253802838889534,0.7189080509005918,0.8529822834138466,0.8543531092027445,1134,474,46,23,CDC20|MELK|KIF2C|EXO1|FOXA1|UBE2C|BIRC5|MLPH|MKI67|GPR160|NDC80|EGFR|UBE2T|CCNB1|NUF2|KRT5|CDC6|FGFR4|GRB7|BAG1|MYBL2|MYC|ERBB2,0.4922844453629824,912.897773699995,12.696326299992506,ok,49,0,1317045,a7b8d456896e3063,mar,0.3,1,3394.5062880999903,1
CDC20,0.3909511965280793,0.29737507743341174,0.9089876334477671,0.9536642154362384,0.9561917714503504,1164,444,48,24,KIF2C|UBE2C|BIRC5|PTTG1|MELK|CENPF|MKI67|ANLN|NDC80|UBE2T|MLPH|BCL2|GPR160|PGR|EGFR|FOXC1|RRM2|GRB7|ORC6|CXXC5|BAG1|MYBL2|ERBB2|KRT17,0.366296967168476,1129.312676600006,19.257588399996166,ok,49,0,1317045,a7b8d456896e3063,mar,0.3,1,3394.5062880999903,1
CDC6,0.2098655437849027,0.13355124972330176,0.2172698332663725,0.4905721336462691,0.5099504188197134,1127,481,12,6,EXO1|UBE2C|CEP55|ERBB2|BIRC5|KIF2C,0.2046011151280777,1368.6248778000008,1.512925399991218,ok,49,0,1317045,a7b8d456896e3063,mar,0.3,1,3394.5062880999903,1
