stage,imputer,model,missing_rate,replicate,fold,f1_macro,bal_acc,n_train,n_test,train_class_distribution,test_class_distribution,n_unique_predictions,degenerate_single_class_preds,f1_LumA,precision_LumA,recall_LumA,f1_LumB,precision_LumB,recall_LumB,f1_Her2,precision_Her2,recall_Her2,f1_Basal,precision_Basal,recall_Basal,seed,protocol,imputer_display,mechanism
classification,OriginalRFECA,EnsembleSoft,0.3,4,1,0.8666889793355534,0.8623329156223893,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9124087591240876,0.9328358208955224,0.8928571428571429,0.88,0.8380952380952381,0.9263157894736842,0.8172043010752689,0.7916666666666666,0.8444444444444444,0.8571428571428571,0.9428571428571428,0.7857142857142857,4317054,post_target_wise_impute,RFECA,mar
classification,OriginalRFECA,EnsembleSoft,0.3,4,2,0.9023391231866773,0.8906850459482039,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9283276450511946,0.8888888888888888,0.9714285714285714,0.8791208791208791,0.9195402298850575,0.8421052631578947,0.8636363636363636,0.8837209302325582,0.8444444444444444,0.9382716049382716,0.9743589743589743,0.9047619047619048,4317054,post_target_wise_impute,RFECA,mar
classification,OriginalRFECA,EnsembleSoft,0.3,4,3,0.8715716499377602,0.869360902255639,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9252669039145908,0.9219858156028369,0.9285714285714286,0.8586387434554974,0.8541666666666666,0.8631578947368421,0.75,0.7674418604651163,0.7333333333333333,0.9523809523809523,0.9523809523809523,0.9523809523809523,4317054,post_target_wise_impute,RFECA,mar
classification,OriginalRFECA,EnsembleSoft,0.3,4,4,0.8726185698086724,0.8687384110683213,1287,321,"{'Basal': 168, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 41, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9130434782608695,0.9264705882352942,0.9,0.8629441624365483,0.8333333333333334,0.8947368421052632,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.9367088607594937,0.9736842105263158,0.9024390243902439,4317054,post_target_wise_impute,RFECA,mar
classification,OriginalRFECA,EnsembleSoft,0.3,4,5,0.8418791692522494,0.8198678514467989,1287,321,"{'Basal': 167, 'Her2': 180, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 44, 'LumA': 140, 'LumB': 95}",4,False,0.9146757679180887,0.8758169934640523,0.9571428571428572,0.84375,0.8350515463917526,0.8526315789473684,0.7,0.7777777777777778,0.6363636363636364,0.9090909090909091,1.0,0.8333333333333334,4317054,post_target_wise_impute,RFECA,mar
classification,OriginalRFECA,SVC,0.3,4,1,0.8592700655983762,0.8570802005012531,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9070631970260223,0.9457364341085271,0.8714285714285714,0.8780487804878049,0.8181818181818182,0.9473684210526315,0.7912087912087912,0.782608695652174,0.8,0.8607594936708861,0.918918918918919,0.8095238095238095,4317054,post_target_wise_impute,RFECA,mar
classification,OriginalRFECA,SVC,0.3,4,2,0.8927503519410904,0.8800229741019214,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9246575342465754,0.8881578947368421,0.9642857142857143,0.8804347826086957,0.9101123595505618,0.8526315789473684,0.8409090909090909,0.8604651162790697,0.8222222222222222,0.925,0.9736842105263158,0.8809523809523809,4317054,post_target_wise_impute,RFECA,mar
classification,OriginalRFECA,SVC,0.3,4,3,0.8793018133680884,0.8749164578111946,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9219858156028369,0.9154929577464789,0.9285714285714286,0.8586387434554974,0.8541666666666666,0.8631578947368421,0.7727272727272727,0.7906976744186046,0.7555555555555555,0.963855421686747,0.975609756097561,0.9523809523809523,4317054,post_target_wise_impute,RFECA,mar
classification,OriginalRFECA,SVC,0.3,4,4,0.8702324465214153,0.8672962895042484,1287,321,"{'Basal': 168, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 41, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.920863309352518,0.927536231884058,0.9142857142857143,0.8717948717948718,0.85,0.8947368421052632,0.75,0.7674418604651163,0.7333333333333333,0.9382716049382716,0.95,0.926829268292683,4317054,post_target_wise_impute,RFECA,mar
classification,OriginalRFECA,SVC,0.3,4,5,0.8539229178303129,0.8296622237411712,1287,321,"{'Basal': 167, 'Her2': 180, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 44, 'LumA': 140, 'LumB': 95}",4,False,0.9158249158249159,0.8662420382165605,0.9714285714285714,0.8526315789473684,0.8526315789473684,0.8526315789473684,0.7105263157894737,0.84375,0.6136363636363636,0.9367088607594937,1.0,0.8809523809523809,4317054,post_target_wise_impute,RFECA,mar
