gene,status,winning_prefix_len,n_predictors_selected,winning_predictors,selection_seconds,n_candidates
ACTR3B,ok,44,22,FOXA1|MLPH|FOXC1|MIA|CXXC5|PHGDH|MELK|EXO1|KIF2C|ANLN|CEP55|BLVRA|MKI67|MYC|UBE2T|PTTG1|NUF2|SLC39A6|KRT14|ERBB2|MYBL2|BAG1,2106.8555893999874,49
ANLN,ok,48,24,MELK|CEP55|UBE2C|NDC80|UBE2T|MLPH|CENPF|NUF2|MKI67|FOXA1|BCL2|RRM2|CDH3|EGFR|MIA|GPR160|FOXC1|CDC6|GRB7|FGFR4|BLVRA|BAG1|ORC6|ERBB2,2158.125520200003,49
BAG1,ok,49,24,SLC39A6|BCL2|PHGDH|MMP11|MLPH|CDC20|FOXA1|MDM2|KIF2C|NAT1|SFRP1|UBE2C|PTTG1|KRT5|CEP55|ORC6|MELK|RRM2|MKI67|ANLN|ACTR3B|BLVRA|CCNB1|TYMS,2536.9097612000187,49
BCL2,ok,48,24,ESR1|SLC39A6|EXO1|CDH3|ANLN|PHGDH|CDC20|KIF2C|FOXA1|MLPH|UBE2C|CEP55|RRM2|PTTG1|UBE2T|BAG1|MKI67|GPR160|TYMS|MIA|CDC6|MYBL2|BLVRA|ORC6,1664.7696158999752,49
BIRC5,ok,41,20,KIF2C|CDC20|UBE2C|CEP55|EXO1|MKI67|CCNE1|ANLN|CCNB1|FOXA1|MLPH|GPR160|PGR|FOXC1|CDC6|MIA|CXXC5|GRB7|BLVRA|KRT14,1933.7284664000035,49
BLVRA,ok,48,24,ACTR3B|GPR160|MLPH|MIA|SLC39A6|CCNE1|MYC|PGR|ESR1|MKI67|CDC20|CENPF|TYMS|MAPT|ERBB2|CCNB1|UBE2C|ANLN|MDM2|FGFR4|MYBL2|GRB7|UBE2T|NUF2,1946.4878262999991,49
CCNB1,ok,46,23,NDC80|PTTG1|UBE2C|CEP55|BIRC5|CENPF|NUF2|UBE2T|MELK|MKI67|TYMS|CCNE1|CDC6|MAPT|KRT14|ESR1|PHGDH|MYBL2|FGFR4|BLVRA|KRT17|MDM2|ERBB2,2028.8754516000045,49
CCNE1,ok,48,24,KIF2C|MELK|EXO1|UBE2C|FOXA1|BIRC5|MLPH|PTTG1|MKI67|NDC80|CDH3|FOXC1|GPR160|UBE2T|CCNB1|NUF2|KRT5|CDC6|FGFR4|GRB7|ORC6|MYC|ERBB2|KRT14,1858.5413649999828,49
CDC20,ok,48,24,KIF2C|UBE2C|CEP55|BIRC5|PTTG1|MELK|CENPF|NDC80|UBE2T|MLPH|SLC39A6|BCL2|GPR160|NUF2|RRM2|PGR|CXXC5|ORC6|GRB7|KRT5|KRT17|MYBL2|ERBB2|MDM2,2138.9847478000156,49
CDC6,ok,45,22,EXO1|UBE2C|CEP55|MELK|ERBB2|BIRC5|CCNB1|KIF2C|MKI67|ANLN|RRM2|NAT1|NDC80|TYMS|BCL2|NUF2|MDM2|FOXA1|TMEM45B|MYC|ACTR3B|ORC6,2525.6522965000186,49
