gene,rmse,mae,r2,pearson,spearman,n_observed_train,n_masked,winning_prefix_len,n_predictors_selected,winning_predictors,best_oof_rmse,selection_seconds,final_fit_seconds,status,n_candidates,fallback_count,seed,mask_hash,mechanism,missing_rate,replicate,wall_seconds_slot,svr_ok
ACTR3B,0.6551536418973074,0.4171088010296693,0.28133300706241027,0.5463779337692222,0.2727272727272727,1521,87,42,21,FOXA1|FOXC1|MIA|CCNE1|PHGDH|CXXC5|MELK|KRT5|EXO1|ANLN|KIF2C|CEP55|BLVRA|MKI67|MYC|UBE2T|PTTG1|SLC39A6|KRT14|MMP11|ERBB2,0.5199725072215127,1961.8754511000006,23.210412599990377,ok,49,0,4050054,700af1b560d85ba9,mcar,0.05,4,6132.275483399979,1
ANLN,0.3060489447499004,0.22895028152632965,0.7002080276472838,0.8490234161597182,0.8658116787708323,1525,83,48,24,MELK|CEP55|NDC80|UBE2C|UBE2T|CCNE1|MLPH|CENPF|NUF2|MKI67|FOXA1|BCL2|RRM2|CDH3|EGFR|MIA|FOXC1|CDC6|GRB7|FGFR4|BLVRA|BAG1|MDM2|ERBB2,0.29934914998264056,1923.6490814000135,29.440632699988782,ok,49,0,4050054,700af1b560d85ba9,mcar,0.05,4,6132.275483399979,1
BAG1,0.4058362089703348,0.2592601701221522,0.06967331060488502,0.3340399631404682,0.4273230276035325,1516,92,46,23,SLC39A6|BCL2|PHGDH|MMP11|CDC20|CCNE1|MLPH|FOXA1|KIF2C|NAT1|ORC6|KRT5|PTTG1|MIA|MDM2|CEP55|MKI67|ACTR3B|BLVRA|RRM2|MELK|ANLN|CCNB1,0.29844687475324305,2564.2001368000056,38.58988469999167,ok,49,0,4050054,700af1b560d85ba9,mcar,0.05,4,6132.275483399979,1
BCL2,0.6060656132779669,0.4956002645315578,0.6338853933082859,0.8009554079291459,0.6988673730361711,1539,69,49,24,ESR1|SLC39A6|EXO1|CDH3|EGFR|MELK|ANLN|CDC20|KIF2C|FOXA1|UBE2C|MLPH|CEP55|RRM2|UBE2T|BAG1|MKI67|TYMS|MIA|CDC6|MYBL2|BLVRA|MYC|ORC6,0.6578030874296543,1612.8560716999928,23.16675319999922,ok,49,0,4050054,700af1b560d85ba9,mcar,0.05,4,6132.275483399979,1
BIRC5,0.43688171162542777,0.3033190457702355,0.8010882342964084,0.8976903889880762,0.9096434833430744,1549,59,48,24,KIF2C|CDC20|UBE2C|CEP55|EXO1|CENPF|MKI67|CCNE1|ANLN|CCNB1|MLPH|GPR160|PGR|CDC6|MIA|ORC6|GRB7|BLVRA|KRT14|TMEM45B|MYBL2|KRT17|MDM2|BAG1,0.499269408154069,1807.1564978999959,25.912053100008052,ok,49,0,4050054,700af1b560d85ba9,mcar,0.05,4,6132.275483399979,1
BLVRA,0.6727966642536204,0.46679062484803985,0.28544900630116743,0.5493275706920892,0.6024501813975497,1531,77,47,23,ACTR3B|GPR160|MLPH|MIA|SLC39A6|CCNE1|PGR|MYC|ESR1|MKI67|CENPF|TYMS|BIRC5|MAPT|UBE2C|ANLN|CCNB1|MDM2|PTTG1|BCL2|FGFR4|MYBL2|NUF2,0.6158895016047481,1845.287348999991,25.989219499984756,ok,49,0,4050054,700af1b560d85ba9,mcar,0.05,4,6132.275483399979,1
CCNB1,0.3647045839882137,0.28629092742012446,0.7117799762213799,0.8601431201101601,0.837808219178082,1534,74,49,24,NDC80|PTTG1|UBE2C|CEP55|BIRC5|CENPF|KIF2C|NUF2|MELK|MKI67|TYMS|CCNE1|CDC6|MLPH|MAPT|BCL2|PHGDH|MYBL2|ORC6|BLVRA|MDM2|ERBB2|CXXC5|FOXC1,0.3492812278011083,1941.2579977999849,36.06502320000436,ok,49,0,4050054,700af1b560d85ba9,mcar,0.05,4,6132.275483399979,1
CCNE1,0.4803877555763151,0.32517811702173904,0.6298984609061782,0.8039183990375025,0.7893577121425223,1528,80,47,23,KIF2C|MELK|EXO1|FOXA1|UBE2C|BIRC5|MLPH|PTTG1|MKI67|NDC80|FOXC1|GPR160|EGFR|UBE2T|CCNB1|MIA|NUF2|RRM2|CDC6|FGFR4|GRB7|MYC|ERBB2,0.477962705849733,1804.1104072000016,25.395767200010596,ok,49,0,4050054,700af1b560d85ba9,mcar,0.05,4,6132.275483399979,1
CDC20,0.29443436555306224,0.24043607396057665,0.9324139156872424,0.9663728661135449,0.9638771683075481,1528,80,44,22,KIF2C|UBE2C|CEP55|BIRC5|PTTG1|MELK|CENPF|NDC80|UBE2T|CCNB1|MLPH|SLC39A6|BCL2|GPR160|NUF2|RRM2|PGR|ORC6|KRT5|BAG1|KRT17|MYBL2,0.3743856395704363,1990.478884799988,26.977323500002967,ok,49,0,4050054,700af1b560d85ba9,mcar,0.05,4,6132.275483399979,1
CDC6,0.16134066046679074,0.12353416658067988,0.15479442327045267,0.39577120681215106,0.4095777640081438,1530,78,35,17,GRB7|EXO1|CEP55|ERBB2|PTTG1|BIRC5|KIF2C|MKI67|ANLN|RRM2|NDC80|TYMS|PHGDH|SLC39A6|MLPH|MDM2|FOXA1,0.2059538063044685,2358.4719932000153,20.644354599993676,ok,49,0,4050054,700af1b560d85ba9,mcar,0.05,4,6132.275483399979,1
NUF2,0.27915725898889315,0.18722033352509015,0.45042884129381555,0.6853731784268938,0.7250071123755334,1533,75,32,16,NDC80|UBE2T|CEP55|CCNB1|ANLN|UBE2C|EXO1|PTTG1|KIF2C|TYMS|CDC20|MKI67|CCNE1|FOXA1|TMEM45B|MYBL2,0.3032328127436493,2063.523265900003,16.455144200008363,ok,49,0,4050054,700af1b560d85ba9,mcar,0.05,4,6132.275483399979,1
CDH3,0.676236612727657,0.5580219088664892,0.7010553445835551,0.8380114618526819,0.7828806515259644,1525,83,49,24,KRT17|EGFR|KRT5|MLPH|CCNE1|BCL2|MIA|CDC20|KIF2C|ANLN|EXO1|KRT14|ACTR3B|UBE2C|BIRC5|PTTG1|NDC80|GRB7|BAG1|NUF2|CDC6|MMP11|CCNB1|TMEM45B,0.8245141148136881,1487.8628994000028,20.954312199988635,ok,49,0,4050054,700af1b560d85ba9,mcar,0.05,4,6132.275483399979,1
CENPF,0.40615125997759083,0.313965456005854,0.7661515932432101,0.8766885499612609,0.8919844502036283,1535,73,40,20,UBE2C|EXO1|CEP55|KIF2C|CDC20|MELK|MKI67|UBE2T|CCNB1|TYMS|MLPH|NAT1|CDC6|RRM2|FOXC1|ORC6|GRB7|EGFR|BLVRA|ERBB2,0.40815844623911485,1828.5404756000207,18.294014499988407,ok,49,0,4050054,700af1b560d85ba9,mcar,0.05,4,6132.275483399979,1
CEP55,0.2927943189533567,0.2026632657960524,0.8697167183256095,0.9329325661020489,0.92802338326635,1539,69,48,24,UBE2C|MELK|KIF2C|PTTG1|EXO1|ANLN|BIRC5|CENPF|UBE2T|MKI67|NDC80|CCNB1|MLPH|NUF2|FOXA1|BCL2|GPR160|CDC6|FOXC1|KRT5|MYBL2|TMEM45B|KRT14|ORC6,0.2722297804508412,2162.6097891999816,36.2045405000099,ok,49,0,4050054,700af1b560d85ba9,mcar,0.05,4,6132.275483399979,1
