stage,imputer,model,missing_rate,replicate,fold,f1_macro,bal_acc,n_train,n_test,train_class_distribution,test_class_distribution,n_unique_predictions,degenerate_single_class_preds,f1_LumA,precision_LumA,recall_LumA,f1_LumB,precision_LumB,recall_LumB,f1_Her2,precision_Her2,recall_Her2,f1_Basal,precision_Basal,recall_Basal,seed,protocol,imputer_display,mechanism
classification,OriginalRFECA,EnsembleSoft,0.3,3,1,0.868278927492253,0.8657581453634084,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.8913857677902621,0.937007874015748,0.85,0.8599033816425121,0.7946428571428571,0.9368421052631579,0.8387096774193549,0.8125,0.8666666666666667,0.8831168831168831,0.9714285714285714,0.8095238095238095,3300051,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,EnsembleSoft,0.3,3,2,0.9130180683306559,0.9020572263993317,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9407665505226481,0.9183673469387755,0.9642857142857143,0.8994708994708994,0.9042553191489362,0.8947368421052632,0.8735632183908046,0.9047619047619048,0.8444444444444444,0.9382716049382716,0.9743589743589743,0.9047619047619048,3300051,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,EnsembleSoft,0.3,3,3,0.8849836315499067,0.8804720133667503,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9219858156028369,0.9154929577464789,0.9285714285714286,0.8586387434554974,0.8541666666666666,0.8631578947368421,0.7954545454545454,0.813953488372093,0.7777777777777778,0.963855421686747,0.975609756097561,0.9523809523809523,3300051,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,EnsembleSoft,0.3,3,4,0.8785084746282573,0.8714097234957313,1287,321,"{'Basal': 168, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 41, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9154929577464789,0.9027777777777778,0.9285714285714286,0.8854166666666666,0.8762886597938144,0.8947368421052632,0.7619047619047619,0.8205128205128205,0.7111111111111111,0.9512195121951219,0.9512195121951219,0.9512195121951219,3300051,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,EnsembleSoft,0.3,3,5,0.8653342347307864,0.8441586921850079,1287,321,"{'Basal': 167, 'Her2': 180, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 44, 'LumA': 140, 'LumB': 95}",4,False,0.896551724137931,0.8666666666666667,0.9285714285714286,0.8615384615384616,0.84,0.8842105263157894,0.7532467532467533,0.8787878787878788,0.6590909090909091,0.95,1.0,0.9047619047619048,3300051,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,SVC,0.3,3,1,0.8675350866362103,0.8635233918128655,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.8913857677902621,0.937007874015748,0.85,0.8461538461538461,0.7787610619469026,0.9263157894736842,0.8351648351648352,0.8260869565217391,0.8444444444444444,0.8974358974358975,0.9722222222222222,0.8333333333333334,3300051,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,SVC,0.3,3,2,0.9145818577668396,0.9029970760233919,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9480968858131488,0.9194630872483222,0.9785714285714285,0.8983957219251337,0.9130434782608695,0.8842105263157894,0.8735632183908046,0.9047619047619048,0.8444444444444444,0.9382716049382716,0.9743589743589743,0.9047619047619048,3300051,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,SVC,0.3,3,3,0.874392784358055,0.8713450292397661,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9110320284697508,0.9078014184397163,0.9142857142857143,0.8586387434554974,0.8541666666666666,0.8631578947368421,0.7640449438202247,0.7727272727272727,0.7555555555555555,0.963855421686747,0.975609756097561,0.9523809523809523,3300051,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,SVC,0.3,3,4,0.8743841981236938,0.8678382949243026,1287,321,"{'Basal': 168, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 41, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9142857142857143,0.9142857142857143,0.9142857142857143,0.8673469387755102,0.8415841584158416,0.8947368421052632,0.7529411764705882,0.8,0.7111111111111111,0.9629629629629629,0.975,0.9512195121951219,3300051,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,SVC,0.3,3,5,0.8715380206170678,0.8559409888357257,1287,321,"{'Basal': 167, 'Her2': 180, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 44, 'LumA': 140, 'LumB': 95}",4,False,0.9059233449477352,0.8843537414965986,0.9285714285714286,0.8497409326424871,0.8367346938775511,0.8631578947368421,0.7804878048780488,0.8421052631578947,0.7272727272727273,0.95,1.0,0.9047619047619048,3300051,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,LogReg,0.3,3,1,0.8374750357755028,0.8443191311612365,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.8787878787878788,0.9354838709677419,0.8285714285714286,0.8333333333333334,0.7798165137614679,0.8947368421052632,0.8085106382978723,0.7755102040816326,0.8444444444444444,0.8292682926829268,0.85,0.8095238095238095,3300051,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,LogReg,0.3,3,2,0.8778110630504248,0.8708959899749373,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9333333333333333,0.9172413793103448,0.95,0.8617021276595744,0.8709677419354839,0.8526315789473684,0.7912087912087912,0.782608695652174,0.8,0.925,0.9736842105263158,0.8809523809523809,3300051,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,LogReg,0.3,3,3,0.871243139591215,0.8696532999164578,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9219858156028369,0.9154929577464789,0.9285714285714286,0.8465608465608465,0.851063829787234,0.8421052631578947,0.7640449438202247,0.7727272727272727,0.7555555555555555,0.9523809523809523,0.9523809523809523,0.9523809523809523,3300051,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,LogReg,0.3,3,4,0.8652090423848564,0.8608834077062576,1287,321,"{'Basal': 168, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 41, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9059233449477352,0.8843537414965986,0.9285714285714286,0.8709677419354839,0.8901098901098901,0.8526315789473684,0.7441860465116279,0.7804878048780488,0.7111111111111111,0.9397590361445783,0.9285714285714286,0.9512195121951219,3300051,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,LogReg,0.3,3,5,0.8484947183400793,0.8373803827751196,1287,321,"{'Basal': 167, 'Her2': 180, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 44, 'LumA': 140, 'LumB': 95}",4,False,0.9020979020979021,0.8835616438356164,0.9214285714285714,0.845360824742268,0.8282828282828283,0.8631578947368421,0.717948717948718,0.8235294117647058,0.6363636363636364,0.9285714285714286,0.9285714285714286,0.9285714285714286,3300051,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,RF,0.3,3,1,0.8612010186478272,0.8512113617376775,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9142857142857143,0.9142857142857143,0.9142857142857143,0.8571428571428571,0.8316831683168316,0.8842105263157894,0.8085106382978723,0.7755102040816326,0.8444444444444444,0.8648648648648649,1.0,0.7619047619047619,3300051,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,RF,0.3,3,2,0.8871534252472622,0.8713450292397661,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9355932203389831,0.8903225806451613,0.9857142857142858,0.8913043478260869,0.9213483146067416,0.8631578947368421,0.8192771084337349,0.8947368421052632,0.7555555555555555,0.9024390243902439,0.925,0.8809523809523809,3300051,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,RF,0.3,3,3,0.8657100733284604,0.8559628237259815,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9052631578947369,0.8896551724137931,0.9214285714285714,0.837696335078534,0.8333333333333334,0.8421052631578947,0.7816091954022989,0.8095238095238095,0.7555555555555555,0.9382716049382716,0.9743589743589743,0.9047619047619048,3300051,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,RF,0.3,3,4,0.860408856900085,0.849491360515109,1287,321,"{'Basal': 168, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 41, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9052631578947369,0.8896551724137931,0.9214285714285714,0.882051282051282,0.86,0.9052631578947369,0.7160493827160493,0.8055555555555556,0.6444444444444445,0.9382716049382716,0.95,0.926829268292683,3300051,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,RF,0.3,3,5,0.85377886002886,0.8289331282752336,1287,321,"{'Basal': 167, 'Her2': 180, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 44, 'LumA': 140, 'LumB': 95}",4,False,0.9027777777777778,0.8783783783783784,0.9285714285714286,0.85,0.8095238095238095,0.8947368421052632,0.7532467532467533,0.8787878787878788,0.6590909090909091,0.9090909090909091,1.0,0.8333333333333334,3300051,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,GB,0.3,3,1,0.8356889400704306,0.8307748538011697,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.8978102189781022,0.917910447761194,0.8785714285714286,0.8442211055276382,0.8076923076923077,0.8842105263157894,0.7628865979381443,0.7115384615384616,0.8222222222222222,0.8378378378378378,0.96875,0.7380952380952381,3300051,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,GB,0.3,3,2,0.9163426588037977,0.9040413533834587,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9300699300699301,0.910958904109589,0.95,0.8900523560209425,0.8854166666666666,0.8947368421052632,0.9069767441860465,0.9512195121951219,0.8666666666666667,0.9382716049382716,0.9743589743589743,0.9047619047619048,3300051,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,GB,0.3,3,3,0.8738955771711705,0.8695593149540518,1286,322,"{'Basal': 167, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9071428571428571,0.9071428571428571,0.9071428571428571,0.845360824742268,0.8282828282828283,0.8631578947368421,0.7906976744186046,0.8292682926829268,0.7555555555555555,0.9523809523809523,0.9523809523809523,0.9523809523809523,3300051,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,GB,0.3,3,4,0.8768506205673758,0.8708677180756771,1287,321,"{'Basal': 168, 'Her2': 179, 'LumA': 560, 'LumB': 380}","{'Basal': 41, 'Her2': 45, 'LumA': 140, 'LumB': 95}",4,False,0.9219858156028369,0.9154929577464789,0.9285714285714286,0.8854166666666666,0.8762886597938144,0.8947368421052632,0.75,0.7674418604651163,0.7333333333333333,0.95,0.9743589743589743,0.926829268292683,3300051,post_target_wise_impute,RFECA,mcar
classification,OriginalRFECA,GB,0.3,3,5,0.8351000608171526,0.8135907951697425,1287,321,"{'Basal': 167, 'Her2': 180, 'LumA': 560, 'LumB': 380}","{'Basal': 42, 'Her2': 44, 'LumA': 140, 'LumB': 95}",4,False,0.8758620689655172,0.8466666666666667,0.9071428571428571,0.826530612244898,0.801980198019802,0.8526315789473684,0.7012987012987013,0.8181818181818182,0.6136363636363636,0.9367088607594937,1.0,0.8809523809523809,3300051,post_target_wise_impute,RFECA,mcar
