gene,rmse,mae,r2,pearson,spearman,n_observed_train,n_masked,winning_prefix_len,n_predictors_selected,winning_predictors,best_oof_rmse,selection_seconds,final_fit_seconds,status,n_candidates,fallback_count,seed,mask_hash,mechanism,missing_rate,replicate,wall_seconds_slot,svr_ok
ACTR3B,0.6084320850579511,0.3652434322833926,0.5550156197337621,0.7889145016528271,0.6538180489587141,1539,69,48,24,FOXA1|MLPH|FOXC1|MIA|CCNE1|PHGDH|MELK|EXO1|ANLN|KIF2C|CEP55|BLVRA|NDC80|CDH3|MYC|MKI67|UBE2T|PTTG1|ERBB2|MYBL2|BAG1|MDM2|CDC6|GRB7,0.5273014653269349,1935.1332277000183,28.26397729999735,ok,49,0,67042,3ac629556e835939,mar,0.05,0,5709.582708600006,1
ANLN,0.3468061021916173,0.2473283624193306,0.7574019579604555,0.873097460580467,0.8935991834949332,1521,87,48,24,MELK|CEP55|NDC80|UBE2C|UBE2T|CCNE1|MLPH|NUF2|MKI67|FOXA1|BCL2|CDH3|EGFR|CXXC5|MIA|GPR160|FOXC1|CDC6|GRB7|FGFR4|BLVRA|BAG1|ORC6|ERBB2,0.2983847901657206,1834.5172012000112,28.56814319998375,ok,49,0,67042,3ac629556e835939,mar,0.05,0,5709.582708600006,1
BAG1,0.2320265076769777,0.1835990097179036,-0.0717047843483431,0.2421695097044073,0.2861790840738209,1532,76,48,24,SLC39A6|BCL2|PHGDH|MMP11|MLPH|CCNE1|CDC20|FOXA1|SFRP1|KIF2C|MDM2|NAT1|PTTG1|KRT5|CEP55|ORC6|NUF2|RRM2|MELK|ANLN|MKI67|CCNB1|BLVRA|NDC80,0.3064438377083926,2546.5987832999963,32.428985800012015,ok,49,0,67042,3ac629556e835939,mar,0.05,0,5709.582708600006,1
BCL2,0.6897777445017736,0.5366270083155759,0.5972895850101165,0.7776886527463143,0.7413687436159346,1519,89,49,24,ESR1|SLC39A6|EXO1|CDH3|ANLN|EGFR|CDC20|KIF2C|FOXA1|UBE2C|CEP55|RRM2|PTTG1|UBE2T|NDC80|BAG1|MKI67|GPR160|TYMS|MIA|CDC6|MYBL2|MYC|ORC6,0.6550198342914253,1468.8996587000147,21.58098230001633,ok,49,0,67042,3ac629556e835939,mar,0.05,0,5709.582708600006,1
BIRC5,0.5871443542696373,0.3744942208461406,0.7235012536363767,0.8513666398255553,0.8675328491667016,1525,83,43,21,KIF2C|CDC20|UBE2C|CEP55|EXO1|CENPF|MKI67|CCNE1|ANLN|CCNB1|MLPH|GPR160|PGR|FOXC1|CDC6|MIA|GRB7|KRT14|BLVRA|TMEM45B|MYBL2,0.4903551409387715,1680.6987714999996,20.88195410001208,ok,49,0,67042,3ac629556e835939,mar,0.05,0,5709.582708600006,1
BLVRA,0.6258079889715299,0.4607875920209003,0.2953845280649034,0.5437946020939592,0.5706390203373912,1514,94,49,24,ACTR3B|GPR160|MLPH|MIA|SLC39A6|CCNE1|MYC|PGR|ESR1|MKI67|CENPF|TYMS|MAPT|UBE2C|ERBB2|ANLN|PTTG1|CCNB1|MDM2|FGFR4|BAG1|MYBL2|GRB7|NUF2,0.6184272971700144,1752.049883300002,23.916377599991392,ok,49,0,67042,3ac629556e835939,mar,0.05,0,5709.582708600006,1
CCNB1,0.3506210656878628,0.2741461433047347,0.7136923553388457,0.8463641847603294,0.8446468802037419,1526,82,45,22,NDC80|PTTG1|UBE2C|CEP55|BIRC5|CENPF|KIF2C|NUF2|MELK|MKI67|TYMS|CCNE1|MAPT|KRT14|PHGDH|MYBL2|FGFR4|KRT17|BLVRA|MDM2|ERBB2|CXXC5,0.349827194377097,1888.6336787999896,26.371284599998035,ok,49,0,67042,3ac629556e835939,mar,0.05,0,5709.582708600006,1
CCNE1,0.5384254587317217,0.3247081826886654,0.6544418424905163,0.8206365935543389,0.8482184716361932,1528,80,48,24,KIF2C|MELK|EXO1|FOXA1|UBE2C|BIRC5|MLPH|MKI67|NDC80|FOXC1|GPR160|EGFR|ACTR3B|UBE2T|CCNB1|MIA|NUF2|KRT5|CDC6|FGFR4|GRB7|MYC|ERBB2|KRT14,0.4727705152372743,1727.3838299000054,27.028171999991173,ok,49,0,67042,3ac629556e835939,mar,0.05,0,5709.582708600006,1
CDC20,0.3793513880498693,0.3033109287063484,0.9116776194650262,0.955185174036651,0.9364267798572256,1536,72,46,23,KIF2C|UBE2C|CEP55|BIRC5|PTTG1|MELK|CENPF|NDC80|UBE2T|SLC39A6|BCL2|GPR160|NUF2|RRM2|FOXC1|PGR|CXXC5|ORC6|GRB7|KRT5|KRT17|MYBL2|ERBB2,0.3719056826024379,1933.222579000023,28.387970400013728,ok,49,0,67042,3ac629556e835939,mar,0.05,0,5709.582708600006,1
CDC6,0.1738789795331843,0.1339923335764416,0.1820756380741666,0.4399620577213993,0.3968393327480246,1541,67,14,7,EXO1|UBE2C|CEP55|ERBB2|BIRC5|KIF2C|CCNB1,0.2058676402120015,2382.817669800017,3.429465599998366,ok,49,0,67042,3ac629556e835939,mar,0.05,0,5709.582708600006,1
