dataset,mechanism,missing_rate,method,metric,n_replications,mean,std,median,iqr,ci95_low,ci95_high
CPTAC 2C,MAR,0.0,Mean,bal_acc,10,0.8916666666666664,2.340555645717801e-16,0.8916666666666666,0.0,0.8916666666666662,0.8916666666666666
CPTAC 2C,MAR,0.0,KNN,bal_acc,10,0.8916666666666664,2.340555645717801e-16,0.8916666666666666,0.0,0.8916666666666662,0.8916666666666666
CPTAC 2C,MAR,0.0,RFECA-k5,bal_acc,10,0.8916666666666664,2.340555645717801e-16,0.8916666666666666,0.0,0.8916666666666662,0.8916666666666666
CPTAC 2C,MAR,0.0,RFECA-k10,bal_acc,10,0.8916666666666664,2.340555645717801e-16,0.8916666666666666,0.0,0.8916666666666662,0.8916666666666666
CPTAC 2C,MAR,0.0,RFECA-k20,bal_acc,10,0.8916666666666664,2.340555645717801e-16,0.8916666666666666,0.0,0.8916666666666662,0.8916666666666666
CPTAC 2C,MAR,0.0,MissForest,bal_acc,10,0.8916666666666664,2.340555645717801e-16,0.8916666666666666,0.0,0.8916666666666662,0.8916666666666666
CPTAC 2C,MAR,0.05,Mean,bal_acc,10,0.9137121212121212,0.017254886231658027,0.9145833333333333,0.020075757575757525,0.9013687191845665,0.9260555232396759
CPTAC 2C,MAR,0.05,KNN,bal_acc,10,0.9245833333333333,0.014493772609105053,0.9229166666666667,0.013541666666666563,0.9142151130038415,0.9349515536628251
CPTAC 2C,MAR,0.05,RFECA-k5,bal_acc,10,0.9100000000000001,0.012297746456210344,0.9083333333333334,0.008333333333333193,0.9012027221446738,0.9187972778553265
CPTAC 2C,MAR,0.05,RFECA-k10,bal_acc,10,0.9179166666666667,0.009011737887504572,0.9166666666666666,0.014583333333333393,0.9114700577340429,0.9243632755992905
CPTAC 2C,MAR,0.05,RFECA-k20,bal_acc,10,0.9141666666666668,0.014460461205355945,0.9166666666666666,0.019791666666666763,0.9038222758798945,0.9245110574534391
CPTAC 2C,MAR,0.05,MissForest,bal_acc,10,0.9199999999999999,0.014136678499999418,0.9208333333333334,0.016666666666666607,0.9098872294075383,0.9301127705924616
CPTAC 2C,MAR,0.1,Mean,bal_acc,10,0.9003030303030304,0.02303163207223101,0.8958333333333334,0.02821969696969684,0.8838271932443845,0.9167788673616762
