dataset,mechanism,missing_rate,method,replication,metric,value,seed_scheme,artifact
CPTAC 2C,MCAR,0.0,KNN,0,f1_macro,0.9062598753903103,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,KNN,0,bal_acc,0.8916666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,KNN,0,precision_macro,0.9549725274725274,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,KNN,0,recall_macro,0.8916666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,KNN,1,f1_macro,0.9062598753903103,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,KNN,1,bal_acc,0.8916666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,KNN,1,precision_macro,0.9549725274725274,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,KNN,1,recall_macro,0.8916666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,KNN,2,f1_macro,0.9062598753903103,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,KNN,2,bal_acc,0.8916666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,KNN,2,precision_macro,0.9549725274725274,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,KNN,2,recall_macro,0.8916666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,KNN,3,f1_macro,0.9062598753903103,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,KNN,3,bal_acc,0.8916666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,KNN,3,precision_macro,0.9549725274725274,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,KNN,3,recall_macro,0.8916666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,KNN,4,f1_macro,0.9062598753903103,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,KNN,4,bal_acc,0.8916666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,KNN,4,precision_macro,0.9549725274725274,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,KNN,4,recall_macro,0.8916666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,KNN,5,f1_macro,0.9062598753903103,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,KNN,5,bal_acc,0.8916666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,KNN,5,precision_macro,0.9549725274725274,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,KNN,5,recall_macro,0.8916666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,KNN,6,f1_macro,0.9062598753903103,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,KNN,6,bal_acc,0.8916666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,KNN,6,precision_macro,0.9549725274725274,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,KNN,6,recall_macro,0.8916666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,KNN,7,f1_macro,0.9062598753903103,legacy,discovery_full_20260724_172348
