missing_rate,method,model,mean,std,n_reps,mechanism
0.2,KNN,EnsembleSoft,0.8691416635535308,0.004532914054715055,10,MCAR
0.2,KNN,GB,0.855538459394352,0.005382394089253905,10,MCAR
0.2,KNN,LogReg,0.8590777282774615,0.0033746239599367926,10,MCAR
0.2,KNN,RF,0.8527388086649583,0.003671928142751941,10,MCAR
0.2,KNN,SVC,0.8648433815886918,0.0045602295212152,10,MCAR
0.2,Mean,EnsembleSoft,0.8660736598153809,0.004159504448188596,10,MCAR
0.2,Mean,GB,0.844209649027379,0.006902858875427291,10,MCAR
0.2,Mean,LogReg,0.8503205553936407,0.006394302330647656,10,MCAR
0.2,Mean,RF,0.8473118661735363,0.0062742444076577305,10,MCAR
0.2,Mean,SVC,0.8613676542917995,0.0038805820747267634,10,MCAR
0.2,MissForest,EnsembleSoft,0.8741775961522379,0.004862578580610718,10,MCAR
0.2,MissForest,GB,0.860224847530081,0.006157248732486052,10,MCAR
0.2,MissForest,LogReg,0.8596583073744481,0.005940275616620679,10,MCAR
0.2,MissForest,RF,0.8597043795667799,0.00393886236394927,10,MCAR
0.2,MissForest,SVC,0.8704953013063508,0.002718032308031297,10,MCAR
0.2,RFECA-k10,EnsembleSoft,0.8720910691804271,0.004645661408813025,10,MCAR
0.2,RFECA-k10,GB,0.8549913137482633,0.007431152075382504,10,MCAR
0.2,RFECA-k10,LogReg,0.857939347895004,0.004334106662365167,10,MCAR
0.2,RFECA-k10,RF,0.8591071054159991,0.005146421686217899,10,MCAR
0.2,RFECA-k10,SVC,0.8714894424543578,0.002801375548714942,10,MCAR
0.2,RFECA-k20,EnsembleSoft,0.8735075125665448,0.0034403921811507255,10,MCAR
0.2,RFECA-k20,GB,0.8585644987073004,0.006204694580343905,10,MCAR
0.2,RFECA-k20,LogReg,0.8578995990882466,0.003552324002001577,10,MCAR
0.2,RFECA-k20,RF,0.8606120758664499,0.0033465808784597477,10,MCAR
0.2,RFECA-k20,SVC,0.8723309654255521,0.003253346295420388,10,MCAR
0.2,RFECA-k5,EnsembleSoft,0.8718233629047752,0.005745940782361426,10,MCAR
0.2,RFECA-k5,GB,0.8549779197401284,0.006419308607568575,10,MCAR
0.2,RFECA-k5,LogReg,0.8564779957869921,0.005103266836780129,10,MCAR
0.2,RFECA-k5,RF,0.8549470817519733,0.0028153156338608,10,MCAR
0.2,RFECA-k5,SVC,0.8684405269032857,0.002535299083022691,10,MCAR
0.3,KNN,EnsembleSoft,0.8582261234591261,0.005527149805177149,10,MCAR
0.3,KNN,GB,0.8449872273117439,0.007548715301996941,10,MCAR
0.3,KNN,LogReg,0.8492251119974046,0.004540199463169476,10,MCAR
0.3,KNN,RF,0.8449981675457504,0.005840899612807526,10,MCAR
0.3,KNN,SVC,0.8576606661458095,0.007085604081318468,10,MCAR
0.3,Mean,EnsembleSoft,0.8550846750816824,0.007318124066908467,10,MCAR
0.3,Mean,GB,0.831997758069512,0.009538122572339576,10,MCAR
0.3,Mean,LogReg,0.8379174856084612,0.0090395079633585,10,MCAR
0.3,Mean,RF,0.8305739706072492,0.00843590491994327,10,MCAR
0.3,Mean,SVC,0.8501694617101527,0.007038393514032227,10,MCAR
0.3,MissForest,EnsembleSoft,0.8662237147375468,0.00546586551981995,10,MCAR
0.3,MissForest,GB,0.8513412903365911,0.007369477299133336,10,MCAR
0.3,MissForest,LogReg,0.8535365447320805,0.008479258104611448,10,MCAR
0.3,MissForest,RF,0.854447663179506,0.0055648910392864645,10,MCAR
0.3,MissForest,SVC,0.8650798783337166,0.004559943312127936,10,MCAR
0.3,RFECA-k10,EnsembleSoft,0.8635261032190089,0.004676147303030626,10,MCAR
0.3,RFECA-k10,GB,0.8500797299416959,0.005488162650763031,10,MCAR
0.3,RFECA-k10,LogReg,0.852369326556226,0.004012823049156578,10,MCAR
0.3,RFECA-k10,RF,0.8492365320028998,0.007312914580323638,10,MCAR
0.3,RFECA-k10,SVC,0.863568579935493,0.006496616436001382,10,MCAR
0.3,RFECA-k20,EnsembleSoft,0.8642313192041634,0.0039823261401613535,10,MCAR
0.3,RFECA-k20,GB,0.8518750576729621,0.007345596650576633,10,MCAR
0.3,RFECA-k20,LogReg,0.8537768181437911,0.004815739718471218,10,MCAR
0.3,RFECA-k20,RF,0.8522382091239644,0.006477958084125155,10,MCAR
0.3,RFECA-k20,SVC,0.864670454887405,0.005521917287123013,10,MCAR
0.3,RFECA-k5,EnsembleSoft,0.8623784722500893,0.005722933980119101,10,MCAR
0.3,RFECA-k5,GB,0.8470511794778519,0.005596240555657351,10,MCAR
0.3,RFECA-k5,LogReg,0.852315633387111,0.0072685657033351656,10,MCAR
0.3,RFECA-k5,RF,0.8476973476419405,0.004998650920937181,10,MCAR
0.3,RFECA-k5,SVC,0.8627281498561844,0.007928930717447226,10,MCAR
0.2,KNN,EnsembleSoft,0.8721681465435438,0.004560609807750606,10,MAR
0.2,KNN,GB,0.8563545121769524,0.009100460686143591,10,MAR
0.2,KNN,LogReg,0.8587710608676083,0.0030764247885011085,10,MAR
0.2,KNN,RF,0.853230123022176,0.004655325651652142,10,MAR
0.2,KNN,SVC,0.8695229057655874,0.0019183281775536263,10,MAR
0.2,Mean,EnsembleSoft,0.8635717320954566,0.004147372776659556,10,MAR
0.2,Mean,GB,0.843438032229931,0.00598634192350358,10,MAR
0.2,Mean,LogReg,0.8510318073387199,0.006464786353384253,10,MAR
0.2,Mean,RF,0.8485383566328164,0.004547604476668369,10,MAR
0.2,Mean,SVC,0.8624073237031267,0.0037568312062615664,10,MAR
0.2,MissForest,EnsembleSoft,0.8707923202001207,0.0059688361479053615,10,MAR
0.2,MissForest,GB,0.8574406734306661,0.006512950814207375,10,MAR
0.2,MissForest,LogReg,0.8605968648803646,0.004758738569144477,10,MAR
0.2,MissForest,RF,0.8539782628660124,0.004977635410866572,10,MAR
0.2,MissForest,SVC,0.8702932994887019,0.0037653068559895275,10,MAR
0.2,RFECA-k10,EnsembleSoft,0.8720844336614609,0.006884648434976164,10,MAR
0.2,RFECA-k10,GB,0.860081654731253,0.005126744700444973,10,MAR
0.2,RFECA-k10,LogReg,0.8581023712586073,0.007692227957367453,10,MAR
0.2,RFECA-k10,RF,0.8566825639883874,0.006356336158383678,10,MAR
0.2,RFECA-k10,SVC,0.8720029926716327,0.0041066135554417805,10,MAR
0.2,RFECA-k20,EnsembleSoft,0.8702776883219625,0.006448016215606166,10,MAR
0.2,RFECA-k20,GB,0.859518487757574,0.007130091296232794,10,MAR
0.2,RFECA-k20,LogReg,0.8582468174365723,0.008388756179117341,10,MAR
0.2,RFECA-k20,RF,0.8554309274114746,0.005683240522189125,10,MAR
0.2,RFECA-k20,SVC,0.8721225608123572,0.005002634345581933,10,MAR
0.2,RFECA-k5,EnsembleSoft,0.8733736448416689,0.006711073564101111,10,MAR
0.2,RFECA-k5,GB,0.8593894660429287,0.006558731642881348,10,MAR
0.2,RFECA-k5,LogReg,0.8562866616389744,0.006531234574726843,10,MAR
0.2,RFECA-k5,RF,0.8531589503335262,0.006546322613317238,10,MAR
0.2,RFECA-k5,SVC,0.8724626152184134,0.004373622646259383,10,MAR
0.3,KNN,EnsembleSoft,0.8482454233955332,0.005582281160854536,10,MAR
0.3,KNN,GB,0.832811894426529,0.007553868741694179,10,MAR
0.3,KNN,LogReg,0.8382796487418183,0.006688858549775073,10,MAR
0.3,KNN,RF,0.8332602138768728,0.004359431219225801,10,MAR
0.3,KNN,SVC,0.8475962732266297,0.005553510545630354,10,MAR
0.3,Mean,EnsembleSoft,0.8480200851951298,0.010115055019838034,10,MAR
0.3,Mean,GB,0.8218110412010786,0.007518423980037124,10,MAR
0.3,Mean,LogReg,0.8325759656773162,0.008576970487623391,10,MAR
0.3,Mean,RF,0.8298083413929016,0.005114680559143164,10,MAR
0.3,Mean,SVC,0.8425746279686945,0.006549157061798349,10,MAR
0.3,MissForest,EnsembleSoft,0.8606189427022096,0.006098082169969851,10,MAR
0.3,MissForest,GB,0.8447545750324273,0.005998933481881673,10,MAR
0.3,MissForest,LogReg,0.8506025779771138,0.009295240956000116,10,MAR
0.3,MissForest,RF,0.8474680902472199,0.007248906410542962,10,MAR
0.3,MissForest,SVC,0.856913382482276,0.00486856888820645,10,MAR
0.3,RFECA-k10,EnsembleSoft,0.8605304067417938,0.008158161656178145,10,MAR
0.3,RFECA-k10,GB,0.8450937964266405,0.006095506743940927,10,MAR
