dataset,mechanism,missing_rate,method,metric,n_replications,mean,std,median,iqr,ci95_low,ci95_high
CPTAC 2C,MAR,0.0,Mean,bal_acc,10,0.8916666666666664,2.340555645717801e-16,0.8916666666666666,0.0,0.8916666666666662,0.8916666666666666
CPTAC 2C,MAR,0.0,KNN,bal_acc,10,0.8916666666666664,2.340555645717801e-16,0.8916666666666666,0.0,0.8916666666666662,0.8916666666666666
CPTAC 2C,MAR,0.0,MissForest,bal_acc,10,0.8916666666666664,2.340555645717801e-16,0.8916666666666666,0.0,0.8916666666666662,0.8916666666666666
CPTAC 2C,MAR,0.05,Mean,bal_acc,10,0.9137121212121212,0.017254886231658027,0.9145833333333333,0.020075757575757525,0.9013687191845665,0.9260555232396759
CPTAC 2C,MAR,0.05,KNN,bal_acc,10,0.9245833333333333,0.014493772609105053,0.9229166666666667,0.013541666666666563,0.9142151130038415,0.9349515536628251
CPTAC 2C,MAR,0.05,MissForest,bal_acc,10,0.9199999999999999,0.014136678499999418,0.9208333333333334,0.016666666666666607,0.9098872294075383,0.9301127705924616
CPTAC 2C,MAR,0.1,Mean,bal_acc,10,0.9003030303030304,0.02303163207223101,0.8958333333333334,0.02821969696969684,0.8838271932443845,0.9167788673616762
CPTAC 2C,MAR,0.1,KNN,bal_acc,10,0.9112121212121214,0.0198487097424738,0.9081439393939393,0.02604166666666652,0.8970132096232355,0.9254110328010072
CPTAC 2C,MAR,0.1,MissForest,bal_acc,10,0.9202651515151515,0.016171723875228135,0.9206439393939394,0.029166666666666674,0.9086965971595564,0.9318337058707467
CPTAC 2C,MAR,0.2,Mean,bal_acc,10,0.8849621212121213,0.025641604890033698,0.8895833333333334,0.027083333333333237,0.8666192220738644,0.9033050203503781
CPTAC 2C,MAR,0.2,KNN,bal_acc,10,0.9208333333333332,0.019739820004933215,0.9270833333333333,0.028125000000000178,0.9067123167701863,0.9349543498964801
CPTAC 2C,MAR,0.2,MissForest,bal_acc,10,0.9208333333333334,0.011453071182271284,0.9229166666666667,0.008333333333333415,0.912640299768522,0.9290263668981448
CPTAC 2C,MAR,0.3,Mean,bal_acc,10,0.8540909090909091,0.02524482205740684,0.8539772727272728,0.01799242424242431,0.8360318512921425,0.8721499668896757
