cohort,mechanism,missing_rate,metric,higher_is_better,method_a,method_b,mean_a,mean_b,delta_a_minus_b,delta_ci95_low,delta_ci95_high,wilcoxon_stat,p_value,rank_biserial_r,n_pairs,n_boot,note,p_holm
discovery,mcar,0.05,f1_macro,True,SimpleMean,"KNN(k=5,dist)",0.923444767792594,0.9245413077260902,-0.0010965399334964,-0.0108748141351402,0.0087340873800112,27.0,1.0,0.0181818181818181,10,5000,,1.0
discovery,mcar,0.05,f1_macro,True,SimpleMean,RFECA_SVR(k=5),0.923444767792594,0.922263169197952,0.001181598594642,-0.0120287470983123,0.0135129250580337,14.0,0.640625,0.2222222222222222,10,5000,,1.0
discovery,mcar,0.05,f1_macro,True,SimpleMean,RFECA_SVR(k=10),0.923444767792594,0.9195475816454076,0.0038971861471861,-0.0039492659514398,0.011580127752682,20.0,0.4921875,0.2727272727272727,10,5000,,1.0
discovery,mcar,0.05,f1_macro,True,SimpleMean,RFECA_SVR(k=20),0.923444767792594,0.9186194493911886,0.0048253184014053,-0.0054477268806073,0.0159787423928728,20.0,0.4921875,0.2727272727272727,10,5000,,1.0
discovery,mcar,0.05,f1_macro,True,SimpleMean,MissForest,0.923444767792594,0.9223843028951724,0.0010604648974214,-0.0120144688343057,0.0135754270186335,20.0,0.8203125,0.1111111111111111,10,5000,,1.0
discovery,mcar,0.05,f1_macro,True,"KNN(k=5,dist)",RFECA_SVR(k=5),0.9245413077260902,0.922263169197952,0.0022781385281384,-0.0080679994824016,0.0117008316864294,19.0,0.734375,0.1555555555555555,10,5000,,1.0
discovery,mcar,0.05,f1_macro,True,"KNN(k=5,dist)",RFECA_SVR(k=10),0.9245413077260902,0.9195475816454076,0.0049937260806825,-0.004583896809712,0.014306993067319,19.0,0.431640625,0.3090909090909091,10,5000,,1.0
discovery,mcar,0.05,f1_macro,True,"KNN(k=5,dist)",RFECA_SVR(k=20),0.9245413077260902,0.9186194493911886,0.0059218583349017,-0.0034735624882364,0.015077499372608,14.0,0.359375,0.3777777777777777,10,5000,,1.0
discovery,mcar,0.05,f1_macro,True,"KNN(k=5,dist)",MissForest,0.9245413077260902,0.9223843028951724,0.0021570048309178,-0.007506167654809,0.0109018574722378,21.0,0.556640625,0.2363636363636363,10,5000,,1.0
discovery,mcar,0.05,f1_macro,True,RFECA_SVR(k=5),RFECA_SVR(k=10),0.922263169197952,0.9195475816454076,0.002715587552544,-0.0102359291674509,0.0153404087458435,25.0,0.845703125,0.0909090909090909,10,5000,,1.0
discovery,mcar,0.05,f1_macro,True,RFECA_SVR(k=5),RFECA_SVR(k=20),0.922263169197952,0.9186194493911886,0.0036437198067632,-0.005970992141916,0.013257334211682,16.5,0.51171875,0.2888888888888888,10,5000,,1.0
discovery,mcar,0.05,f1_macro,True,RFECA_SVR(k=5),MissForest,0.922263169197952,0.9223843028951724,-0.0001211336972206,-0.0094126329286655,0.0098712262375305,17.0,0.9453125,-0.0555555555555555,10,5000,,1.0
discovery,mcar,0.05,f1_macro,True,RFECA_SVR(k=10),RFECA_SVR(k=20),0.9195475816454076,0.9186194493911886,0.0009281322542192,-0.0109785220214568,0.0140069993412385,26.0,0.921875,0.0545454545454545,10,5000,,1.0
discovery,mcar,0.05,f1_macro,True,RFECA_SVR(k=10),MissForest,0.9195475816454076,0.9223843028951724,-0.0028367212497647,-0.0132258250203902,0.0085853151075977,25.0,0.845703125,-0.0909090909090908,10,5000,,1.0
discovery,mcar,0.05,f1_macro,True,RFECA_SVR(k=20),MissForest,0.9186194493911886,0.9223843028951724,-0.0037648535039839,-0.0152247592383461,0.0065403628678085,15.0,0.42578125,-0.3333333333333332,10,5000,,1.0
discovery,mcar,0.1,f1_macro,True,SimpleMean,"KNN(k=5,dist)",0.9172617594965422,0.9250435506522464,-0.0077817911557042,-0.0155916123007427,-0.0003456132756133,8.0,0.1953125,-0.5555555555555556,10,5000,,1.0
discovery,mcar,0.1,f1_macro,True,SimpleMean,RFECA_SVR(k=5),0.9172617594965422,0.9176499720086676,-0.0003882125121255,-0.013595064681695,0.012776681488801,27.0,1.0,0.0181818181818181,10,5000,,1.0
discovery,mcar,0.1,f1_macro,True,SimpleMean,RFECA_SVR(k=10),0.9172617594965422,0.9101142379359772,0.007147521560565,-0.0064342013602339,0.0231489674094021,15.0,0.42578125,0.3333333333333333,10,5000,,1.0
discovery,mcar,0.1,f1_macro,True,SimpleMean,RFECA_SVR(k=20),0.9172617594965422,0.9181455018411538,-0.0008837423446119,-0.0132832809883353,0.0112128272633163,26.0,0.921875,-0.0545454545454544,10,5000,,1.0
discovery,mcar,0.1,f1_macro,True,SimpleMean,MissForest,0.9172617594965422,0.9184111521328912,-0.0011493926363491,-0.0150637838610664,0.0127582385187276,25.0,0.845703125,-0.0909090909090908,10,5000,,1.0
discovery,mcar,0.1,f1_macro,True,"KNN(k=5,dist)",RFECA_SVR(k=5),0.9250435506522464,0.9176499720086676,0.0073935786435786,-0.0038061625572494,0.019595054583098,18.0,0.375,0.3454545454545454,10,5000,,1.0
discovery,mcar,0.1,f1_macro,True,"KNN(k=5,dist)",RFECA_SVR(k=10),0.9250435506522464,0.9101142379359772,0.0149293127162692,0.0040426661744053,0.0266515459178502,5.0,0.0390625,0.7777777777777778,10,5000,,0.5859375
discovery,mcar,0.1,f1_macro,True,"KNN(k=5,dist)",RFECA_SVR(k=20),0.9250435506522464,0.9181455018411538,0.0068980488110922,-0.0001676293211619,0.0149483762312566,14.0,0.193359375,0.4909090909090909,10,5000,,1.0
discovery,mcar,0.1,f1_macro,True,"KNN(k=5,dist)",MissForest,0.9250435506522464,0.9184111521328912,0.006632398519355,-0.0062562378442812,0.0198882247161051,20.0,0.4921875,0.2727272727272727,10,5000,,1.0
discovery,mcar,0.1,f1_macro,True,RFECA_SVR(k=5),RFECA_SVR(k=10),0.9176499720086676,0.9101142379359772,0.0075357340726905,-0.0040920021645021,0.0199795835143117,14.0,0.359375,0.3777777777777777,10,5000,,1.0
discovery,mcar,0.1,f1_macro,True,RFECA_SVR(k=5),RFECA_SVR(k=20),0.9176499720086676,0.9181455018411538,-0.0004955298324863,-0.008872968034381,0.0071394860875838,26.0,0.921875,-0.0545454545454544,10,5000,,1.0
discovery,mcar,0.1,f1_macro,True,RFECA_SVR(k=5),MissForest,0.9176499720086676,0.9184111521328912,-0.0007611801242236,-0.0081985863291297,0.0059749086360499,15.0,0.7421875,-0.1666666666666667,10,5000,,1.0
discovery,mcar,0.1,f1_macro,True,RFECA_SVR(k=10),RFECA_SVR(k=20),0.9101142379359772,0.9181455018411538,-0.0080312639051769,-0.0159268855962877,-0.0004752953145887,9.0,0.12890625,-0.6000000000000001,10,5000,,1.0
discovery,mcar,0.1,f1_macro,True,RFECA_SVR(k=10),MissForest,0.9101142379359772,0.9184111521328912,-0.0082969141969141,-0.0171769289406245,0.000479959225557,6.0,0.109375,-0.6666666666666667,10,5000,,1.0
discovery,mcar,0.1,f1_macro,True,RFECA_SVR(k=20),MissForest,0.9181455018411538,0.9184111521328912,-0.0002656502917372,-0.0086389685676642,0.0077047764916243,22.0,1.0,-0.0222222222222221,10,5000,,1.0
discovery,mcar,0.2,f1_macro,True,SimpleMean,"KNN(k=5,dist)",0.8913581700907788,0.9122281597629424,-0.0208699896721636,-0.0380674225894877,-0.0043586881717316,7.0,0.07421875,-0.6888888888888889,10,5000,,0.96484375
discovery,mcar,0.2,f1_macro,True,SimpleMean,RFECA_SVR(k=5),0.8913581700907788,0.8989780446606535,-0.0076198745698745,-0.0262541969684904,0.0108304892148914,18.0,0.375,-0.3454545454545454,10,5000,,1.0
discovery,mcar,0.2,f1_macro,True,SimpleMean,RFECA_SVR(k=10),0.8913581700907788,0.8916600081078343,-0.0003018380170554,-0.0143448567615959,0.0141343135306722,27.0,1.0,-0.018181818181818,10,5000,,1.0
discovery,mcar,0.2,f1_macro,True,SimpleMean,RFECA_SVR(k=20),0.8913581700907788,0.8938904054882315,-0.0025322353974527,-0.0249299772811729,0.021690027762093,26.0,0.921875,-0.0545454545454544,10,5000,,1.0
discovery,mcar,0.2,f1_macro,True,SimpleMean,MissForest,0.8913581700907788,0.9083100667448492,-0.0169518966540705,-0.0399873885836385,0.0065889600737427,16.0,0.275390625,-0.4181818181818182,10,5000,,1.0
discovery,mcar,0.2,f1_macro,True,"KNN(k=5,dist)",RFECA_SVR(k=5),0.9122281597629424,0.8989780446606535,0.013250115102289,-0.0085511240993305,0.0331015523606827,15.0,0.232421875,0.4545454545454546,10,5000,,1.0
discovery,mcar,0.2,f1_macro,True,"KNN(k=5,dist)",RFECA_SVR(k=10),0.9122281597629424,0.8916600081078343,0.0205681516551081,0.0040802003371024,0.0345454995306625,10.0,0.083984375,0.6363636363636364,10,5000,,1.0
discovery,mcar,0.2,f1_macro,True,"KNN(k=5,dist)",RFECA_SVR(k=20),0.9122281597629424,0.8938904054882315,0.0183377542747108,-0.0001656042266911,0.0375761402848359,12.0,0.130859375,0.5636363636363637,10,5000,,1.0
discovery,mcar,0.2,f1_macro,True,"KNN(k=5,dist)",MissForest,0.9122281597629424,0.9083100667448492,0.003918093018093,-0.0130571248920162,0.0204048239622696,22.0,0.625,0.1999999999999999,10,5000,,1.0
discovery,mcar,0.2,f1_macro,True,RFECA_SVR(k=5),RFECA_SVR(k=10),0.8989780446606535,0.8916600081078343,0.0073180365528191,-0.0019268827488936,0.0180374080629515,12.0,0.25,0.4666666666666667,10,5000,,1.0
discovery,mcar,0.2,f1_macro,True,RFECA_SVR(k=5),RFECA_SVR(k=20),0.8989780446606535,0.8938904054882315,0.0050876391724217,-0.0141093577135425,0.0242034162516227,23.0,0.6953125,0.1636363636363637,10,5000,,1.0
discovery,mcar,0.2,f1_macro,True,RFECA_SVR(k=5),MissForest,0.8989780446606535,0.9083100667448492,-0.009332022084196,-0.0240089111371719,0.0047202919483896,17.0,0.322265625,-0.3818181818181818,10,5000,,1.0
discovery,mcar,0.2,f1_macro,True,RFECA_SVR(k=10),RFECA_SVR(k=20),0.8916600081078343,0.8938904054882315,-0.0022303973803973,-0.0164372518423605,0.0140675709013208,21.0,0.556640625,-0.2363636363636363,10,5000,,1.0
discovery,mcar,0.2,f1_macro,True,RFECA_SVR(k=10),MissForest,0.8916600081078343,0.9083100667448492,-0.0166500586370151,-0.0291744075610379,-0.0039773514408297,8.0,0.048828125,-0.709090909090909,10,5000,,0.732421875
discovery,mcar,0.2,f1_macro,True,RFECA_SVR(k=20),MissForest,0.8938904054882315,0.9083100667448492,-0.0144196612566177,-0.0252910676823176,-0.001943491514524,9.0,0.064453125,-0.6727272727272726,10,5000,,0.90234375
discovery,mcar,0.3,f1_macro,True,SimpleMean,"KNN(k=5,dist)",0.8885768499616326,0.908421312745226,-0.0198444627835932,-0.0320174984435854,-0.0091218908446625,3.0,0.009765625,-0.8909090909090909,10,5000,,0.126953125
discovery,mcar,0.3,f1_macro,True,SimpleMean,RFECA_SVR(k=5),0.8885768499616326,0.8972075574184271,-0.0086307074567944,-0.0298162665353969,0.0117246974402408,22.0,0.625,-0.1999999999999999,10,5000,,1.0
discovery,mcar,0.3,f1_macro,True,SimpleMean,RFECA_SVR(k=10),0.8885768499616326,0.8952167742885134,-0.0066399243268808,-0.0196055406007036,0.0068207593734767,17.0,0.322265625,-0.3818181818181818,10,5000,,1.0
discovery,mcar,0.3,f1_macro,True,SimpleMean,RFECA_SVR(k=20),0.8885768499616326,0.8827573771638988,0.0058194727977336,-0.015670153385262,0.0288346758796758,26.0,0.921875,0.0545454545454545,10,5000,,1.0
discovery,mcar,0.3,f1_macro,True,SimpleMean,MissForest,0.8885768499616326,0.9158477886847454,-0.0272709387231126,-0.0418290422982814,-0.0121799250990556,3.0,0.009765625,-0.8909090909090909,10,5000,,0.126953125
discovery,mcar,0.3,f1_macro,True,"KNN(k=5,dist)",RFECA_SVR(k=5),0.908421312745226,0.8972075574184271,0.0112137553267987,-0.0058193711180124,0.0263620951391602,13.0,0.16015625,0.5272727272727273,10,5000,,1.0
discovery,mcar,0.3,f1_macro,True,"KNN(k=5,dist)",RFECA_SVR(k=10),0.908421312745226,0.8952167742885134,0.0132045384567123,-0.0012936754006863,0.0271884965758878,13.0,0.16015625,0.5272727272727273,10,5000,,1.0
discovery,mcar,0.3,f1_macro,True,"KNN(k=5,dist)",RFECA_SVR(k=20),0.908421312745226,0.8827573771638988,0.0256639355813268,0.0123604467814793,0.0393575672395237,3.0,0.009765625,0.8909090909090909,10,5000,,0.126953125
discovery,mcar,0.3,f1_macro,True,"KNN(k=5,dist)",MissForest,0.908421312745226,0.9158477886847454,-0.0074264759395194,-0.0166545502927025,0.0032606672856129,15.0,0.232421875,-0.4545454545454546,10,5000,,1.0
discovery,mcar,0.3,f1_macro,True,RFECA_SVR(k=5),RFECA_SVR(k=10),0.8972075574184271,0.8952167742885134,0.0019907831299135,-0.0193616072876398,0.0225286618996945,24.0,0.76953125,0.1272727272727273,10,5000,,1.0
discovery,mcar,0.3,f1_macro,True,RFECA_SVR(k=5),RFECA_SVR(k=20),0.8972075574184271,0.8827573771638988,0.014450180254528,-0.004164709541666,0.0328971960889352,14.0,0.193359375,0.4909090909090909,10,5000,,1.0
discovery,mcar,0.3,f1_macro,True,RFECA_SVR(k=5),MissForest,0.8972075574184271,0.9158477886847454,-0.0186402312663182,-0.0351126103606538,-0.0028329831702114,10.0,0.083984375,-0.6363636363636365,10,5000,,0.83984375
discovery,mcar,0.3,f1_macro,True,RFECA_SVR(k=10),RFECA_SVR(k=20),0.8952167742885134,0.8827573771638988,0.0124593971246144,-0.0073781850395981,0.0336964316359968,18.0,0.375,0.3454545454545454,10,5000,,1.0
discovery,mcar,0.3,f1_macro,True,RFECA_SVR(k=10),MissForest,0.8952167742885134,0.9158477886847454,-0.0206310143962318,-0.0304886947955426,-0.0107846794932121,1.0,0.00390625,-0.9636363636363636,10,5000,,0.05859375
discovery,mcar,0.3,f1_macro,True,RFECA_SVR(k=20),MissForest,0.8827573771638988,0.9158477886847454,-0.0330904115208463,-0.0476964028362941,-0.019827315625196,0.0,0.00390625,-1.0,10,5000,,0.05859375
discovery,mcar,0.05,rmse,False,SimpleMean,"KNN(k=5,dist)",2.8081285785899355,2.016992315275133,0.7911362633148022,0.7185596829733212,0.8737000728405334,0.0,0.001953125,1.0,10,5000,,0.029296875
discovery,mcar,0.05,rmse,False,SimpleMean,RFECA_SVR(k=5),2.8081285785899355,2.0406309920844974,0.7674975865054379,0.6222167048616986,0.9073702590591451,0.0,0.001953125,1.0,10,5000,,0.029296875
discovery,mcar,0.05,rmse,False,SimpleMean,RFECA_SVR(k=10),2.8081285785899355,2.1476662234311603,0.6604623551587745,0.4917599194589043,0.8174149850020246,0.0,0.001953125,1.0,10,5000,,0.029296875
discovery,mcar,0.05,rmse,False,SimpleMean,RFECA_SVR(k=20),2.8081285785899355,2.388047481929054,0.4200810966608815,0.2862460652940621,0.550326215152204,0.0,0.001953125,1.0,10,5000,,0.029296875
discovery,mcar,0.05,rmse,False,SimpleMean,MissForest,2.8081285785899355,1.7610788481651167,1.0470497304248183,0.940611993880386,1.1550640551689266,0.0,0.001953125,1.0,10,5000,,0.029296875
discovery,mcar,0.05,rmse,False,"KNN(k=5,dist)",RFECA_SVR(k=5),2.016992315275133,2.0406309920844974,-0.0236386768093642,-0.1315610659057034,0.095683092024215,23.0,0.6953125,-0.1636363636363635,10,5000,,0.6953125
discovery,mcar,0.05,rmse,False,"KNN(k=5,dist)",RFECA_SVR(k=10),2.016992315275133,2.1476662234311603,-0.1306739081560278,-0.2703165390967707,0.0131533450796549,12.0,0.130859375,-0.5636363636363637,10,5000,,0.26171875
discovery,mcar,0.05,rmse,False,"KNN(k=5,dist)",RFECA_SVR(k=20),2.016992315275133,2.388047481929054,-0.3710551666539208,-0.4687231685962292,-0.2788003530411375,0.0,0.001953125,-1.0,10,5000,,0.029296875
discovery,mcar,0.05,rmse,False,"KNN(k=5,dist)",MissForest,2.016992315275133,1.7610788481651167,0.2559134671100161,0.180140449567545,0.3401236676576907,0.0,0.001953125,1.0,10,5000,,0.029296875
discovery,mcar,0.05,rmse,False,RFECA_SVR(k=5),RFECA_SVR(k=10),2.0406309920844974,2.1476662234311603,-0.1070352313466635,-0.1907899747994431,-0.0171226613020306,9.0,0.064453125,-0.6727272727272726,10,5000,,0.193359375
discovery,mcar,0.05,rmse,False,RFECA_SVR(k=5),RFECA_SVR(k=20),2.0406309920844974,2.388047481929054,-0.3474164898445565,-0.4183849623438207,-0.2851417143054735,0.0,0.001953125,-1.0,10,5000,,0.029296875
discovery,mcar,0.05,rmse,False,RFECA_SVR(k=5),MissForest,2.0406309920844974,1.7610788481651167,0.2795521439193805,0.2019024805308885,0.3535194381652576,0.0,0.001953125,1.0,10,5000,,0.029296875
discovery,mcar,0.05,rmse,False,RFECA_SVR(k=10),RFECA_SVR(k=20),2.1476662234311603,2.388047481929054,-0.240381258497893,-0.3552554148494979,-0.1350206976021207,0.0,0.001953125,-1.0,10,5000,,0.029296875
discovery,mcar,0.05,rmse,False,RFECA_SVR(k=10),MissForest,2.1476662234311603,1.7610788481651167,0.386587375266044,0.2688358086931907,0.5018224970909365,0.0,0.001953125,1.0,10,5000,,0.029296875
discovery,mcar,0.05,rmse,False,RFECA_SVR(k=20),MissForest,2.388047481929054,1.7610788481651167,0.6269686337639371,0.5525507280605064,0.6993213857083599,0.0,0.001953125,1.0,10,5000,,0.029296875
discovery,mcar,0.1,rmse,False,SimpleMean,"KNN(k=5,dist)",2.8483087786082413,2.0850778545925936,0.7632309240156472,0.7031581371276231,0.8174416262033751,0.0,0.001953125,1.0,10,5000,,0.029296875
discovery,mcar,0.1,rmse,False,SimpleMean,RFECA_SVR(k=5),2.8483087786082413,2.0960004545578665,0.7523083240503741,0.677543986952895,0.8265186823795867,0.0,0.001953125,1.0,10,5000,,0.029296875
discovery,mcar,0.1,rmse,False,SimpleMean,RFECA_SVR(k=10),2.8483087786082413,2.250653198847436,0.5976555797608045,0.5190203291329836,0.67162479964308,0.0,0.001953125,1.0,10,5000,,0.029296875
discovery,mcar,0.1,rmse,False,SimpleMean,RFECA_SVR(k=20),2.8483087786082413,2.4792008052240244,0.3691079733842167,0.2752480641444615,0.4564140903326593,0.0,0.001953125,1.0,10,5000,,0.029296875
discovery,mcar,0.1,rmse,False,SimpleMean,MissForest,2.8483087786082413,1.833383794390508,1.0149249842177333,0.9508544793424992,1.080522081794881,0.0,0.001953125,1.0,10,5000,,0.029296875
discovery,mcar,0.1,rmse,False,"KNN(k=5,dist)",RFECA_SVR(k=5),2.0850778545925936,2.0960004545578665,-0.0109225999652731,-0.0765337011781989,0.0568034984266719,22.0,0.625,-0.1999999999999999,10,5000,,0.625
discovery,mcar,0.1,rmse,False,"KNN(k=5,dist)",RFECA_SVR(k=10),2.0850778545925936,2.250653198847436,-0.1655753442548426,-0.2323874529032361,-0.1063863691159109,0.0,0.001953125,-1.0,10,5000,,0.029296875
discovery,mcar,0.1,rmse,False,"KNN(k=5,dist)",RFECA_SVR(k=20),2.0850778545925936,2.4792008052240244,-0.3941229506314305,-0.475809246126147,-0.3039620834104002,0.0,0.001953125,-1.0,10,5000,,0.029296875
discovery,mcar,0.1,rmse,False,"KNN(k=5,dist)",MissForest,2.0850778545925936,1.833383794390508,0.2516940602020859,0.2081623573430472,0.2954843355954918,0.0,0.001953125,1.0,10,5000,,0.029296875
discovery,mcar,0.1,rmse,False,RFECA_SVR(k=5),RFECA_SVR(k=10),2.0960004545578665,2.250653198847436,-0.1546527442895695,-0.1979570356620062,-0.1123236612397072,0.0,0.001953125,-1.0,10,5000,,0.029296875
discovery,mcar,0.1,rmse,False,RFECA_SVR(k=5),RFECA_SVR(k=20),2.0960004545578665,2.4792008052240244,-0.3832003506661574,-0.4522634543797402,-0.3149865174260842,0.0,0.001953125,-1.0,10,5000,,0.029296875
discovery,mcar,0.1,rmse,False,RFECA_SVR(k=5),MissForest,2.0960004545578665,1.833383794390508,0.2626166601673591,0.2204524936605573,0.3036471386032139,0.0,0.001953125,1.0,10,5000,,0.029296875
discovery,mcar,0.1,rmse,False,RFECA_SVR(k=10),RFECA_SVR(k=20),2.250653198847436,2.4792008052240244,-0.2285476063765878,-0.2777555334818281,-0.1772510310001411,0.0,0.001953125,-1.0,10,5000,,0.029296875
discovery,mcar,0.1,rmse,False,RFECA_SVR(k=10),MissForest,2.250653198847436,1.833383794390508,0.4172694044569285,0.3691003728967036,0.472842469858839,0.0,0.001953125,1.0,10,5000,,0.029296875
