method,source_method,mechanism,missing_rate,model,f1_mean,f1_std,f1_ci95_low,f1_ci95_high,bal_mean,bal_std,n_reps,protocol
RFECA,OriginalRFECA,MAR,0.0,EnsembleSoft,0.8859360095573787,0.0,0.8859360095573787,0.8859360095573787,,,10,complete_data_shared_baseline
RFECA,OriginalRFECA,MAR,0.05,EnsembleSoft,0.8824652369467829,0.0051387875694452745,0.8760845894273857,0.8888458844661802,0.8719862979696099,0.004826966569921748,5,post_target_wise_impute
RFECA,OriginalRFECA,MAR,0.1,EnsembleSoft,0.8789098886811282,0.005239359250470764,0.8724043649261628,0.8854154124360936,0.8696992953559064,0.0047277695027261556,5,post_target_wise_impute
RFECA,OriginalRFECA,MAR,0.2,EnsembleSoft,0.8765333637551838,0.00729431982452427,0.867476269437688,0.8855904580726796,0.8674813752785511,0.007474876617563279,5,post_target_wise_impute
RFECA,OriginalRFECA,MAR,0.3,EnsembleSoft,0.8724649490886442,0.0035664335804867497,0.868036636909769,0.8768932612675195,0.8640593705253525,0.0034876347015254374,5,post_target_wise_impute
RFECA,OriginalRFECA,MCAR,0.0,EnsembleSoft,0.8859360095573787,0.0,0.8859360095573787,0.8859360095573787,,,10,complete_data_shared_baseline
RFECA,OriginalRFECA,MCAR,0.05,EnsembleSoft,0.8820947897770415,0.0026523281224988702,0.8788014894359113,0.8853880901181717,0.8724540962531977,0.0023995478975842467,5,post_target_wise_impute
RFECA,OriginalRFECA,MCAR,0.1,EnsembleSoft,0.8771232344973182,0.002507313635079941,0.8740099934244341,0.8802364755702023,0.8674408517598506,0.0025415226226594813,5,post_target_wise_impute
RFECA,OriginalRFECA,MCAR,0.2,EnsembleSoft,0.8759837976830788,0.0067091276680472075,0.8676533153983118,0.8843142799678457,0.8665680553934726,0.006198713072515042,5,post_target_wise_impute
RFECA,OriginalRFECA,MCAR,0.3,EnsembleSoft,0.87234855301097,0.006128590110397725,0.8647389033111416,0.8799582027107985,0.863688700687417,0.005930376446983777,5,post_target_wise_impute
