cohort,mechanism,missing_rate,metric,higher_is_better,wilcoxon_stat,p_value,n_pairs,n_boot,note,p_holm,method_a,method_b,mean_a,mean_b,delta_a_minus_b,delta_ci95_low,delta_ci95_high,rank_biserial_r,p_holm_primary_family
discovery,mcar,0.05,f1_macro,True,14.0,0.640625,10,5000,,1.0,RFECA_SVR(k=5),SimpleMean,0.922263169197952,0.923444767792594,-0.001181598594642,-0.0135129250580337,0.0120287470983123,-0.2222222222222222,1.0
discovery,mcar,0.05,f1_macro,True,20.0,0.4921875,10,5000,,1.0,RFECA_SVR(k=10),SimpleMean,0.9195475816454076,0.923444767792594,-0.0038971861471861,-0.011580127752682,0.0039492659514398,-0.2727272727272727,1.0
discovery,mcar,0.05,f1_macro,True,20.0,0.4921875,10,5000,,1.0,RFECA_SVR(k=20),SimpleMean,0.9186194493911886,0.923444767792594,-0.0048253184014053,-0.0159787423928728,0.0054477268806073,-0.2727272727272727,1.0
discovery,mcar,0.05,f1_macro,True,20.0,0.8203125,10,5000,,1.0,MissForest,SimpleMean,0.9223843028951724,0.923444767792594,-0.0010604648974214,-0.0135754270186335,0.0120144688343057,-0.1111111111111111,1.0
discovery,mcar,0.05,f1_macro,True,19.0,0.734375,10,5000,,1.0,RFECA_SVR(k=5),"KNN(k=5,dist)",0.922263169197952,0.9245413077260902,-0.0022781385281384,-0.0117008316864294,0.0080679994824016,-0.1555555555555555,1.0
discovery,mcar,0.05,f1_macro,True,19.0,0.431640625,10,5000,,1.0,RFECA_SVR(k=10),"KNN(k=5,dist)",0.9195475816454076,0.9245413077260902,-0.0049937260806825,-0.014306993067319,0.004583896809712,-0.3090909090909091,1.0
discovery,mcar,0.05,f1_macro,True,14.0,0.359375,10,5000,,1.0,RFECA_SVR(k=20),"KNN(k=5,dist)",0.9186194493911886,0.9245413077260902,-0.0059218583349017,-0.015077499372608,0.0034735624882364,-0.3777777777777777,1.0
discovery,mcar,0.05,f1_macro,True,21.0,0.556640625,10,5000,,1.0,MissForest,"KNN(k=5,dist)",0.9223843028951724,0.9245413077260902,-0.0021570048309178,-0.0109018574722378,0.007506167654809,-0.2363636363636363,1.0
discovery,mcar,0.1,f1_macro,True,27.0,1.0,10,5000,,1.0,RFECA_SVR(k=5),SimpleMean,0.9176499720086676,0.9172617594965422,0.0003882125121255,-0.012776681488801,0.013595064681695,-0.0181818181818181,1.0
discovery,mcar,0.1,f1_macro,True,15.0,0.42578125,10,5000,,1.0,RFECA_SVR(k=10),SimpleMean,0.9101142379359772,0.9172617594965422,-0.007147521560565,-0.0231489674094021,0.0064342013602339,-0.3333333333333333,1.0
discovery,mcar,0.1,f1_macro,True,26.0,0.921875,10,5000,,1.0,RFECA_SVR(k=20),SimpleMean,0.9181455018411538,0.9172617594965422,0.0008837423446119,-0.0112128272633163,0.0132832809883353,0.0545454545454544,1.0
discovery,mcar,0.1,f1_macro,True,25.0,0.845703125,10,5000,,1.0,MissForest,SimpleMean,0.9184111521328912,0.9172617594965422,0.0011493926363491,-0.0127582385187276,0.0150637838610664,0.0909090909090908,1.0
discovery,mcar,0.1,f1_macro,True,18.0,0.375,10,5000,,1.0,RFECA_SVR(k=5),"KNN(k=5,dist)",0.9176499720086676,0.9250435506522464,-0.0073935786435786,-0.019595054583098,0.0038061625572494,-0.3454545454545454,1.0
discovery,mcar,0.1,f1_macro,True,5.0,0.0390625,10,5000,,0.5859375,RFECA_SVR(k=10),"KNN(k=5,dist)",0.9101142379359772,0.9250435506522464,-0.0149293127162692,-0.0266515459178502,-0.0040426661744053,-0.7777777777777778,0.3125
discovery,mcar,0.1,f1_macro,True,14.0,0.193359375,10,5000,,1.0,RFECA_SVR(k=20),"KNN(k=5,dist)",0.9181455018411538,0.9250435506522464,-0.0068980488110922,-0.0149483762312566,0.0001676293211619,-0.4909090909090909,1.0
discovery,mcar,0.1,f1_macro,True,20.0,0.4921875,10,5000,,1.0,MissForest,"KNN(k=5,dist)",0.9184111521328912,0.9250435506522464,-0.006632398519355,-0.0198882247161051,0.0062562378442812,-0.2727272727272727,1.0
discovery,mcar,0.2,f1_macro,True,18.0,0.375,10,5000,,1.0,RFECA_SVR(k=5),SimpleMean,0.8989780446606535,0.8913581700907788,0.0076198745698745,-0.0108304892148914,0.0262541969684904,0.3454545454545454,1.0
discovery,mcar,0.2,f1_macro,True,27.0,1.0,10,5000,,1.0,RFECA_SVR(k=10),SimpleMean,0.8916600081078343,0.8913581700907788,0.0003018380170554,-0.0141343135306722,0.0143448567615959,0.018181818181818,1.0
discovery,mcar,0.2,f1_macro,True,26.0,0.921875,10,5000,,1.0,RFECA_SVR(k=20),SimpleMean,0.8938904054882315,0.8913581700907788,0.0025322353974527,-0.021690027762093,0.0249299772811729,0.0545454545454544,1.0
discovery,mcar,0.2,f1_macro,True,16.0,0.275390625,10,5000,,1.0,MissForest,SimpleMean,0.9083100667448492,0.8913581700907788,0.0169518966540705,-0.0065889600737427,0.0399873885836385,0.4181818181818182,1.0
discovery,mcar,0.2,f1_macro,True,15.0,0.232421875,10,5000,,1.0,RFECA_SVR(k=5),"KNN(k=5,dist)",0.8989780446606535,0.9122281597629424,-0.013250115102289,-0.0331015523606827,0.0085511240993305,-0.4545454545454546,1.0
