mechanism,missing_rate,method,metric,mean,std,ci95_low,ci95_high,n_replications
MAR,0.0,Mean,bal_acc,0.8752464911354514,0.0,0.8752464911354514,0.8752464911354514,10
MAR,0.0,KNN,bal_acc,0.8752464911354514,0.0,0.8752464911354514,0.8752464911354514,10
MAR,0.0,RFECA-k5,bal_acc,0.8752464911354514,0.0,0.8752464911354514,0.8752464911354514,10
MAR,0.0,RFECA-k10,bal_acc,0.8752464911354514,0.0,0.8752464911354514,0.8752464911354514,10
MAR,0.0,RFECA-k20,bal_acc,0.8752464911354514,0.0,0.8752464911354514,0.8752464911354514,10
MAR,0.0,MissForest,bal_acc,0.8752464911354514,0.0,0.8752464911354514,0.8752464911354514,10
MAR,0.0,Mean,f1_macro,0.8859360095573787,0.0,0.8859360095573787,0.8859360095573787,10
MAR,0.0,KNN,f1_macro,0.8859360095573787,0.0,0.8859360095573787,0.8859360095573787,10
MAR,0.0,RFECA-k5,f1_macro,0.8859360095573787,0.0,0.8859360095573787,0.8859360095573787,10
MAR,0.0,RFECA-k10,f1_macro,0.8859360095573787,0.0,0.8859360095573787,0.8859360095573787,10
MAR,0.0,RFECA-k20,f1_macro,0.8859360095573787,0.0,0.8859360095573787,0.8859360095573787,10
MAR,0.0,MissForest,f1_macro,0.8859360095573787,0.0,0.8859360095573787,0.8859360095573787,10
MAR,0.0,Mean,precision_macro,0.9009817008448259,0.0,0.9009817008448259,0.9009817008448259,10
MAR,0.0,KNN,precision_macro,0.9009817008448259,0.0,0.9009817008448259,0.9009817008448259,10
MAR,0.0,RFECA-k5,precision_macro,0.9009817008448259,0.0,0.9009817008448259,0.9009817008448259,10
MAR,0.0,RFECA-k10,precision_macro,0.9009817008448259,0.0,0.9009817008448259,0.9009817008448259,10
MAR,0.0,RFECA-k20,precision_macro,0.9009817008448259,0.0,0.9009817008448259,0.9009817008448259,10
MAR,0.0,MissForest,precision_macro,0.9009817008448259,0.0,0.9009817008448259,0.9009817008448259,10
MAR,0.0,Mean,recall_macro,0.8752464911354514,0.0,0.8752464911354514,0.8752464911354514,10
MAR,0.0,KNN,recall_macro,0.8752464911354514,0.0,0.8752464911354514,0.8752464911354514,10
MAR,0.0,RFECA-k5,recall_macro,0.8752464911354514,0.0,0.8752464911354514,0.8752464911354514,10
MAR,0.0,RFECA-k10,recall_macro,0.8752464911354514,0.0,0.8752464911354514,0.8752464911354514,10
MAR,0.0,RFECA-k20,recall_macro,0.8752464911354514,0.0,0.8752464911354514,0.8752464911354514,10
MAR,0.0,MissForest,recall_macro,0.8752464911354514,0.0,0.8752464911354514,0.8752464911354514,10
MAR,0.05,Mean,bal_acc,0.8709846637102736,0.004990042401514684,0.8674150024172637,0.8745543250032836,10
MAR,0.05,KNN,bal_acc,0.8702920596020725,0.0028670348077307942,0.8682411064527039,0.872343012751441,10
MAR,0.05,RFECA-k5,bal_acc,0.8705611034237478,0.003293750365259848,0.8682048963534158,0.8729173104940798,10
MAR,0.05,RFECA-k10,bal_acc,0.8713267078450005,0.004550764351615633,0.8680712871386272,0.8745821285513738,10
MAR,0.05,RFECA-k20,bal_acc,0.8715771269452273,0.004667473508070459,0.868238217537794,0.8749160363526606,10
MAR,0.05,MissForest,bal_acc,0.8707137577869286,0.003892971073612633,0.8679288940446758,0.8734986215291815,10
MAR,0.05,Mean,f1_macro,0.8807230463647768,0.005120541803657628,0.8770600314232189,0.8843860613063348,10
MAR,0.05,KNN,f1_macro,0.8803363082962823,0.003060814828473274,0.8781467332708365,0.8825258833217281,10
MAR,0.05,RFECA-k5,f1_macro,0.8801272587714714,0.003006867784571779,0.8779762751364372,0.8822782424065055,10
MAR,0.05,RFECA-k10,f1_macro,0.8812410534187956,0.004765343763022712,0.877832131848593,0.8846499749889981,10
MAR,0.05,RFECA-k20,f1_macro,0.8816077162833883,0.004408147545890865,0.8784543174938977,0.8847611150728789,10
MAR,0.05,MissForest,f1_macro,0.8805805867748587,0.0039509816338931915,0.8777542247776899,0.8834069487720275,10
MAR,0.05,Mean,precision_macro,0.8945666174350821,0.005581362762861737,0.8905739510379415,0.8985592838322228,10
MAR,0.05,KNN,precision_macro,0.8947987379568021,0.0038061567513269622,0.8920759774395335,0.8975214984740707,10
MAR,0.05,RFECA-k5,precision_macro,0.8939602388109558,0.003103424241552914,0.8917401828476041,0.8961802947743074,10
MAR,0.05,RFECA-k10,precision_macro,0.8954109644052831,0.005385431050612381,0.8915584591115987,0.8992634696989675,10
MAR,0.05,RFECA-k20,precision_macro,0.895833061193154,0.004468733351077249,0.8926363219295195,0.8990298004567885,10
MAR,0.05,MissForest,precision_macro,0.8947489817869411,0.004434088836159886,0.8915770257163067,0.8979209378575754,10
MAR,0.05,Mean,recall_macro,0.8709846637102736,0.0049900424015146515,0.8674150024172637,0.8745543250032836,10
MAR,0.05,KNN,recall_macro,0.8702920596020725,0.0028670348077308267,0.8682411064527039,0.872343012751441,10
MAR,0.05,RFECA-k5,recall_macro,0.8705611034237478,0.0032937503652598283,0.8682048963534158,0.8729173104940798,10
MAR,0.05,RFECA-k10,recall_macro,0.8713267078450005,0.004550764351615579,0.8680712871386272,0.8745821285513738,10
MAR,0.05,RFECA-k20,recall_macro,0.871577126945227,0.004667473508070481,0.8682382175377937,0.8749160363526604,10
MAR,0.05,MissForest,recall_macro,0.8707137577869284,0.0038929710736126414,0.8679288940446755,0.8734986215291812,10
MAR,0.1,Mean,bal_acc,0.8652054267227566,0.004634815357157105,0.8618898795491153,0.8685209738963978,10
MAR,0.1,KNN,bal_acc,0.8680423254181278,0.0022262217321915782,0.8664497823277826,0.8696348685084729,10
MAR,0.1,RFECA-k5,bal_acc,0.8690496381382132,0.003890842112434678,0.8662662973630416,0.8718329789133848,10
MAR,0.1,RFECA-k10,bal_acc,0.867906968085402,0.0038696622118162033,0.8651387784984056,0.8706751576723984,10
MAR,0.1,RFECA-k20,bal_acc,0.8684722639006978,0.0044473935904409565,0.8652907901822061,0.8716537376191894,10
MAR,0.1,MissForest,bal_acc,0.8692159834175239,0.002793415277477174,0.8672176945075367,0.8712142723275111,10
MAR,0.1,Mean,f1_macro,0.8743290626841953,0.004644441378772131,0.8710066294695148,0.8776514958988758,10
