mechanism,rate,rate_pct,gene,rmse_mean,rmse_std,mae_mean,n_reps,n_predictors_selected_mean
mar,0.1,10,MYBL2,0.1638136469533063,0.014431996541636145,0.12602930912555738,5,13.2
mar,0.1,10,MKI67,0.21309728003516365,0.00987736144329011,0.1589259855955375,5,24.0
mar,0.1,10,MDM2,0.235779099317806,0.03453783846924009,0.1584794447556001,5,19.6
mar,0.1,10,CDC6,0.24257204681389544,0.039536441686311215,0.14508169322084813,5,12.8
mar,0.1,10,NDC80,0.25172146504730347,0.026371338972134287,0.190006344661539,5,23.2
mar,0.1,10,KIF2C,0.2681090011580494,0.01234539154888562,0.2078251701595232,5,21.2
mar,0.1,10,NUF2,0.27025533083879016,0.026330463444813195,0.19299482112635682,5,20.6
mar,0.1,10,CEP55,0.27026721240443663,0.02474810358783488,0.20639330732489003,5,22.8
mar,0.1,10,EXO1,0.2900331392541033,0.020148329252802515,0.22482979252321278,5,18.4
mar,0.1,10,ANLN,0.3002230081260623,0.03306114506276519,0.22578760172161405,5,22.6
mar,0.1,10,RRM2,0.3206216391649316,0.02155610247638875,0.2371447194768165,5,23.6
mar,0.1,10,BAG1,0.3264405215806763,0.03674972710379633,0.23133032066319084,5,23.4
mar,0.1,10,UBE2T,0.3609604497566211,0.02404919981927831,0.27454811780067373,5,20.0
mar,0.1,10,CCNB1,0.36557212219109714,0.015977531457269947,0.28137407085820604,5,23.2
mar,0.1,10,ORC6,0.36810383638184774,0.01030861621681378,0.2971469969351421,5,23.4
mar,0.1,10,CDC20,0.37572105157377145,0.01588805951803801,0.293840203604464,5,20.6
mar,0.1,10,MELK,0.37662786701797024,0.04021986376583262,0.28386781229132174,5,19.8
mar,0.1,10,PTTG1,0.38124273174028384,0.022320628881893127,0.3020520011136357,5,23.2
mar,0.1,10,CENPF,0.39309448916544004,0.02539803390415016,0.2966391015897983,5,23.0
mar,0.1,10,UBE2C,0.416261006857117,0.04509036601820008,0.3222706140667283,5,23.0
mar,0.1,10,TYMS,0.48054219496517003,0.023441556708416956,0.37668876963304887,5,22.4
mar,0.1,10,CCNE1,0.48076158300511834,0.06708584067233629,0.3273835191853183,5,23.6
mar,0.1,10,BIRC5,0.49630464469163005,0.025878731705971502,0.36230746423212484,5,17.6
mar,0.1,10,GRB7,0.5068508464968617,0.03634920397435122,0.36778691962167104,5,20.4
mar,0.1,10,MIA,0.5090836195276762,0.05389793205169721,0.30755120535844704,5,23.0
mar,0.1,10,TMEM45B,0.5140786779979326,0.042685633721381656,0.36739920504321677,5,23.2
mar,0.1,10,CXXC5,0.5637256700295243,0.032006770074238175,0.43142274353064175,5,24.0
mar,0.1,10,ERBB2,0.5686894911606934,0.06722524352398891,0.4083788112057108,5,23.4
mar,0.1,10,ACTR3B,0.588314919430688,0.03722019300942137,0.37496321576432406,5,22.8
mar,0.1,10,BLVRA,0.5984926886937441,0.04794598945946234,0.45596848078135144,5,21.0
mar,0.1,10,GPR160,0.6277771256091789,0.033504969797139794,0.49467739561696594,5,23.8
mar,0.1,10,KRT5,0.6402918057209703,0.04805581899379552,0.36252662089862064,5,23.8
mar,0.1,10,FOXA1,0.6454654218194305,0.05295210703181473,0.45995469341390827,5,22.4
mar,0.1,10,BCL2,0.6602159866330372,0.03925908169608324,0.5074480388162556,5,23.6
mar,0.1,10,MLPH,0.6894359233397365,0.04425231214321378,0.5226208561691295,5,22.0
mar,0.1,10,EGFR,0.7092747552223608,0.12253981943220552,0.3317183923236608,5,21.2
mar,0.1,10,FOXC1,0.7546614436377764,0.05314930278384056,0.5437157227327407,5,23.2
mar,0.1,10,KRT14,0.7625744374714624,0.09110128778009903,0.4485733670852602,5,20.2
mar,0.1,10,FGFR4,0.793608305366546,0.038502768890044205,0.5595424379934789,5,23.6
mar,0.1,10,KRT17,0.8090571102005704,0.09448522416819816,0.542842522498671,5,3.8
mar,0.1,10,PGR,0.8187932041570247,0.04600093976608331,0.6344387189580376,5,22.4
mar,0.1,10,MYC,0.845344948053057,0.08470585813957184,0.6671458853373313,5,24.0
mar,0.1,10,CDH3,0.8878740443561546,0.10031928842542473,0.6370246622731413,5,23.2
mar,0.1,10,SLC39A6,0.9368288486501715,0.025164259273418296,0.7348066783658654,5,24.0
mar,0.1,10,PHGDH,0.9438440627620139,0.056629519747932525,0.7479520878123752,5,24.0
mar,0.1,10,ESR1,1.011362447176507,0.04343464499516559,0.8002965917301663,5,21.8
mar,0.1,10,SFRP1,1.0508405368520042,0.08508034599569099,0.7309821677937475,5,19.8
mar,0.1,10,MAPT,1.0550623145688185,0.05985714481461317,0.7986081262631487,5,23.4
mar,0.1,10,NAT1,1.1774867323995224,0.06978663951883946,0.9058472748018458,5,22.8
mar,0.1,10,MMP11,1.320857361153355,0.07193486291345753,1.0149026715979825,5,23.2
mar,0.2,20,MYBL2,0.17081301420978806,0.0032142415860014865,0.13348693962056662,5,13.0
mar,0.2,20,MDM2,0.22009750508058187,0.027625214386594717,0.15277008448649523,5,22.8
mar,0.2,20,MKI67,0.22494735620084913,0.011231763928498931,0.16595693684535154,5,22.6
mar,0.2,20,CDC6,0.23767036780041234,0.02342059524992916,0.14714572565054135,5,9.4
mar,0.2,20,NDC80,0.2382032535447657,0.00889669356467359,0.18272983331520154,5,21.8
mar,0.2,20,KIF2C,0.26274640452683506,0.010434098921636176,0.20460265188451507,5,14.2
mar,0.2,20,CEP55,0.28804882723830666,0.008172753873707006,0.21544754685233483,5,22.6
mar,0.2,20,NUF2,0.2909114129267582,0.010327100060096659,0.20113026004354734,5,20.6
mar,0.2,20,EXO1,0.301452300675085,0.014667530275859887,0.2333982246959009,5,20.2
mar,0.2,20,ANLN,0.30985637549716805,0.015458469962259554,0.2338730278145841,5,19.4
mar,0.2,20,BAG1,0.31814078716622374,0.03152612079357728,0.22458033607911654,5,22.0
mar,0.2,20,RRM2,0.34076109805040206,0.012264020373413594,0.2576561663772039,5,23.6
mar,0.2,20,CCNB1,0.3513067040905117,0.01341779575504167,0.27055147511352323,5,22.6
mar,0.2,20,MELK,0.37241780091477483,0.015883628616892045,0.2801329320093794,5,15.8
mar,0.2,20,UBE2T,0.37363846449743576,0.00801068038356422,0.2840113136016641,5,20.2
mar,0.2,20,ORC6,0.3851637836768343,0.010325367771574768,0.3170454225483163,5,22.2
mar,0.2,20,CDC20,0.38734847700811814,0.021890874844042674,0.29942017709584673,5,22.2
mar,0.2,20,PTTG1,0.38855397835131533,0.01440094497258068,0.3031480004208045,5,24.0
mar,0.2,20,CENPF,0.3939839099241425,0.011796187378877283,0.2997397365565585,5,22.6
mar,0.2,20,UBE2C,0.412348858861345,0.017166897927637127,0.3181305575656232,5,22.8
mar,0.2,20,MIA,0.4758886886820254,0.04656184277438317,0.2926073549992167,5,23.0
mar,0.2,20,TYMS,0.4817157884135665,0.020568259290452178,0.37952835685136843,5,23.0
mar,0.2,20,CCNE1,0.5056040042854293,0.013695020541841074,0.3323844333031484,5,22.8
mar,0.2,20,TMEM45B,0.5153371653828941,0.011046084416592623,0.3780980216143397,5,22.0
mar,0.2,20,GRB7,0.523537664368788,0.03396999754333655,0.37426944274942536,5,15.2
mar,0.2,20,BIRC5,0.5340440540393694,0.02199365602441192,0.3733196663606651,5,20.8
mar,0.2,20,ACTR3B,0.557395813278532,0.03444932929157046,0.3424689110018796,5,21.8
mar,0.2,20,CXXC5,0.5594889876360389,0.022162407562308358,0.4212697509201872,5,23.0
mar,0.2,20,ERBB2,0.5667758735078974,0.05319726704185458,0.41450989849754993,5,23.8
mar,0.2,20,GPR160,0.6183558508840215,0.03061770167270823,0.47465983354507435,5,22.6
mar,0.2,20,BLVRA,0.6321305974214706,0.029023437375093802,0.4791329791887036,5,21.0
mar,0.2,20,FOXA1,0.6323307884055511,0.022167768685121016,0.45526871086977305,5,21.8
mar,0.2,20,KRT5,0.6370496035720621,0.016251314103390663,0.3421202599391028,5,20.2
mar,0.2,20,EGFR,0.6522129860744718,0.09942103099687427,0.31684693265406283,5,22.6
mar,0.2,20,MLPH,0.6647662578279585,0.013401457914057452,0.4903714365066535,5,23.2
mar,0.2,20,BCL2,0.6889756639268094,0.018552748854516823,0.5298740117944768,5,23.6
mar,0.2,20,KRT14,0.7383154234251659,0.02126554941749145,0.4370316420365376,5,23.0
mar,0.2,20,FOXC1,0.7689958894557936,0.02895579601497815,0.5600613350989118,5,23.0
mar,0.2,20,KRT17,0.8147319987122339,0.05238514742465654,0.5410536764552112,5,4.4
mar,0.2,20,PGR,0.8264320857547048,0.027802047616441714,0.6227527836764623,5,22.4
mar,0.2,20,FGFR4,0.8271742484769099,0.052705878337157085,0.5728561954043425,5,23.4
mar,0.2,20,MYC,0.8500251018268571,0.021374760429841995,0.6664935161159342,5,24.0
mar,0.2,20,CDH3,0.8678363123649475,0.017810609463175704,0.6328026071174928,5,22.8
mar,0.2,20,PHGDH,0.9426583126018558,0.023392538734341693,0.7351726138194906,5,24.0
mar,0.2,20,ESR1,0.9602476735061197,0.060622305785119936,0.7485642565010138,5,22.4
mar,0.2,20,SLC39A6,0.9796857564177268,0.02858246775208896,0.7818097359240486,5,23.8
mar,0.2,20,SFRP1,1.0240937982774778,0.08670090103874313,0.7092655466769522,5,20.8
mar,0.2,20,MAPT,1.1015799420338976,0.05238656803573233,0.8431181229392942,5,23.4
mar,0.2,20,NAT1,1.2240455882200079,0.07000535365982213,0.953595261250727,5,22.8
mar,0.2,20,MMP11,1.3302274157608802,0.04067827575698179,1.0371441583208445,5,20.4
