cohort,mechanism,missing_rate,metric,higher_is_better,n_blocks,n_imputers,friedman_chi2,p_value,note,mean_rank__SimpleMean,mean_value__SimpleMean,"mean_rank__KNN(k=5,dist)","mean_value__KNN(k=5,dist)",mean_rank__RFECA_SVR(k=20),mean_value__RFECA_SVR(k=20),mean_rank__MissForest,mean_value__MissForest
metabric,mcar,0.05,f1_macro,True,10,4,6.0,0.1116102250947126,,3.2,0.878740165462206,2.6,0.8812234101019347,1.8,0.8822424970815849,2.4,0.881212014345808
metabric,mcar,0.1,f1_macro,True,10,4,9.0,0.0292908865348882,,3.2,0.8747997280647162,2.9,0.8756739489033232,1.6,0.8788408255873517,2.3,0.8786664667109548
metabric,mcar,0.2,f1_macro,True,10,4,21.359999999999985,8.862187827753165e-05,,3.8,0.8660736598153809,3.0,0.8691416635535306,1.6,0.8748686891553614,1.6,0.8741775961522379
metabric,mcar,0.3,f1_macro,True,10,4,15.0,0.0018166489665723,,3.3,0.8550846750816824,3.2,0.8582261234591261,2.1,0.8627088318455878,1.4,0.8662237147375468
metabric,mcar,0.05,rmse,False,10,4,27.47999999999999,4.669409820165777e-06,,4.0,1.0667378370555554,2.7,0.6795133633865713,2.3,0.6734393084175554,1.0,0.6172462402652915
metabric,mcar,0.1,rmse,False,10,4,28.079999999999984,3.494281590861251e-06,,4.0,1.0632839529894025,2.8,0.6914800654508626,2.2,0.6858574707692758,1.0,0.6236001728353093
metabric,mcar,0.2,rmse,False,10,4,27.47999999999999,4.669409820165777e-06,,4.0,1.0675325388276042,2.7,0.7095707550674925,2.3,0.7059426056470143,1.0,0.6371393598958995
metabric,mcar,0.3,rmse,False,10,4,28.079999999999984,3.494281590861251e-06,,4.0,1.068808469877248,2.2,0.7335889223533446,2.8,0.7360615266759072,1.0,0.6532032377531888
metabric,mcar,0.05,corr_rv,True,10,4,27.120000000000005,5.55598717156124e-06,,4.0,0.9985714920820682,2.6,0.9994371221355808,2.4,0.9994486358123824,1.0,0.9995316108810928
metabric,mcar,0.1,corr_rv,True,10,4,27.120000000000005,5.55598717156124e-06,,4.0,0.996612494297328,2.6,0.9987166407340518,2.4,0.9987456566432924,1.0,0.9989516647384128
metabric,mcar,0.2,corr_rv,True,10,4,28.079999999999984,3.494281590861251e-06,,4.0,0.9903330879887284,2.2,0.9969743661175772,2.8,0.9968489212066768,1.0,0.9976544752451604
metabric,mcar,0.3,corr_rv,True,10,4,28.919999999999987,2.3278065917953752e-06,,4.0,0.9795621827478052,2.1,0.9945285305584186,2.9,0.9941441473759676,1.0,0.9958367736412236
metabric,mar,0.05,f1_macro,True,10,4,0.8400000000000034,0.8398775532972503,,2.3,0.8807230463647768,2.8,0.8803363082962823,2.4,0.8816077162833883,2.5,0.8805805867748587
metabric,mar,0.1,f1_macro,True,10,4,10.199999999999989,0.0169403735225339,,3.4,0.8743290626841953,2.7,0.8778545991857504,2.3,0.8779987803856862,1.6,0.8791786876085735
metabric,mar,0.2,f1_macro,True,10,4,16.680000000000007,0.000822321161627,,3.9,0.8635717320954566,1.7,0.8721681465435436,2.2,0.8710153657068591,2.2,0.8707923202001207
metabric,mar,0.3,f1_macro,True,10,4,18.359999999999985,0.0003706995931838,,3.2,0.8480200851951301,3.5,0.848245423395533,1.9,0.8585895875390565,1.4,0.8606189427022096
metabric,mar,0.05,rmse,False,10,4,27.120000000000005,5.55598717156124e-06,,4.0,1.1688933346254948,2.6,0.699695891558898,2.4,0.7002640860420702,1.0,0.6290763935180603
metabric,mar,0.1,rmse,False,10,4,28.919999999999987,2.3278065917953752e-06,,4.0,1.1602141435329831,2.1,0.7098662056262381,2.9,0.717180193815534,1.0,0.6427895028879883
metabric,mar,0.2,rmse,False,10,4,28.919999999999987,2.3278065917953752e-06,,4.0,1.1491114075405715,2.1,0.7507455341014431,2.9,0.767282303725871,1.0,0.6721495670652327
metabric,mar,0.3,rmse,False,10,4,30.0,1.380057031293255e-06,,4.0,1.143003217234177,3.0,0.856710260394444,2.0,0.8155719327206805,1.0,0.7052613170597014
metabric,mar,0.05,corr_rv,True,10,4,28.079999999999984,3.494281590861251e-06,,4.0,0.997764744198776,2.8,0.9993058780812966,2.2,0.9993210733502712,1.0,0.9994367754978134
metabric,mar,0.1,corr_rv,True,10,4,27.120000000000005,5.55598717156124e-06,,4.0,0.9942925728728254,2.4,0.9984620111159136,2.6,0.998448242547688,1.0,0.998757066163964
metabric,mar,0.2,corr_rv,True,10,4,28.079999999999984,3.494281590861251e-06,,4.0,0.9830501684053312,2.2,0.9961800963159358,2.8,0.9959980552093294,1.0,0.9971128483385948
metabric,mar,0.3,corr_rv,True,10,4,27.47999999999999,4.669409820165777e-06,,4.0,0.966421453522794,2.3,0.9924434633760824,2.7,0.9922312231768948,1.0,0.9950398714454506
