mechanism,metric,missing_rate,rate_pct,contrast,mean_delta,delta_ci95_low,delta_ci95_high,p_value,p_holm,significant_holm05,r_rb
MCAR,f1_macro,0.05,5,RFECA-k20 - Mean,0.0035023316193787,0.0012907231683899,0.0059270603730819,0.01953125,0.15625,False,0.8181818181818181
MCAR,f1_macro,0.1,10,RFECA-k20 - Mean,0.0040410975226355,0.0020513575702467,0.0062185755223726,0.005859375,0.046875,True,0.9272727272727272
MCAR,f1_macro,0.2,20,RFECA-k20 - Mean,0.0087950293399804,0.0057976373041125,0.0116177287021286,0.001953125,0.015625,True,1.0
MCAR,f1_macro,0.3,30,RFECA-k20 - Mean,0.0076241567639054,0.0028229265244764,0.0127832676101342,0.01953125,0.068359375,False,0.8181818181818181
MCAR,rmse,0.05,5,RFECA-k20 - Mean,-0.3932985286379999,-0.4024617855877379,-0.3833339917389978,0.001953125,0.015625,True,-1.0
MCAR,rmse,0.1,10,RFECA-k20 - Mean,-0.3774264822201262,-0.385925814312983,-0.3703135673573117,0.001953125,0.015625,True,-1.0
MCAR,rmse,0.2,20,RFECA-k20 - Mean,-0.3615899331805898,-0.3643990679830043,-0.3585550193084948,0.001953125,0.015625,True,-1.0
MCAR,rmse,0.3,30,RFECA-k20 - Mean,-0.3327469432013407,-0.3366329597513398,-0.3291341233035614,0.001953125,0.015625,True,-1.0
MCAR,corr_rv,0.05,5,RFECA-k20 - Mean,0.0008771437303144,0.0008408406803679,0.0009144533639526,0.001953125,0.015625,True,1.0
MCAR,corr_rv,0.1,10,RFECA-k20 - Mean,0.0021331623459645,0.0020628364202675,0.0022131017694991,0.001953125,0.015625,True,1.0
MCAR,corr_rv,0.2,20,RFECA-k20 - Mean,0.0065158332179482,0.0062205328292586,0.0068198340883169,0.001953125,0.015625,True,1.0
MCAR,corr_rv,0.3,30,RFECA-k20 - Mean,0.0145819646281625,0.0142798877115521,0.0148682841027769,0.001953125,0.015625,True,1.0
MAR,f1_macro,0.05,5,RFECA-k20 - Mean,0.0008846699186116,-0.0019594307540218,0.0047903543097725,0.845703125,1.0,False,-0.0909090909090909
MAR,f1_macro,0.1,10,RFECA-k20 - Mean,0.003669717701491,-8.297510591392735e-05,0.0069162117770342,0.083984375,0.50390625,False,0.6363636363636365
MAR,f1_macro,0.2,20,RFECA-k20 - Mean,0.0074436336114025,0.0045234423125546,0.0112054988562423,0.001953125,0.015625,True,1.0
MAR,f1_macro,0.3,30,RFECA-k20 - Mean,0.0105695023439263,0.0048435033684722,0.0171093900691745,0.009765625,0.01953125,True,0.8909090909090909
MAR,rmse,0.05,5,RFECA-k20 - Mean,-0.4686292485834246,-0.4759399591824587,-0.460795955159487,0.001953125,0.015625,True,-1.0
MAR,rmse,0.1,10,RFECA-k20 - Mean,-0.443033949717449,-0.4481726424603798,-0.4379014813491685,0.001953125,0.015625,True,-1.0
MAR,rmse,0.2,20,RFECA-k20 - Mean,-0.3818291038147003,-0.3860432657456119,-0.3774739928071219,0.001953125,0.015625,True,-1.0
MAR,rmse,0.3,30,RFECA-k20 - Mean,-0.3274312845134964,-0.3302713336027927,-0.3244003805149232,0.001953125,0.015625,True,-1.0
MAR,corr_rv,0.05,5,RFECA-k20 - Mean,0.0015563291514948,0.0014813486914418,0.0016301635351597,0.001953125,0.015625,True,1.0
MAR,corr_rv,0.1,10,RFECA-k20 - Mean,0.0041556696748628,0.0039936040503228,0.004302810908361,0.001953125,0.015625,True,1.0
MAR,corr_rv,0.2,20,RFECA-k20 - Mean,0.0129478868039979,0.0126365602277844,0.0132838045566294,0.001953125,0.015625,True,1.0
MAR,corr_rv,0.3,30,RFECA-k20 - Mean,0.0258097696541009,0.0253096504364188,0.026282034158081,0.001953125,0.015625,True,1.0
