cohort,mechanism,missing_rate,metric,higher_is_better,method_a,method_b,mean_a,mean_b,delta_a_minus_b,delta_ci95_low,delta_ci95_high,wilcoxon_stat,p_value,rank_biserial_r,n_pairs,n_boot,note,p_holm
metabric,mcar,0.05,f1_macro,True,SimpleMean,RFECA_SVR(k=5),0.878740165462206,0.881190811925919,-0.002450646463713,-0.00500556190966,1.96088422061208e-05,11.0,0.10546875,-0.6000000000000001,10,5000,,1.0
metabric,mcar,0.05,f1_macro,True,SimpleMean,RFECA_SVR(k=10),0.878740165462206,0.8821873344317991,-0.0034471689695931,-0.0053678722950297,-0.0014187278809929,5.0,0.01953125,-0.8181818181818181,10,5000,,0.29296875
metabric,mcar,0.05,f1_macro,True,SimpleMean,RFECA_SVR(k=20),0.878740165462206,0.8822424970815849,-0.0035023316193787,-0.0059270603730819,-0.0012907231683899,5.0,0.01953125,-0.8181818181818181,10,5000,,0.29296875
metabric,mcar,0.05,f1_macro,True,"KNN(k=5,dist)",RFECA_SVR(k=5),0.8812234101019347,0.881190811925919,3.259817601569681e-05,-0.0017292587846826,0.0023583086406196,22.0,0.625,-0.1999999999999999,10,5000,,1.0
metabric,mcar,0.05,f1_macro,True,"KNN(k=5,dist)",RFECA_SVR(k=10),0.8812234101019347,0.8821873344317991,-0.0009639243298643,-0.0028458595134685,0.000594322481015,19.0,0.431640625,-0.3090909090909091,10,5000,,1.0
metabric,mcar,0.05,f1_macro,True,"KNN(k=5,dist)",RFECA_SVR(k=20),0.8812234101019347,0.8822424970815849,-0.00101908697965,-0.0023063894461142,0.0002529699509269,12.0,0.130859375,-0.5636363636363637,10,5000,,1.0
metabric,mcar,0.05,f1_macro,True,RFECA_SVR(k=5),RFECA_SVR(k=10),0.881190811925919,0.8821873344317991,-0.00099652250588,-0.0030660695747015,0.0010032874330369,21.0,0.556640625,-0.2363636363636363,10,5000,,1.0
metabric,mcar,0.05,f1_macro,True,RFECA_SVR(k=5),RFECA_SVR(k=20),0.881190811925919,0.8822424970815849,-0.0010516851556657,-0.0027182647437799,0.0005233926549074,17.0,0.322265625,-0.3818181818181818,10,5000,,1.0
metabric,mcar,0.05,f1_macro,True,RFECA_SVR(k=5),MissForest,0.881190811925919,0.881212014345808,-2.120241988874394e-05,-0.0031079255093865,0.0028112787098205,24.0,0.76953125,0.1272727272727273,10,5000,,1.0
metabric,mcar,0.05,f1_macro,True,RFECA_SVR(k=10),RFECA_SVR(k=20),0.8821873344317991,0.8822424970815849,-5.5162649785667206e-05,-0.0009746209367336,0.0008449338619951,27.0,1.0,0.0181818181818181,10,5000,,1.0
metabric,mcar,0.05,f1_macro,True,RFECA_SVR(k=10),MissForest,0.8821873344317991,0.881212014345808,0.0009753200859913,-0.0009065000210218,0.0030293468187929,20.0,0.4921875,0.2727272727272727,10,5000,,1.0
metabric,mcar,0.05,f1_macro,True,RFECA_SVR(k=20),MissForest,0.8822424970815849,0.881212014345808,0.001030482735777,-0.0008670558274601,0.0028425655646734,17.0,0.322265625,0.3818181818181818,10,5000,,1.0
metabric,mcar,0.1,f1_macro,True,SimpleMean,RFECA_SVR(k=5),0.8747997280647162,0.8770501697569497,-0.0022504416922335,-0.0047036447592502,0.0001894942816132,14.0,0.193359375,-0.4909090909090909,10,5000,,1.0
metabric,mcar,0.1,f1_macro,True,SimpleMean,RFECA_SVR(k=10),0.8747997280647162,0.8780695701858203,-0.003269842121104,-0.0056245144045931,-0.0006890279164488,7.0,0.037109375,-0.7454545454545454,10,5000,,0.482421875
metabric,mcar,0.1,f1_macro,True,SimpleMean,RFECA_SVR(k=20),0.8747997280647162,0.8788408255873517,-0.0040410975226355,-0.0062185755223726,-0.0020513575702467,2.0,0.005859375,-0.9272727272727272,10,5000,,0.087890625
metabric,mcar,0.1,f1_macro,True,"KNN(k=5,dist)",RFECA_SVR(k=5),0.8756739489033232,0.8770501697569497,-0.0013762208536265,-0.0030679288245924,0.0003724369408759,13.0,0.16015625,-0.5272727272727273,10,5000,,1.0
metabric,mcar,0.1,f1_macro,True,"KNN(k=5,dist)",RFECA_SVR(k=10),0.8756739489033232,0.8780695701858203,-0.002395621282497,-0.0041404813780481,-0.0007408496367615,10.0,0.083984375,-0.6363636363636365,10,5000,,0.923828125
metabric,mcar,0.1,f1_macro,True,"KNN(k=5,dist)",RFECA_SVR(k=20),0.8756739489033232,0.8788408255873517,-0.0031668766840285,-0.0050793848508698,-0.00152327489339,2.0,0.005859375,-0.9272727272727272,10,5000,,0.087890625
metabric,mcar,0.1,f1_macro,True,RFECA_SVR(k=5),RFECA_SVR(k=10),0.8770501697569497,0.8780695701858203,-0.0010194004288704,-0.002691305909464,0.0007006717373616,16.0,0.275390625,-0.4181818181818182,10,5000,,1.0
metabric,mcar,0.1,f1_macro,True,RFECA_SVR(k=5),RFECA_SVR(k=20),0.8770501697569497,0.8788408255873517,-0.0017906558304019,-0.003655769995624,0.0002042842023096,14.0,0.193359375,-0.4909090909090909,10,5000,,1.0
metabric,mcar,0.1,f1_macro,True,RFECA_SVR(k=5),MissForest,0.8770501697569497,0.8786664667109548,-0.0016162969540051,-0.0052629114037631,0.002069529781794,21.0,0.556640625,-0.2363636363636363,10,5000,,1.0
metabric,mcar,0.1,f1_macro,True,RFECA_SVR(k=10),RFECA_SVR(k=20),0.8780695701858203,0.8788408255873517,-0.0007712554015314,-0.0025492495314458,0.0010220588589644,21.0,0.556640625,-0.2363636363636363,10,5000,,1.0
metabric,mcar,0.1,f1_macro,True,RFECA_SVR(k=10),MissForest,0.8780695701858203,0.8786664667109548,-0.0005968965251346,-0.0038170841776526,0.0026659145664542,27.0,1.0,-0.018181818181818,10,5000,,1.0
metabric,mcar,0.1,f1_macro,True,RFECA_SVR(k=20),MissForest,0.8788408255873517,0.8786664667109548,0.0001743588763968,-0.0029547907045821,0.0027944309874348,26.0,0.921875,0.0545454545454545,10,5000,,1.0
metabric,mcar,0.2,f1_macro,True,SimpleMean,RFECA_SVR(k=5),0.8660736598153809,0.8699658920139648,-0.0038922321985838,-0.0058498322772447,-0.0020420495663965,2.0,0.005859375,-0.9272727272727272,10,5000,,0.076171875
