cohort,mechanism,missing_rate,metric,higher_is_better,wilcoxon_stat,p_value,n_pairs,n_boot,note,p_holm,method_a,method_b,mean_a,mean_b,delta_a_minus_b,delta_ci95_low,delta_ci95_high,rank_biserial_r,p_holm_primary_family
metabric,mcar,0.05,f1_macro,True,11.0,0.10546875,10,5000,,1.0,RFECA_SVR(k=5),SimpleMean,0.881190811925919,0.878740165462206,0.002450646463713,-1.96088422061208e-05,0.00500556190966,0.6000000000000001,0.6328125
metabric,mcar,0.05,f1_macro,True,5.0,0.01953125,10,5000,,0.29296875,RFECA_SVR(k=10),SimpleMean,0.8821873344317991,0.878740165462206,0.0034471689695931,0.0014187278809929,0.0053678722950297,0.8181818181818181,0.15625
metabric,mcar,0.05,f1_macro,True,5.0,0.01953125,10,5000,,0.29296875,RFECA_SVR(k=20),SimpleMean,0.8822424970815849,0.878740165462206,0.0035023316193787,0.0012907231683899,0.0059270603730819,0.8181818181818181,0.15625
metabric,mcar,0.05,f1_macro,True,22.0,0.625,10,5000,,1.0,RFECA_SVR(k=5),"KNN(k=5,dist)",0.881190811925919,0.8812234101019347,-3.259817601569681e-05,-0.0023583086406196,0.0017292587846826,0.1999999999999999,1.0
metabric,mcar,0.05,f1_macro,True,19.0,0.431640625,10,5000,,1.0,RFECA_SVR(k=10),"KNN(k=5,dist)",0.8821873344317991,0.8812234101019347,0.0009639243298643,-0.000594322481015,0.0028458595134685,0.3090909090909091,1.0
metabric,mcar,0.05,f1_macro,True,12.0,0.130859375,10,5000,,1.0,RFECA_SVR(k=20),"KNN(k=5,dist)",0.8822424970815849,0.8812234101019347,0.00101908697965,-0.0002529699509269,0.0023063894461142,0.5636363636363637,0.654296875
metabric,mcar,0.1,f1_macro,True,14.0,0.193359375,10,5000,,1.0,RFECA_SVR(k=5),SimpleMean,0.8770501697569497,0.8747997280647162,0.0022504416922335,-0.0001894942816132,0.0047036447592502,0.4909090909090909,0.48046875
metabric,mcar,0.1,f1_macro,True,7.0,0.037109375,10,5000,,0.482421875,RFECA_SVR(k=10),SimpleMean,0.8780695701858203,0.8747997280647162,0.003269842121104,0.0006890279164488,0.0056245144045931,0.7454545454545454,0.22265625
metabric,mcar,0.1,f1_macro,True,2.0,0.005859375,10,5000,,0.087890625,RFECA_SVR(k=20),SimpleMean,0.8788408255873517,0.8747997280647162,0.0040410975226355,0.0020513575702467,0.0062185755223726,0.9272727272727272,0.046875
metabric,mcar,0.1,f1_macro,True,13.0,0.16015625,10,5000,,1.0,RFECA_SVR(k=5),"KNN(k=5,dist)",0.8770501697569497,0.8756739489033232,0.0013762208536265,-0.0003724369408759,0.0030679288245924,0.5272727272727273,0.48046875
metabric,mcar,0.1,f1_macro,True,10.0,0.083984375,10,5000,,0.923828125,RFECA_SVR(k=10),"KNN(k=5,dist)",0.8780695701858203,0.8756739489033232,0.002395621282497,0.0007408496367615,0.0041404813780481,0.6363636363636365,0.3359375
metabric,mcar,0.1,f1_macro,True,2.0,0.005859375,10,5000,,0.087890625,RFECA_SVR(k=20),"KNN(k=5,dist)",0.8788408255873517,0.8756739489033232,0.0031668766840285,0.00152327489339,0.0050793848508698,0.9272727272727272,0.046875
metabric,mcar,0.2,f1_macro,True,2.0,0.005859375,10,5000,,0.076171875,RFECA_SVR(k=5),SimpleMean,0.8699658920139648,0.8660736598153809,0.0038922321985838,0.0020420495663965,0.0058498322772447,0.9272727272727272,0.03515625
metabric,mcar,0.2,f1_macro,True,7.0,0.037109375,10,5000,,0.296875,RFECA_SVR(k=10),SimpleMean,0.8699883418704252,0.8660736598153809,0.0039146820550443,0.0009823718686095,0.0066751241262724,0.7454545454545454,0.111328125
metabric,mcar,0.2,f1_macro,True,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=20),SimpleMean,0.8748686891553614,0.8660736598153809,0.0087950293399804,0.0057976373041125,0.0116177287021286,1.0,0.015625
metabric,mcar,0.2,f1_macro,True,21.0,0.556640625,10,5000,,1.0,RFECA_SVR(k=5),"KNN(k=5,dist)",0.8699658920139648,0.8691416635535306,0.0008242284604339,-0.0014953584810981,0.003357752195255,0.2363636363636363,1.0
metabric,mcar,0.2,f1_macro,True,24.0,0.76953125,10,5000,,1.0,RFECA_SVR(k=10),"KNN(k=5,dist)",0.8699883418704252,0.8691416635535306,0.0008466783168944,-0.0025188571655833,0.0041529939192271,0.1272727272727272,1.0
metabric,mcar,0.2,f1_macro,True,2.0,0.005859375,10,5000,,0.076171875,RFECA_SVR(k=20),"KNN(k=5,dist)",0.8748686891553614,0.8691416635535306,0.0057270256018306,0.0028943370051718,0.0089075365359167,0.9272727272727272,0.03515625
metabric,mcar,0.3,f1_macro,True,4.0,0.013671875,10,5000,,0.1640625,RFECA_SVR(k=5),SimpleMean,0.8611557612545108,0.8550846750816824,0.0060710861728285,0.0023776226089187,0.0102673089386276,0.8545454545454545,0.068359375
metabric,mcar,0.3,f1_macro,True,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=10),SimpleMean,0.863862901789948,0.8550846750816824,0.0087782267082654,0.0053953114637545,0.0126055901814988,1.0,0.015625
metabric,mcar,0.3,f1_macro,True,5.0,0.01953125,10,5000,,0.1953125,RFECA_SVR(k=20),SimpleMean,0.8627088318455878,0.8550846750816824,0.0076241567639054,0.0028229265244764,0.0127832676101342,0.8181818181818181,0.068359375
metabric,mcar,0.3,f1_macro,True,11.0,0.10546875,10,5000,,0.6328125,RFECA_SVR(k=5),"KNN(k=5,dist)",0.8611557612545108,0.8582261234591261,0.0029296377953847,1.0373226353032902e-05,0.0057397292428188,0.6000000000000001,0.10546875
metabric,mcar,0.3,f1_macro,True,4.0,0.013671875,10,5000,,0.1640625,RFECA_SVR(k=10),"KNN(k=5,dist)",0.863862901789948,0.8582261234591261,0.0056367783308216,0.0023292884652161,0.0086244970562276,0.8545454545454545,0.068359375
metabric,mcar,0.3,f1_macro,True,8.0,0.048828125,10,5000,,0.341796875,RFECA_SVR(k=20),"KNN(k=5,dist)",0.8627088318455878,0.8582261234591261,0.0044827083864616,0.0005359401760494,0.0082920929852863,0.709090909090909,0.09765625
metabric,mcar,0.05,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=5),SimpleMean,0.6931456736171708,1.0667378370555554,-0.3735921634383845,-0.3853701525359486,-0.3613634463822491,-1.0,0.015625
metabric,mcar,0.05,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=10),SimpleMean,0.6778398115407647,1.0667378370555554,-0.3888980255147907,-0.4007283441643008,-0.3760660407996745,-1.0,0.015625
metabric,mcar,0.05,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=20),SimpleMean,0.6734393084175554,1.0667378370555554,-0.3932985286379999,-0.4024617855877379,-0.3833339917389978,-1.0,0.015625
