cohort,mechanism,missing_rate,metric,higher_is_better,wilcoxon_stat,p_value,n_pairs,n_boot,note,p_holm,method_a,method_b,mean_a,mean_b,delta_a_minus_b,delta_ci95_low,delta_ci95_high,rank_biserial_r,p_holm_primary_family
metabric,mcar,0.1,f1_macro,True,2.0,0.005859375,10,5000,,0.087890625,RFECA_SVR(k=20),SimpleMean,0.8788408255873517,0.8747997280647162,0.0040410975226355,0.0020513575702467,0.0062185755223726,0.9272727272727272,0.046875
metabric,mcar,0.2,f1_macro,True,2.0,0.005859375,10,5000,,0.076171875,RFECA_SVR(k=5),SimpleMean,0.8699658920139648,0.8660736598153809,0.0038922321985838,0.0020420495663965,0.0058498322772447,0.9272727272727272,0.03515625
metabric,mcar,0.2,f1_macro,True,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=20),SimpleMean,0.8748686891553614,0.8660736598153809,0.0087950293399804,0.0057976373041125,0.0116177287021286,1.0,0.015625
metabric,mcar,0.3,f1_macro,True,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=10),SimpleMean,0.863862901789948,0.8550846750816824,0.0087782267082654,0.0053953114637545,0.0126055901814988,1.0,0.015625
metabric,mcar,0.05,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=5),SimpleMean,0.6931456736171708,1.0667378370555554,-0.3735921634383845,-0.3853701525359486,-0.3613634463822491,-1.0,0.015625
metabric,mcar,0.05,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=10),SimpleMean,0.6778398115407647,1.0667378370555554,-0.3888980255147907,-0.4007283441643008,-0.3760660407996745,-1.0,0.015625
metabric,mcar,0.05,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=20),SimpleMean,0.6734393084175554,1.0667378370555554,-0.3932985286379999,-0.4024617855877379,-0.3833339917389978,-1.0,0.015625
metabric,mcar,0.1,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=5),SimpleMean,0.7057575081677976,1.0632839529894025,-0.3575264448216045,-0.3653789855688157,-0.3500682779896911,-1.0,0.015625
metabric,mcar,0.1,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=10),SimpleMean,0.6890601949888076,1.0632839529894025,-0.3742237580005946,-0.3825222734857683,-0.3667178493510083,-1.0,0.015625
metabric,mcar,0.1,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=20),SimpleMean,0.6858574707692758,1.0632839529894025,-0.3774264822201262,-0.385925814312983,-0.3703135673573117,-1.0,0.015625
