mechanism,rate,rate_pct,gene,rmse_mean,rmse_std,mae_mean,n_reps,n_predictors_selected_mean,rmse_mean_r,mae_mean_r
mcar,0.2,20,MMP11,1.2636419547510735,0.04882362154404691,0.9936006350357026,5,22.2,1.264,0.994
mcar,0.2,20,NAT1,1.2387848144289404,0.04780694971793905,0.9662217795630665,5,23.6,1.239,0.966
mcar,0.2,20,MAPT,1.0691646733508562,0.033857533529417116,0.8224088376565654,5,22.2,1.069,0.822
mcar,0.2,20,SFRP1,0.9595442354138306,0.05484151871222496,0.6593932956041054,5,19.6,0.96,0.659
mcar,0.2,20,SLC39A6,0.9578375031361626,0.022662705117176392,0.758304614410651,5,23.8,0.958,0.758
mcar,0.2,20,ESR1,0.9239365396154957,0.04365413061826417,0.7269935088973606,5,21.4,0.924,0.727
mcar,0.2,20,PHGDH,0.9008795601650655,0.06563365931898564,0.7090476326251147,5,23.0,0.901,0.709
mcar,0.2,20,FGFR4,0.8770285304189805,0.04638705427608475,0.5905839080662098,5,23.8,0.877,0.591
mcar,0.2,20,PGR,0.8529447209351166,0.0455344223097048,0.6501785684346421,5,22.8,0.853,0.65
mcar,0.2,20,MYC,0.8204883876504674,0.033306000336977934,0.6511740978285173,5,23.6,0.82,0.651
