mechanism,rate,rate_pct,gene,rmse_mean,rmse_std,mae_mean,n_reps,n_predictors_selected_mean,rmse_mean_r,mae_mean_r
mcar,0.2,20,MYBL2,0.1632409521635584,0.00454529441013774,0.12704848534469182,5,13.6,0.163,0.127
mcar,0.2,20,CDC6,0.20983269227215023,0.03169026742233669,0.13416436509516405,5,13.0,0.21,0.134
mcar,0.2,20,MKI67,0.2103071948912994,0.007840384506516324,0.15890010023640067,5,23.6,0.21,0.159
mcar,0.2,20,MDM2,0.21998415990296313,0.015536914909805872,0.15100051624306707,5,17.8,0.22,0.151
mcar,0.2,20,NDC80,0.23228954388363915,0.017140936945129318,0.17823225374748167,5,20.8,0.232,0.178
mcar,0.2,20,KIF2C,0.24131288928640976,0.009700838097197212,0.1878441134375654,5,23.2,0.241,0.188
mcar,0.2,20,CEP55,0.2760104118423748,0.015634321929633602,0.21070564111608756,5,22.8,0.276,0.211
mcar,0.2,20,NUF2,0.27880701524062285,0.024162828339436424,0.19337626212079267,5,23.0,0.279,0.193
mcar,0.2,20,ANLN,0.29048091177899704,0.013565089737764154,0.21905449562875173,5,19.8,0.29,0.219
mcar,0.2,20,BAG1,0.2912331007628707,0.01641711740242326,0.20629693577104513,5,22.0,0.291,0.206
