imputer,missing_rate,f1_mean_discovery,f1_std_discovery,bal_mean_discovery,bal_std_discovery,f1_mean_metabric,f1_std_metabric,bal_mean_metabric,bal_std_metabric,delta_f1_meta_minus_disc
"KNN(k=5,dist)",0.0,0.9062598753903102,0.034908337047999,0.8916666666666667,0.0555201134112429,0.8859360095573787,0.0138908544337349,0.8752464911354514,0.0131190207351359,-0.020323865832931443
RFECA_SVR(k=10),0.0,0.9062598753903102,0.034908337047999,0.8916666666666667,0.0555201134112429,0.8859360095573787,0.0138908544337349,0.8752464911354514,0.0131190207351359,-0.020323865832931443
RFECA_SVR(k=20),0.0,0.9062598753903102,0.034908337047999,0.8916666666666667,0.0555201134112429,0.8859360095573787,0.0138908544337349,0.8752464911354514,0.0131190207351359,-0.020323865832931443
RFECA_SVR(k=5),0.0,0.9062598753903102,0.034908337047999,0.8916666666666667,0.0555201134112429,0.8859360095573787,0.0138908544337349,0.8752464911354514,0.0131190207351359,-0.020323865832931443
SimpleMean,0.0,0.9062598753903102,0.034908337047999,0.8916666666666667,0.0555201134112429,0.8859360095573787,0.0138908544337349,0.8752464911354514,0.0131190207351359,-0.020323865832931443
"KNN(k=5,dist)",0.05,0.9245413077260904,0.0511192175176957,0.92,0.0620533929996292,0.8812234101019348,0.0130950900850232,0.8717219615002029,0.0145370427588654,-0.04331789762415561
RFECA_SVR(k=10),0.05,0.9195475816454076,0.0464804374514352,0.9099621212121212,0.0576485524460649,0.8821873344317992,0.0121646974191813,0.8725492380248479,0.013730841800555,-0.03736024721360842
RFECA_SVR(k=20),0.05,0.9186194493911886,0.0514841373222819,0.9104166666666668,0.061030049566696,0.8822424970815849,0.0134359260360579,0.8722983442530939,0.014427038159888,-0.036376952309603694
RFECA_SVR(k=5),0.05,0.9222631691979518,0.0478917909221472,0.9145833333333332,0.0614639179406648,0.8811908119259191,0.0124976763425481,0.871560726465091,0.0135753583661559,-0.04107235727203273
SimpleMean,0.05,0.923444767792594,0.0493409386903665,0.9166287878787878,0.0577110960417639,0.878740165462206,0.0139284842544358,0.8694692667552103,0.0151819649176627,-0.04470460233038798
"KNN(k=5,dist)",0.1,0.9250435506522464,0.0530590666687387,0.9157954545454544,0.0627836347226286,0.8756739489033231,0.0129672240673091,0.8661451610363677,0.0134579497821201,-0.04936960174892335
RFECA_SVR(k=10),0.1,0.910114237935977,0.0477641241549129,0.9020075757575756,0.0574648955664746,0.8780695701858201,0.0142757759756168,0.8684074293271984,0.0148601791980704,-0.03204466775015691
RFECA_SVR(k=20),0.1,0.918145501841154,0.0532432964105684,0.9124242424242424,0.0613593892878127,0.8788408255873515,0.0143958424804992,0.8690059303839791,0.0154348675317318,-0.039304676253802406
RFECA_SVR(k=5),0.1,0.9176499720086676,0.0500848557507112,0.9120454545454544,0.0603302319446074,0.8770501697569496,0.0145013636373115,0.8672119054102366,0.0150316856454883,-0.040599802251718
SimpleMean,0.1,0.917261759496542,0.0585589242903228,0.9053787878787878,0.0672575294694097,0.8747997280647161,0.0153561812531302,0.8652653182290538,0.0159098595647483,-0.04246203143182592
"KNN(k=5,dist)",0.2,0.9122281597629424,0.058788809014861,0.9040530303030304,0.0660922437793343,0.8691416635535307,0.0158479033732926,0.8595983667594708,0.0174880036986903,-0.04308649620941163
RFECA_SVR(k=10),0.2,0.8916600081078342,0.0527662970758755,0.8816287878787878,0.0609171942730805,0.8699883418704252,0.0152417540235741,0.8607514740287526,0.0160037567268971,-0.021671666237409015
RFECA_SVR(k=20),0.2,0.8938904054882316,0.0565441304586999,0.8853030303030303,0.0651479644801978,0.8748686891553613,0.0160646088338839,0.865457767663801,0.0163418718723657,-0.01902171633287031
RFECA_SVR(k=5),0.2,0.8989780446606533,0.0528984873134112,0.8936742424242423,0.0613718552906882,0.8699658920139648,0.0175324974791211,0.8605203293710996,0.0178265260584105,-0.02901215264668855
SimpleMean,0.2,0.8913581700907788,0.0589546656116471,0.8798863636363636,0.0659186532099031,0.866073659815381,0.0128451689706097,0.8568806092281701,0.0142683642382984,-0.025284510275397798
"KNN(k=5,dist)",0.3,0.9084213127452258,0.0548570091916244,0.9011363636363636,0.0660261863319032,0.8582261234591262,0.0171499476013785,0.8484000517739285,0.0181789972615675,-0.05019518928609956
RFECA_SVR(k=10),0.3,0.8952167742885134,0.0681255631351035,0.889090909090909,0.075027558763029,0.8638629017899478,0.0166206433509134,0.8547941472306043,0.0171926243118907,-0.03135387249856558
RFECA_SVR(k=20),0.3,0.8827573771638988,0.0627497914287684,0.8702272727272726,0.0731032768206306,0.8627088318455879,0.0188039945524452,0.8543283370103011,0.0194875977370648,-0.020048545318310906
RFECA_SVR(k=5),0.3,0.897207557418427,0.0695962596023791,0.8936363636363636,0.0745677671355336,0.8611557612545109,0.0162910413551839,0.852126338573707,0.0166398820960039,-0.03605179616391607
SimpleMean,0.3,0.8885768499616326,0.0693596029267153,0.8791287878787878,0.0757427803270281,0.8550846750816824,0.0168765123686852,0.8453412114914041,0.0184701628998409,-0.033492174879950154
