imputer,missing_rate,rmse_mean_discovery,rmse_std_discovery,mae_mean_discovery,mae_std_discovery,rmse_mean_metabric,rmse_std_metabric,mae_mean_metabric,mae_std_metabric,delta_rmse_meta_minus_disc
"KNN(k=5,dist)",0.0,,,,,,,,,
RFECA_SVR(k=10),0.0,,,,,,,,,
RFECA_SVR(k=20),0.0,,,,,,,,,
RFECA_SVR(k=5),0.0,,,,,,,,,
SimpleMean,0.0,,,,,,,,,
"KNN(k=5,dist)",0.05,2.016992315275133,0.3385771612426172,1.3827025353871931,0.1898692894643589,0.6795133633865713,0.031484412124504,0.4634372099649645,0.0200282286319473,-1.3374789518885615
RFECA_SVR(k=10),0.05,2.1476662234311608,0.4371038410143503,1.4475669415580643,0.2230651517236683,0.6778398115407647,0.0390523632853612,0.4501678953378743,0.0212657674301077,-1.469826411890396
RFECA_SVR(k=20),0.05,2.3880474819290534,0.402556610702236,1.6445097704397875,0.2417464190916072,0.6734393084175555,0.0346150683540396,0.447910602908691,0.0199388459533926,-1.7146081735114977
RFECA_SVR(k=5),0.05,2.0406309920844974,0.3614969947634649,1.364523629995219,0.1921723407542654,0.6931456736171708,0.0399139104755383,0.4603762758323252,0.0202179439638255,-1.3474853184673266
SimpleMean,0.05,2.808128578589935,0.4574753147071081,2.059049512858302,0.3253739126656434,1.0667378370555554,0.0413357968938142,0.7510738994345801,0.0268247788500676,-1.7413907415343797
"KNN(k=5,dist)",0.1,2.0850778545925936,0.2419882829451142,1.412741183156208,0.1363269989388807,0.6914800654508626,0.0209063079702933,0.468996341510552,0.0122804103566501,-1.393597789141731
RFECA_SVR(k=10),0.1,2.2506531988474365,0.325443480884091,1.5391192990033271,0.1755879502498885,0.6890601949888076,0.0239709615457292,0.4560836715995735,0.011878024244268,-1.561593003858629
RFECA_SVR(k=20),0.1,2.479200805224024,0.3006590347544624,1.702752972251555,0.1665587376698181,0.685857470769276,0.0229788460276508,0.4545126205031384,0.01115280610589,-1.793343334454748
RFECA_SVR(k=5),0.1,2.0960004545578665,0.293480333545736,1.4246801382444647,0.1680742072551292,0.7057575081677976,0.0230253499884693,0.4667646991945996,0.0114813493313881,-1.390242946390069
SimpleMean,0.1,2.848308778608241,0.2895705402466878,2.0974710178606677,0.2025211433145348,1.063283952989402,0.0334455310454075,0.7468316593070492,0.0213816238768433,-1.7850248256188388
"KNN(k=5,dist)",0.2,2.0782866261679245,0.1549816030743436,1.420374794613969,0.1027167421570866,0.7095707550674925,0.0186667783060138,0.4818204136789231,0.0104956798828083,-1.3687158711004321
RFECA_SVR(k=10),0.2,2.322705123103224,0.1964341607453684,1.5917471830968162,0.1296884387800158,0.7059020033174649,0.0174718421004454,0.4700406210726005,0.0091351066478428,-1.616803119785759
RFECA_SVR(k=20),0.2,2.626057769284176,0.1946649109028977,1.8188503125236568,0.1367965733497501,0.7059426056470143,0.0181336161088296,0.4705407966283598,0.009351963212756,-1.9201151636371616
RFECA_SVR(k=5),0.2,2.1743004675557405,0.1903978294994628,1.4833563332105726,0.1137796374293688,0.7231464675236974,0.0183420626652824,0.4815747325861956,0.0089657552890631,-1.451154000032043
SimpleMean,0.2,2.796068910150135,0.2536888688342155,2.062941657536303,0.1992679661866726,1.0675325388276042,0.0235052110892398,0.7506195095902716,0.0140442480257729,-1.7285363713225306
"KNN(k=5,dist)",0.3,2.154171445924004,0.1852347081771868,1.4698446113759205,0.1041663391525432,0.7335889223533445,0.0175234026288371,0.4992099225485283,0.0100170405459826,-1.4205825235706593
RFECA_SVR(k=10),0.3,2.5591873431285808,0.2752534639586802,1.745940841712094,0.1205806781100938,0.7293349315575418,0.0179423184518344,0.4876072122536651,0.0088837151699537,-1.8298524115710388
RFECA_SVR(k=20),0.3,2.8257935396669747,0.2487164585082699,1.9609282923947136,0.1391186949300467,0.7360615266759072,0.0174004914176811,0.4932731240181425,0.0085769599484268,-2.0897320129910675
RFECA_SVR(k=5),0.3,2.320350083104957,0.1738169382177838,1.5941709524660843,0.1157225396396912,0.7433308152272196,0.0178871732211295,0.4970330291449666,0.0090072980669467,-1.5770192678777375
SimpleMean,0.3,2.785821428510163,0.2197863766273255,2.068005878024112,0.1743181348635956,1.0688084698772478,0.016775138041021,0.7538805993199805,0.0099724550885636,-1.717012958632915
