imputer,missing_rate,f1_mean,f1_std,bal_mean,bal_std,n_degenerate,n_rows,cohort,cv_f1
"KNN(k=5,dist)",0.0,0.9062598753903102,0.03490833704799907,0.8916666666666667,0.05552011341124293,0,50,discovery,0.03851912458660344
RFECA_SVR(k=10),0.0,0.9062598753903102,0.03490833704799907,0.8916666666666667,0.05552011341124293,0,50,discovery,0.03851912458660344
RFECA_SVR(k=20),0.0,0.9062598753903102,0.03490833704799907,0.8916666666666667,0.05552011341124293,0,50,discovery,0.03851912458660344
RFECA_SVR(k=5),0.0,0.9062598753903102,0.03490833704799907,0.8916666666666667,0.05552011341124293,0,50,discovery,0.03851912458660344
SimpleMean,0.0,0.9062598753903102,0.03490833704799907,0.8916666666666667,0.05552011341124293,0,50,discovery,0.03851912458660344
"KNN(k=5,dist)",0.05,0.9245413077260903,0.051119217517695714,0.92,0.06205339299962927,0,50,discovery,0.05529143705155094
RFECA_SVR(k=10),0.05,0.9195475816454077,0.04648043745143529,0.9099621212121213,0.05764855244606494,0,50,discovery,0.050547071602607824
RFECA_SVR(k=20),0.05,0.9186194493911886,0.05148413732228192,0.9104166666666668,0.06103004956669604,0,50,discovery,0.05604512005096651
RFECA_SVR(k=5),0.05,0.9222631691979518,0.04789179092214726,0.9145833333333333,0.0614639179406648,0,50,discovery,0.05192855198131403
SimpleMean,0.05,0.923444767792594,0.049340938690366536,0.9166287878787878,0.05771109604176399,0,50,discovery,0.05343139125506262
"KNN(k=5,dist)",0.1,0.9250435506522463,0.05305906666873879,0.9157954545454545,0.06278363472262867,0,50,discovery,0.05735845261698971
RFECA_SVR(k=10),0.1,0.9101142379359771,0.047764124154913004,0.9020075757575757,0.057464895566474695,0,50,discovery,0.05248146019914592
RFECA_SVR(k=20),0.1,0.9181455018411541,0.053243296410568415,0.9124242424242424,0.06135938928781279,0,50,discovery,0.05799004221422401
RFECA_SVR(k=5),0.1,0.9176499720086677,0.05008485575071128,0.9120454545454545,0.060330231944607446,0,50,discovery,0.05457947722820636
