imputer,missing_rate,f1_mean_new,f1_std_new,bal_mean_new,bal_std_new,f1_mean_paper,f1_std_paper,bal_mean_paper,bal_std_paper,f1_mean_legacy_raw,f1_std_legacy_raw,n_rows_legacy_raw,delta_f1_new_minus_paper,delta_bal_new_minus_paper
"KNN(k=5,dist)",0.0,0.9062598753903102,0.034908337047999,0.8916666666666667,0.0555201134112429,0.942,0.0,0.9333,0.0,0.9419927536231884,0.0,10,-0.03574012460968978,-0.0416333333333333
RFECA_SVR(k=10),0.0,0.9062598753903102,0.034908337047999,0.8916666666666667,0.0555201134112429,0.942,0.0,0.9333,0.0,0.9419927536231884,0.0,10,-0.03574012460968978,-0.0416333333333333
RFECA_SVR(k=20),0.0,0.9062598753903102,0.034908337047999,0.8916666666666667,0.0555201134112429,0.942,0.0,0.9333,0.0,0.9419927536231884,0.0,10,-0.03574012460968978,-0.0416333333333333
RFECA_SVR(k=5),0.0,0.9062598753903102,0.034908337047999,0.8916666666666667,0.0555201134112429,0.942,0.0,0.9333,0.0,0.9419927536231884,0.0,10,-0.03574012460968978,-0.0416333333333333
SimpleMean,0.0,0.9062598753903102,0.034908337047999,0.8916666666666667,0.0555201134112429,0.942,0.0,0.9333,0.0,0.9419927536231884,0.0,10,-0.03574012460968978,-0.0416333333333333
"KNN(k=5,dist)",0.05,0.9245413077260904,0.0511192175176957,0.92,0.0620533929996292,0.9286,0.0148,0.9194,0.0155,0.9285775174101261,0.014803101120615635,10,-0.004058692273909537,0.0006000000000000449
RFECA_SVR(k=10),0.05,0.9195475816454076,0.0464804374514352,0.9099621212121212,0.0576485524460649,0.9322,0.0167,0.92,0.018,0.9321937417654809,0.01674219174715726,10,-0.01265241835459241,-0.010037878787878873
RFECA_SVR(k=20),0.05,0.9186194493911886,0.0514841373222819,0.9104166666666668,0.061030049566696,0.9313,0.0181,0.9216,0.0193,0.9313014649601605,0.018104100719947162,10,-0.012680550608811458,-0.011183333333333212
RFECA_SVR(k=5),0.05,0.9222631691979518,0.0478917909221472,0.9145833333333332,0.0614639179406648,0.9252,0.0132,0.9133,0.0138,0.9251916556873079,0.013160268741111147,10,-0.002936830802048207,0.001283333333333192
SimpleMean,0.05,0.923444767792594,0.0493409386903665,0.9166287878787878,0.0577110960417639,0.9319,0.0139,0.9195,0.0139,0.9319202961289917,0.013932182271888456,10,-0.00845523220740596,-0.002871212121212219
"KNN(k=5,dist)",0.1,0.9250435506522464,0.0530590666687387,0.9157954545454544,0.0627836347226286,0.9226,0.0175,0.914,0.0164,0.9225853786310309,0.017529260563535345,10,0.00244355065224644,0.001795454545454378
RFECA_SVR(k=10),0.1,0.910114237935977,0.0477641241549129,0.9020075757575756,0.0574648955664746,0.9253,0.0199,0.9157,0.021,0.9252565280130497,0.019854963680782604,10,-0.015185762064023,-0.01369242424242434
RFECA_SVR(k=20),0.1,0.918145501841154,0.0532432964105684,0.9124242424242424,0.0613593892878127,0.9123,0.0157,0.9027,0.018,0.9122539337474121,0.015686108202054613,10,0.005845501841153955,0.009724242424242413
RFECA_SVR(k=5),0.1,0.9176499720086676,0.0500848557507112,0.9120454545454544,0.0603302319446074,0.9195,0.0194,0.9082,0.0229,0.9194553736118953,0.01936638022850858,10,-0.0018500279913323814,0.0038454545454543743
SimpleMean,0.1,0.917261759496542,0.0585589242903228,0.9053787878787878,0.0672575294694097,0.9259,0.0195,0.9153,0.0221,0.9258779104953018,0.01947832995552335,10,-0.008638240503457961,-0.00992121212121222
"KNN(k=5,dist)",0.2,0.9122281597629424,0.058788809014861,0.9040530303030304,0.0660922437793343,0.9201,0.0165,0.9153,0.018,0.9200669226908358,0.01649708238473674,10,-0.00787184023705767,-0.011246969696969589
RFECA_SVR(k=10),0.2,0.8916600081078342,0.0527662970758755,0.8816287878787878,0.0609171942730805,0.9132,0.018,0.904,0.0216,0.9131917247004203,0.017957623499659185,10,-0.021539991892165822,-0.02237121212121218
RFECA_SVR(k=20),0.2,0.8938904054882316,0.0565441304586999,0.8853030303030303,0.0651479644801978,0.8998,0.0122,0.8907,0.0134,0.8998473951169602,0.01223802191062239,10,-0.005909594511768423,-0.005396969696969789
RFECA_SVR(k=5),0.2,0.8989780446606533,0.0528984873134112,0.8936742424242423,0.0613718552906882,0.9204,0.0178,0.9108,0.0184,0.9204214411192672,0.017807685511911076,10,-0.021421955339346654,-0.01712575757575774
SimpleMean,0.2,0.8913581700907788,0.0589546656116471,0.8798863636363636,0.0659186532099031,0.9156,0.0207,0.9041,0.0233,0.9156347823673912,0.020653586127861036,10,-0.02424182990922119,-0.02421363636363638
"KNN(k=5,dist)",0.3,0.9084213127452258,0.0548570091916244,0.9011363636363636,0.0660261863319032,0.9138,0.0306,0.9028,0.0296,0.9137528826246217,0.030557334355127336,10,-0.005378687254774195,-0.0016636363636364226
RFECA_SVR(k=10),0.3,0.8952167742885134,0.0681255631351035,0.889090909090909,0.075027558763029,0.8986,0.0217,0.8855,0.0219,0.8986317790904748,0.021732463947830467,10,-0.003383225711486526,0.003590909090909089
RFECA_SVR(k=20),0.3,0.8827573771638988,0.0627497914287684,0.8702272727272726,0.0731032768206306,0.879,0.0413,0.8698,0.0433,0.8790495873691526,0.04125649769489278,10,0.0037573771638987896,0.00042727272727260956
RFECA_SVR(k=5),0.3,0.897207557418427,0.0695962596023791,0.8936363636363636,0.0745677671355336,0.8916,0.0236,0.8805,0.021,0.8916130765369896,0.023623957771447615,10,0.0056075574184270005,0.013136363636363613
SimpleMean,0.3,0.8885768499616326,0.0693596029267153,0.8791287878787878,0.0757427803270281,0.9024,0.0137,0.8889,0.0139,0.902378817800557,0.013667372194275504,10,-0.013823150038367427,-0.009771212121212236
