cohort,missing_rate,metric,method_a,method_b,mean_a,mean_b,delta_a_minus_b,p_value,n_pairs,note
metabric,0.05,f1_macro,SimpleMean,RFECA_SVR(k=10),0.878740165462206,0.8821873344317991,-0.003447168969593073,0.01953125,10,
metabric,0.05,f1_macro,SimpleMean,RFECA_SVR(k=20),0.878740165462206,0.8822424970815849,-0.003502331619378851,0.01953125,10,
metabric,0.1,f1_macro,SimpleMean,RFECA_SVR(k=10),0.8747997280647162,0.8780695701858203,-0.0032698421211041495,0.037109375,10,
metabric,0.1,f1_macro,SimpleMean,RFECA_SVR(k=20),0.8747997280647162,0.8788408255873517,-0.004041097522635484,0.005859375,10,
metabric,0.1,f1_macro,"KNN(k=5,dist)",RFECA_SVR(k=20),0.8756739489033232,0.8788408255873517,-0.0031668766840284857,0.005859375,10,
metabric,0.2,f1_macro,SimpleMean,RFECA_SVR(k=5),0.8660736598153809,0.8699658920139648,-0.0038922321985839226,0.005859375,10,
metabric,0.2,f1_macro,SimpleMean,RFECA_SVR(k=10),0.8660736598153809,0.8699883418704252,-0.003914682055044305,0.037109375,10,
metabric,0.2,f1_macro,SimpleMean,RFECA_SVR(k=20),0.8660736598153809,0.8748686891553614,-0.008795029339980553,0.001953125,10,
metabric,0.2,f1_macro,"KNN(k=5,dist)",RFECA_SVR(k=20),0.8691416635535308,0.8748686891553614,-0.005727025601830582,0.005859375,10,
metabric,0.3,f1_macro,SimpleMean,RFECA_SVR(k=5),0.8550846750816824,0.8611557612545108,-0.006071086172828366,0.013671875,10,
metabric,0.3,f1_macro,SimpleMean,RFECA_SVR(k=10),0.8550846750816824,0.863862901789948,-0.008778226708265557,0.001953125,10,
metabric,0.3,f1_macro,SimpleMean,RFECA_SVR(k=20),0.8550846750816824,0.8627088318455879,-0.0076241567639054875,0.01953125,10,
metabric,0.3,f1_macro,"KNN(k=5,dist)",RFECA_SVR(k=10),0.8582261234591261,0.863862901789948,-0.005636778330821879,0.013671875,10,
metabric,0.3,f1_macro,"KNN(k=5,dist)",RFECA_SVR(k=20),0.8582261234591261,0.8627088318455879,-0.004482708386461809,0.048828125,10,
