cohort,missing_rate,metric,method_a,method_b,mean_a,mean_b,delta_a_minus_b,p_value,n_pairs,note
discovery,0.0,f1_macro,SimpleMean,"KNN(k=5,dist)",0.9062598753903102,0.9062598753903102,0.0,1.0,10,identical vectors
discovery,0.0,f1_macro,SimpleMean,RFECA_SVR(k=5),0.9062598753903102,0.9062598753903102,0.0,1.0,10,identical vectors
discovery,0.0,f1_macro,SimpleMean,RFECA_SVR(k=10),0.9062598753903102,0.9062598753903102,0.0,1.0,10,identical vectors
discovery,0.0,f1_macro,SimpleMean,RFECA_SVR(k=20),0.9062598753903102,0.9062598753903102,0.0,1.0,10,identical vectors
discovery,0.0,f1_macro,"KNN(k=5,dist)",RFECA_SVR(k=5),0.9062598753903102,0.9062598753903102,0.0,1.0,10,identical vectors
discovery,0.0,f1_macro,"KNN(k=5,dist)",RFECA_SVR(k=10),0.9062598753903102,0.9062598753903102,0.0,1.0,10,identical vectors
discovery,0.0,f1_macro,"KNN(k=5,dist)",RFECA_SVR(k=20),0.9062598753903102,0.9062598753903102,0.0,1.0,10,identical vectors
discovery,0.0,f1_macro,RFECA_SVR(k=5),RFECA_SVR(k=10),0.9062598753903102,0.9062598753903102,0.0,1.0,10,identical vectors
discovery,0.0,f1_macro,RFECA_SVR(k=5),RFECA_SVR(k=20),0.9062598753903102,0.9062598753903102,0.0,1.0,10,identical vectors
discovery,0.0,f1_macro,RFECA_SVR(k=10),RFECA_SVR(k=20),0.9062598753903102,0.9062598753903102,0.0,1.0,10,identical vectors
discovery,0.05,f1_macro,SimpleMean,"KNN(k=5,dist)",0.9234447677925939,0.9245413077260902,-0.0010965399334963433,1.0,10,
discovery,0.05,f1_macro,SimpleMean,RFECA_SVR(k=5),0.9234447677925939,0.9222631691979517,0.0011815985946421748,0.640625,10,
discovery,0.05,f1_macro,SimpleMean,RFECA_SVR(k=10),0.9234447677925939,0.9195475816454077,0.003897186147186149,0.4921875,10,
discovery,0.05,f1_macro,SimpleMean,RFECA_SVR(k=20),0.9234447677925939,0.9186194493911884,0.004825318401405432,0.4921875,10,
discovery,0.05,f1_macro,"KNN(k=5,dist)",RFECA_SVR(k=5),0.9245413077260902,0.9222631691979517,0.002278138528138518,0.734375,10,
discovery,0.05,f1_macro,"KNN(k=5,dist)",RFECA_SVR(k=10),0.9245413077260902,0.9195475816454077,0.004993726080682492,0.431640625,10,
discovery,0.05,f1_macro,"KNN(k=5,dist)",RFECA_SVR(k=20),0.9245413077260902,0.9186194493911884,0.005921858334901775,0.359375,10,
discovery,0.05,f1_macro,RFECA_SVR(k=5),RFECA_SVR(k=10),0.9222631691979517,0.9195475816454077,0.0027155875525439743,0.845703125,10,
discovery,0.05,f1_macro,RFECA_SVR(k=5),RFECA_SVR(k=20),0.9222631691979517,0.9186194493911884,0.003643719806763257,0.51171875,10,
