cohort,mechanism,missing_rate,metric,higher_is_better,wilcoxon_stat,p_value,n_pairs,note,p_holm,method_a,method_b,mean_a,mean_b,delta_a_minus_b,rank_biserial_r,p_holm_primary_family
discovery,mcar,0.05,f1_macro,True,14.0,0.640625,10,,1.0,RFECA_SVR(k=5),SimpleMean,0.9222631691979519,0.9234447677925939,-0.0011815985946419527,-0.2222222222222222,1.0
discovery,mcar,0.05,f1_macro,True,20.0,0.4921875,10,,1.0,RFECA_SVR(k=10),SimpleMean,0.9195475816454077,0.9234447677925939,-0.003897186147186149,-0.2727272727272727,1.0
discovery,mcar,0.05,f1_macro,True,20.0,0.4921875,10,,1.0,RFECA_SVR(k=20),SimpleMean,0.9186194493911886,0.9234447677925939,-0.004825318401405321,-0.2727272727272727,1.0
discovery,mcar,0.05,f1_macro,True,20.0,0.8203125,10,,1.0,MissForest,SimpleMean,0.9223843028951725,0.9234447677925939,-0.0010604648974213982,-0.11111111111111116,1.0
discovery,mcar,0.05,f1_macro,True,19.0,0.734375,10,,1.0,RFECA_SVR(k=5),"KNN(k=5,dist)",0.9222631691979519,0.9245413077260902,-0.002278138528138296,-0.15555555555555556,1.0
discovery,mcar,0.05,f1_macro,True,19.0,0.431640625,10,,1.0,RFECA_SVR(k=10),"KNN(k=5,dist)",0.9195475816454077,0.9245413077260902,-0.004993726080682492,-0.3090909090909091,1.0
discovery,mcar,0.05,f1_macro,True,14.0,0.359375,10,,1.0,RFECA_SVR(k=20),"KNN(k=5,dist)",0.9186194493911886,0.9245413077260902,-0.005921858334901664,-0.37777777777777777,1.0
discovery,mcar,0.05,f1_macro,True,21.0,0.556640625,10,,1.0,MissForest,"KNN(k=5,dist)",0.9223843028951725,0.9245413077260902,-0.0021570048309177414,-0.23636363636363633,1.0
discovery,mcar,0.1,f1_macro,True,27.0,1.0,10,,1.0,RFECA_SVR(k=5),SimpleMean,0.9176499720086676,0.9172617594965422,0.00038821251212539654,-0.018181818181818188,1.0
discovery,mcar,0.1,f1_macro,True,15.0,0.42578125,10,,1.0,RFECA_SVR(k=10),SimpleMean,0.9101142379359773,0.9172617594965422,-0.007147521560564862,-0.33333333333333337,1.0
discovery,mcar,0.1,f1_macro,True,26.0,0.921875,10,,1.0,RFECA_SVR(k=20),SimpleMean,0.9181455018411538,0.9172617594965422,0.0008837423446116377,0.05454545454545445,1.0
discovery,mcar,0.1,f1_macro,True,25.0,0.845703125,10,,1.0,MissForest,SimpleMean,0.9184111521328913,0.9172617594965422,0.0011493926363490559,0.09090909090909083,1.0
