cohort,mechanism,missing_rate,metric,higher_is_better,wilcoxon_stat,p_value,n_pairs,note,p_holm,method_a,method_b,mean_a,mean_b,delta_a_minus_b,rank_biserial_r,p_holm_primary_family
metabric,mcar,0.1,f1_macro,True,2.0,0.005859375,10,,0.087890625,RFECA_SVR(k=20),SimpleMean,0.8788408255873517,0.8747997280647162,0.004041097522635484,0.9272727272727272,0.046875
metabric,mcar,0.1,f1_macro,True,2.0,0.005859375,10,,0.087890625,RFECA_SVR(k=20),"KNN(k=5,dist)",0.8788408255873517,0.8756739489033232,0.0031668766840284857,0.9272727272727272,0.046875
metabric,mcar,0.2,f1_macro,True,2.0,0.005859375,10,,0.076171875,RFECA_SVR(k=5),SimpleMean,0.8699658920139648,0.8660736598153809,0.0038922321985839226,0.9272727272727272,0.03515625
metabric,mcar,0.2,f1_macro,True,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=20),SimpleMean,0.8748686891553614,0.8660736598153809,0.008795029339980553,1.0,0.015625
metabric,mcar,0.2,f1_macro,True,0.0,0.001953125,10,,0.029296875,MissForest,SimpleMean,0.8741775961522379,0.8660736598153809,0.00810393633685702,1.0,0.015625
metabric,mcar,0.2,f1_macro,True,2.0,0.005859375,10,,0.076171875,RFECA_SVR(k=20),"KNN(k=5,dist)",0.8748686891553614,0.8691416635535306,0.005727025601830804,0.9272727272727272,0.03515625
metabric,mcar,0.2,f1_macro,True,3.0,0.009765625,10,,0.09765625,MissForest,"KNN(k=5,dist)",0.8741775961522379,0.8691416635535306,0.005035932598707271,0.8909090909090909,0.0390625
metabric,mcar,0.3,f1_macro,True,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=10),SimpleMean,0.863862901789948,0.8550846750816824,0.008778226708265557,1.0,0.015625
metabric,mcar,0.3,f1_macro,True,0.0,0.001953125,10,,0.029296875,MissForest,SimpleMean,0.8662237147375468,0.8550846750816824,0.01113903965586438,1.0,0.015625
metabric,mcar,0.3,f1_macro,True,2.0,0.005859375,10,,0.076171875,MissForest,"KNN(k=5,dist)",0.8662237147375468,0.8582261234591261,0.007997591278420701,0.9272727272727272,0.03515625
metabric,mar,0.2,f1_macro,True,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=5),SimpleMean,0.8708808668237511,0.8635717320954566,0.007309134728294531,1.0,0.015625
metabric,mar,0.2,f1_macro,True,1.0,0.00390625,10,,0.046875,RFECA_SVR(k=10),SimpleMean,0.8709077508526741,0.8635717320954566,0.007336018757217566,0.9636363636363636,0.0234375
metabric,mar,0.2,f1_macro,True,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=20),SimpleMean,0.8710153657068591,0.8635717320954566,0.007443633611402545,1.0,0.015625
metabric,mar,0.2,f1_macro,True,1.0,0.00390625,10,,0.046875,MissForest,SimpleMean,0.8707923202001207,0.8635717320954566,0.007220588104664083,0.9636363636363636,0.0234375
metabric,mar,0.3,f1_macro,True,3.0,0.009765625,10,,0.087890625,RFECA_SVR(k=5),SimpleMean,0.8557480643509361,0.8480200851951301,0.007727979155806031,0.8909090909090909,0.01953125
metabric,mar,0.3,f1_macro,True,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=10),SimpleMean,0.8576248921493402,0.8480200851951301,0.009604806954210177,1.0,0.015625
metabric,mar,0.3,f1_macro,True,3.0,0.009765625,10,,0.087890625,RFECA_SVR(k=20),SimpleMean,0.8585895875390565,0.8480200851951301,0.010569502343926396,0.8909090909090909,0.01953125
metabric,mar,0.3,f1_macro,True,0.0,0.001953125,10,,0.029296875,MissForest,SimpleMean,0.8606189427022096,0.8480200851951301,0.012598857507079564,1.0,0.015625
metabric,mar,0.3,f1_macro,True,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=5),"KNN(k=5,dist)",0.8557480643509361,0.848245423395533,0.007502640955403095,1.0,0.015625
metabric,mar,0.3,f1_macro,True,1.0,0.00390625,10,,0.04296875,RFECA_SVR(k=10),"KNN(k=5,dist)",0.8576248921493402,0.848245423395533,0.00937946875380724,0.9636363636363636,0.015625
metabric,mar,0.3,f1_macro,True,2.0,0.005859375,10,,0.05859375,RFECA_SVR(k=20),"KNN(k=5,dist)",0.8585895875390565,0.848245423395533,0.01034416414352346,0.9272727272727272,0.017578125
metabric,mar,0.3,f1_macro,True,0.0,0.001953125,10,,0.029296875,MissForest,"KNN(k=5,dist)",0.8606189427022096,0.848245423395533,0.012373519306676628,1.0,0.015625
