cohort,mechanism,missing_rate,metric,higher_is_better,method_a,method_b,mean_a,mean_b,delta_a_minus_b,wilcoxon_stat,p_value,rank_biserial_r,n_pairs,note,p_holm
discovery,mcar,0.05,f1_macro,True,SimpleMean,"KNN(k=5,dist)",0.9234447677925939,0.9245413077260902,-0.0010965399334963433,27.0,1.0,0.018181818181818188,10,,1.0
discovery,mcar,0.05,f1_macro,True,SimpleMean,RFECA_SVR(k=5),0.9234447677925939,0.9222631691979519,0.0011815985946419527,14.0,0.640625,0.2222222222222222,10,,1.0
discovery,mcar,0.05,f1_macro,True,SimpleMean,RFECA_SVR(k=10),0.9234447677925939,0.9195475816454077,0.003897186147186149,20.0,0.4921875,0.2727272727272727,10,,1.0
discovery,mcar,0.05,f1_macro,True,SimpleMean,RFECA_SVR(k=20),0.9234447677925939,0.9186194493911886,0.004825318401405321,20.0,0.4921875,0.2727272727272727,10,,1.0
discovery,mcar,0.05,f1_macro,True,SimpleMean,MissForest,0.9234447677925939,0.9223843028951725,0.0010604648974213982,20.0,0.8203125,0.11111111111111116,10,,1.0
discovery,mcar,0.05,f1_macro,True,"KNN(k=5,dist)",RFECA_SVR(k=5),0.9245413077260902,0.9222631691979519,0.002278138528138296,19.0,0.734375,0.15555555555555556,10,,1.0
discovery,mcar,0.05,f1_macro,True,"KNN(k=5,dist)",RFECA_SVR(k=10),0.9245413077260902,0.9195475816454077,0.004993726080682492,19.0,0.431640625,0.3090909090909091,10,,1.0
discovery,mcar,0.05,f1_macro,True,"KNN(k=5,dist)",RFECA_SVR(k=20),0.9245413077260902,0.9186194493911886,0.005921858334901664,14.0,0.359375,0.37777777777777777,10,,1.0
discovery,mcar,0.05,f1_macro,True,"KNN(k=5,dist)",MissForest,0.9245413077260902,0.9223843028951725,0.0021570048309177414,21.0,0.556640625,0.23636363636363633,10,,1.0
discovery,mcar,0.05,f1_macro,True,RFECA_SVR(k=5),RFECA_SVR(k=10),0.9222631691979519,0.9195475816454077,0.0027155875525441964,25.0,0.845703125,0.09090909090909094,10,,1.0
discovery,mcar,0.05,f1_macro,True,RFECA_SVR(k=5),RFECA_SVR(k=20),0.9222631691979519,0.9186194493911886,0.003643719806763368,16.5,0.51171875,0.28888888888888886,10,,1.0
discovery,mcar,0.05,f1_macro,True,RFECA_SVR(k=5),MissForest,0.9222631691979519,0.9223843028951725,-0.00012113369722055456,17.0,0.9453125,-0.05555555555555558,10,,1.0
discovery,mcar,0.05,f1_macro,True,RFECA_SVR(k=10),RFECA_SVR(k=20),0.9195475816454077,0.9186194493911886,0.0009281322542191717,26.0,0.921875,0.054545454545454564,10,,1.0
discovery,mcar,0.05,f1_macro,True,RFECA_SVR(k=10),MissForest,0.9195475816454077,0.9223843028951725,-0.002836721249764751,25.0,0.845703125,-0.09090909090909083,10,,1.0
