cohort,mechanism,imputer,missing_rate,f1_mean,f1_std,bal_mean,bal_std,n_cls_rows,rmse_mean,rmse_std,mae_mean,mae_std,corr_rv_mean,corr_frobenius_rel_mean
discovery,mcar,SimpleMean,0.0,0.9062598753903103,0.034908337047999095,0.8916666666666666,0.05552011341124293,50,,,,,,
discovery,mcar,"KNN(k=5,dist)",0.0,0.9062598753903103,0.034908337047999095,0.8916666666666666,0.05552011341124293,50,,,,,,
discovery,mcar,RFECA_SVR(k=5),0.0,0.9062598753903103,0.034908337047999095,0.8916666666666666,0.05552011341124293,50,,,,,,
discovery,mcar,RFECA_SVR(k=10),0.0,0.9062598753903103,0.034908337047999095,0.8916666666666666,0.05552011341124293,50,,,,,,
discovery,mcar,RFECA_SVR(k=20),0.0,0.9062598753903103,0.034908337047999095,0.8916666666666666,0.05552011341124293,50,,,,,,
discovery,mcar,MissForest,0.0,0.9062598753903103,0.034908337047999095,0.8916666666666666,0.05552011341124293,50,,,,,,
discovery,mcar,SimpleMean,0.05,0.923444767792594,0.049340938690366536,0.9166287878787878,0.057711096041764,50,2.808128578589935,0.45747531470710817,2.0590495128583024,0.3253739126656434,0.9913958236080082,0.13278875596410455
discovery,mcar,"KNN(k=5,dist)",0.05,0.9245413077260903,0.05111921751769572,0.92,0.06205339299962926,50,2.016992315275133,0.3385771612426173,1.3827025353871933,0.1898692894643589,0.9957050645445058,0.09150379928599912
discovery,mcar,RFECA_SVR(k=5),0.05,0.9222631691979519,0.04789179092214726,0.9145833333333334,0.06146391794066482,50,2.0406309920844974,0.36149699476346486,1.3645236299952188,0.19217234075426545,0.9955150706972309,0.09426278600505739
discovery,mcar,RFECA_SVR(k=10),0.05,0.919547581645408,0.04648043745143528,0.9099621212121213,0.057648552446064955,50,2.1476662234311608,0.4371038410143504,1.4475669415580643,0.22306515172366828,0.9949992664452654,0.09922074300608959
discovery,mcar,RFECA_SVR(k=20),0.05,0.9186194493911887,0.05148413732228194,0.9104166666666665,0.061030049566696054,50,2.388047481929054,0.40255661070223603,1.6445097704397877,0.2417464190916073,0.993347926375142,0.11407403943422656
discovery,mcar,MissForest,0.05,0.9223843028951726,0.04834568397150312,0.9158333333333333,0.05906969633359654,50,1.7610788481651167,0.30196469436156986,1.1937499377740812,0.1824803186153067,0.9965444435856411,0.08238535776140321
discovery,mcar,SimpleMean,0.1,0.9172617594965423,0.05855892429032291,0.905378787878788,0.0672575294694097,50,2.8483087786082404,0.28957054024668794,2.0974710178606673,0.2025211433145349,0.981064191399268,0.200299556587602
discovery,mcar,"KNN(k=5,dist)",0.1,0.9250435506522463,0.05305906666873878,0.9157954545454545,0.06278363472262866,50,2.0850778545925936,0.24198828294511426,1.4127411831562082,0.13632699893888073,0.9910019525176054,0.13277965953899318
discovery,mcar,RFECA_SVR(k=5),0.1,0.9176499720086677,0.050084855750711275,0.9120454545454545,0.06033023194460744,50,2.0960004545578665,0.29348033354573605,1.4246801382444647,0.16807420725512917,0.9902674572179019,0.13941726645150404
discovery,mcar,RFECA_SVR(k=10),0.1,0.9101142379359771,0.04776412415491299,0.9020075757575757,0.0574648955664747,50,2.250653198847436,0.325443480884091,1.5391192990033273,0.17558795024988852,0.9887258934007797,0.14974547629612064
discovery,mcar,RFECA_SVR(k=20),0.1,0.9181455018411542,0.05324329641056842,0.9124242424242425,0.06135938928781278,50,2.4792008052240244,0.30065903475446243,1.7027529722515553,0.16655873766981816,0.9857749182836555,0.16704576692937437
discovery,mcar,MissForest,0.1,0.9184111521328913,0.04915057267003346,0.9107575757575758,0.056368868663451144,50,1.833383794390508,0.26097475831423866,1.227643197064121,0.1436112342713984,0.9929716829525848,0.11857277182091831
discovery,mcar,SimpleMean,0.2,0.8913581700907788,0.058954665611647215,0.8798863636363636,0.06591865320990317,50,2.796068910150135,0.25368886883421554,2.062941657536303,0.19926796618667258,0.9559710813457656,0.3099447380753819
discovery,mcar,"KNN(k=5,dist)",0.2,0.9122281597629426,0.05878880901486101,0.9040530303030304,0.06609224377933434,50,2.0782866261679245,0.15498160307434364,1.4203747946139693,0.10271674215708662,0.9806961092133689,0.1970017782169758
discovery,mcar,RFECA_SVR(k=5),0.2,0.8989780446606536,0.052898487313411284,0.8936742424242425,0.061371855290688254,50,2.1743004675557405,0.19039782949946296,1.4833563332105724,0.11377963742936892,0.9770641406279326,0.21524653114732964
discovery,mcar,RFECA_SVR(k=10),0.2,0.8916600081078343,0.05276629707587562,0.8816287878787878,0.06091719427308052,50,2.322705123103224,0.19643416074536843,1.5917471830968162,0.12968843878001582,0.9723549038949543,0.23519514321434154
discovery,mcar,RFECA_SVR(k=20),0.2,0.8938904054882317,0.056544130458699916,0.8853030303030303,0.06514796448019784,50,2.626057769284177,0.19466491090289778,1.8188503125236561,0.13679657334975023,0.9654728799402582,0.2604839240106854
discovery,mcar,MissForest,0.2,0.9083100667448495,0.05982065189735585,0.9048863636363638,0.06920939612024149,50,1.8573458378272778,0.14518249299586708,1.2359459122698115,0.08553895777517052,0.9847160971369705,0.17811710144269294
discovery,mcar,SimpleMean,0.3,0.8885768499616327,0.06935960292671534,0.879128787878788,0.07574278032702818,50,2.7858214285101632,0.21978637662732553,2.068005878024112,0.17431813486359565,0.919118500011737,0.4155252423864349
discovery,mcar,"KNN(k=5,dist)",0.3,0.9084213127452259,0.05485700919162443,0.9011363636363637,0.06602618633190321,50,2.1541714459240033,0.1852347081771869,1.4698446113759203,0.1041663391525433,0.967773056784159,0.255173003655911
discovery,mcar,RFECA_SVR(k=5),0.3,0.8972075574184271,0.06959625960237918,0.8936363636363638,0.07456776713553362,50,2.320350083104958,0.17381693821778388,1.5941709524660845,0.1157225396396912,0.9576778831883758,0.2903264825085367
discovery,mcar,RFECA_SVR(k=10),0.3,0.8952167742885134,0.06812556313510354,0.8890909090909092,0.075027558763029,50,2.5591873431285808,0.2752534639586803,1.745940841712094,0.12058067811009383,0.9460744242534939,0.3254136210064685
discovery,mcar,RFECA_SVR(k=20),0.3,0.882757377163899,0.06274979142876845,0.8702272727272726,0.07310327682063067,50,2.8257935396669747,0.24871645850826996,1.9609282923947142,0.1391186949300468,0.9332244060327105,0.35862430405080675
discovery,mcar,MissForest,0.3,0.9158477886847453,0.04757164622574327,0.9090151515151516,0.057023900926608063,50,1.9253434035907921,0.17781185152172915,1.2799871668453913,0.09669270927330477,0.97596488818435,0.2256245598846689
metabric,mcar,SimpleMean,0.0,0.8859360095573787,0.01389085443373495,0.8752464911354513,0.013119020735135928,50,,,,,,
metabric,mcar,"KNN(k=5,dist)",0.0,0.8859360095573787,0.01389085443373495,0.8752464911354513,0.013119020735135928,50,,,,,,
metabric,mcar,RFECA_SVR(k=5),0.0,0.8859360095573787,0.01389085443373495,0.8752464911354513,0.013119020735135928,50,,,,,,
metabric,mcar,RFECA_SVR(k=10),0.0,0.8859360095573787,0.01389085443373495,0.8752464911354513,0.013119020735135928,50,,,,,,
metabric,mcar,RFECA_SVR(k=20),0.0,0.8859360095573787,0.01389085443373495,0.8752464911354513,0.013119020735135928,50,,,,,,
metabric,mcar,MissForest,0.0,0.8859360095573787,0.01389085443373495,0.8752464911354513,0.013119020735135928,50,,,,,,
metabric,mcar,SimpleMean,0.05,0.878740165462206,0.013928484254435885,0.8694692667552101,0.015181964917662728,50,1.0667378370555551,0.041335796893814225,0.7510738994345804,0.026824778850067656,0.9985714920820681,0.06737465743881739
metabric,mcar,"KNN(k=5,dist)",0.05,0.8812234101019348,0.013095090085023199,0.8717219615002029,0.014537042758865425,50,0.6795133633865713,0.031484412124504084,0.46343720996496457,0.020028228631947344,0.9994371221355806,0.034816624286263205
metabric,mcar,RFECA_SVR(k=5),0.05,0.8811908119259192,0.012497676342548131,0.871560726465091,0.013575358366155912,50,0.6931456736171709,0.03991391047553835,0.4603762758323252,0.02021794396382556,0.9993813614743445,0.037118410166512475
metabric,mcar,RFECA_SVR(k=10),0.05,0.8821873344317992,0.012164697419181303,0.8725492380248479,0.013730841800555024,50,0.6778398115407646,0.03905236328536127,0.45016789533787427,0.021265767430107715,0.9994263158697695,0.03611527947978736
metabric,mcar,RFECA_SVR(k=20),0.05,0.8822424970815849,0.013435926036057996,0.8722983442530939,0.014427038159888033,50,0.6734393084175554,0.034615068354039595,0.4479106029086909,0.01993884595339263,0.9994486358123825,0.03524944104447284
metabric,mcar,MissForest,0.05,0.8812120143458076,0.012240245295965546,0.8716584870342894,0.013384414917864457,50,0.6172462402652915,0.031785186915001054,0.41481543327683007,0.017952852635967534,0.9995316108810927,0.03269187169395929
metabric,mcar,SimpleMean,0.1,0.8747997280647162,0.015356181253130237,0.8652653182290538,0.01590985956474833,50,1.063283952989402,0.033445531045407505,0.7468316593070493,0.021381623876843326,0.9966124942973278,0.11424588808376526
metabric,mcar,"KNN(k=5,dist)",0.1,0.8756739489033231,0.012967224067309106,0.8661451610363677,0.01345794978212018,50,0.6914800654508627,0.020906307970293383,0.468996341510552,0.012280410356650166,0.9987166407340518,0.054446583859263695
metabric,mcar,RFECA_SVR(k=5),0.1,0.8770501697569495,0.014501363637311622,0.8672119054102364,0.015031685645488393,50,0.7057575081677976,0.023025349988469394,0.4667646991945996,0.011481349331388183,0.9985293604097598,0.059421779345548396
metabric,mcar,RFECA_SVR(k=10),0.1,0.8780695701858201,0.014275775975616783,0.8684074293271985,0.014860179198070445,50,0.6890601949888076,0.023970961545729287,0.4560836715995735,0.011878024244268036,0.9986628614222302,0.05772561316608847
metabric,mcar,RFECA_SVR(k=20),0.1,0.8788408255873514,0.01439584248049924,0.8690059303839791,0.015434867531731823,50,0.685857470769276,0.022978846027650813,0.45451262050313845,0.011152806105890074,0.9987456566432921,0.05547435311551685
metabric,mcar,MissForest,0.1,0.8786664667109547,0.015455670887344442,0.869314236255828,0.01588585052597641,50,0.6236001728353094,0.017782837249708364,0.41673300305611893,0.00998346412992118,0.998951664738413,0.05169321985447545
metabric,mcar,SimpleMean,0.2,0.8660736598153808,0.01284516897060975,0.8568806092281701,0.014268364238298414,50,1.067532538827604,0.023505211089239777,0.7506195095902716,0.014044248025772919,0.9903330879887285,0.20749453376729246
