cohort,mechanism,missing_rate,metric,higher_is_better,n_blocks,n_imputers,friedman_chi2,p_value,note,mean_rank__SimpleMean,mean_value__SimpleMean,"mean_rank__KNN(k=5,dist)","mean_value__KNN(k=5,dist)",mean_rank__RFECA_SVR(k=5),mean_value__RFECA_SVR(k=5),mean_rank__RFECA_SVR(k=10),mean_value__RFECA_SVR(k=10),mean_rank__RFECA_SVR(k=20),mean_value__RFECA_SVR(k=20),mean_rank__MissForest,mean_value__MissForest
discovery,mcar,0.05,f1_macro,True,10,6,1.42647058823528,0.9213959234129739,,3.25,0.9234447677925939,3.1,0.9245413077260902,3.6,0.9222631691979519,4.0,0.9195475816454077,3.55,0.9186194493911886,3.5,0.9223843028951725
discovery,mcar,0.1,f1_macro,True,10,6,5.370919881305645,0.3723076291105262,,3.35,0.9172617594965422,2.75,0.9250435506522464,3.45,0.9176499720086676,4.6,0.9101142379359773,3.4,0.9181455018411538,3.45,0.9184111521328913
discovery,mcar,0.2,f1_macro,True,10,6,7.643678160919534,0.17699745900350217,,4.15,0.8913581700907788,2.65,0.9122281597629425,3.25,0.8989780446606535,4.25,0.8916600081078343,4.0,0.8938904054882315,2.7,0.9083100667448493
discovery,mcar,0.3,f1_macro,True,10,6,13.137535816618906,0.02212343933009382,,4.3,0.8885768499616326,2.7,0.9084213127452259,4.0,0.8972075574184271,3.8,0.8952167742885134,4.25,0.8827573771638988,1.95,0.9158477886847454
discovery,mcar,0.05,rmse,False,10,6,45.37142857142857,1.2192685711676701e-08,,6.0,2.8081285785899355,2.7,2.016992315275133,2.8,2.0406309920844974,3.5,2.1476662234311603,5.0,2.388047481929054,1.0,1.7610788481651167
discovery,mcar,0.1,rmse,False,10,6,48.571428571428555,2.7150412476718656e-09,,6.0,2.8483087786082413,2.5,2.0850778545925936,2.5,2.0960004545578665,4.0,2.250653198847436,5.0,2.4792008052240244,1.0,1.8333837943905078
discovery,mcar,0.2,rmse,False,10,6,49.485714285714266,1.7656527390849315e-09,,5.9,2.7960689101501353,2.0,2.0782866261679245,3.0,2.1743004675557405,4.0,2.3227051231032236,5.1,2.6260577692841762,1.0,1.8573458378272778
discovery,mcar,0.3,rmse,False,10,6,47.37142857142857,4.7722273298863144e-09,,5.3,2.785821428510163,2.1,2.1541714459240033,2.9,2.320350083104958,4.1,2.5591873431285808,5.6,2.825793539666974,1.0,1.925343403590792
discovery,mcar,0.05,corr_rv,True,10,6,42.79999999999998,4.056522365896065e-08,,6.0,0.991395823608008,2.7,0.9957050645445056,2.9,0.9955150706972308,3.4,0.9949992664452653,4.9,0.9933479263751421,1.1,0.9965444435856412
discovery,mcar,0.1,corr_rv,True,10,6,48.80000000000001,2.438250197197013e-09,,6.0,0.9810641913992681,2.3,0.9910019525176054,2.7,0.990267457217902,4.0,0.9887258934007797,5.0,0.9857749182836555,1.0,0.9929716829525848
