cohort,mechanism,missing_rate,metric,higher_is_better,n_blocks,n_imputers,friedman_chi2,p_value,note,mean_rank__SimpleMean,mean_value__SimpleMean,"mean_rank__KNN(k=5,dist)","mean_value__KNN(k=5,dist)",mean_rank__RFECA_SVR(k=20),mean_value__RFECA_SVR(k=20),mean_rank__MissForest,mean_value__MissForest
discovery,mcar,0.05,f1_macro,True,10,4,1.3298969072164866,0.7220462984106324,,2.55,0.9234447677925939,2.15,0.9245413077260902,2.5,0.9186194493911886,2.8,0.9223843028951725
discovery,mcar,0.1,f1_macro,True,10,4,0.7731958762886598,0.85586688997499,,2.6,0.9172617594965422,2.2,0.9250435506522464,2.55,0.9181455018411538,2.65,0.9184111521328913
discovery,mcar,0.2,f1_macro,True,10,4,4.515151515151514,0.21094278189566879,,2.85,0.8913581700907788,2.15,0.9122281597629425,3.0,0.8938904054882315,2.0,0.9083100667448493
discovery,mcar,0.3,f1_macro,True,10,4,11.969696969696964,0.0074876900480103,,3.2,0.8885768499616326,2.1,0.9084213127452259,3.15,0.8827573771638988,1.55,0.9158477886847454
discovery,mcar,0.05,rmse,False,10,4,30.0,1.3800570312932553e-06,,4.0,2.8081285785899355,2.0,2.016992315275133,3.0,2.388047481929054,1.0,1.7610788481651167
discovery,mcar,0.1,rmse,False,10,4,30.0,1.3800570312932553e-06,,4.0,2.8483087786082413,2.0,2.0850778545925936,3.0,2.4792008052240244,1.0,1.8333837943905078
discovery,mcar,0.2,rmse,False,10,4,28.919999999999987,2.3278065917953752e-06,,3.9,2.7960689101501353,2.0,2.0782866261679245,3.1,2.6260577692841762,1.0,1.8573458378272778
discovery,mcar,0.3,rmse,False,10,4,27.120000000000005,5.55598717156124e-06,,3.4,2.785821428510163,2.0,2.1541714459240033,3.6,2.825793539666974,1.0,1.925343403590792
discovery,mcar,0.05,corr_rv,True,10,4,30.0,1.3800570312932553e-06,,4.0,0.991395823608008,2.0,0.9957050645445056,3.0,0.9933479263751421,1.0,0.9965444435856412
discovery,mcar,0.1,corr_rv,True,10,4,30.0,1.3800570312932553e-06,,4.0,0.9810641913992681,2.0,0.9910019525176054,3.0,0.9857749182836555,1.0,0.9929716829525848
discovery,mcar,0.2,corr_rv,True,10,4,30.0,1.3800570312932553e-06,,4.0,0.9559710813457654,2.0,0.9806961092133687,3.0,0.9654728799402583,1.0,0.9847160971369705
discovery,mcar,0.3,corr_rv,True,10,4,30.0,1.3800570312932553e-06,,4.0,0.9191185000117372,2.0,0.9677730567841589,3.0,0.9332244060327104,1.0,0.97596488818435
metabric,mcar,0.05,f1_macro,True,10,4,6.0,0.11161022509471265,,3.2,0.878740165462206,2.6,0.8812234101019347,1.8,0.8822424970815849,2.4,0.881212014345808
metabric,mcar,0.1,f1_macro,True,10,4,9.0,0.02929088653488826,,3.2,0.8747997280647162,2.9,0.8756739489033232,1.6,0.8788408255873517,2.3,0.8786664667109548
metabric,mcar,0.2,f1_macro,True,10,4,21.359999999999985,8.862187827753165e-05,,3.8,0.8660736598153809,3.0,0.8691416635535306,1.6,0.8748686891553614,1.6,0.8741775961522379
metabric,mcar,0.3,f1_macro,True,10,4,15.0,0.0018166489665723214,,3.3,0.8550846750816824,3.2,0.8582261234591261,2.1,0.8627088318455878,1.4,0.8662237147375468
