cohort,mechanism,missing_rate,metric,higher_is_better,wilcoxon_stat,p_value,n_pairs,n_boot,note,p_holm,method_a,method_b,mean_a,mean_b,delta_a_minus_b,delta_ci95_low,delta_ci95_high,rank_biserial_r,p_holm_primary_family
discovery,mcar,0.05,f1_macro,True,14.0,0.640625,10,5000,,1.0,RFECA_SVR(k=5),SimpleMean,0.9222631691979519,0.9234447677925939,-0.0011815985946420527,-0.013512925058033741,0.01202874709831231,-0.2222222222222222,1.0
discovery,mcar,0.05,f1_macro,True,20.0,0.4921875,10,5000,,1.0,RFECA_SVR(k=10),SimpleMean,0.9195475816454077,0.9234447677925939,-0.003897186147186127,-0.011580127752682032,0.003949265951439864,-0.2727272727272727,1.0
discovery,mcar,0.05,f1_macro,True,20.0,0.4921875,10,5000,,1.0,RFECA_SVR(k=20),SimpleMean,0.9186194493911886,0.9234447677925939,-0.004825318401405332,-0.01597874239287282,0.005447726880607326,-0.2727272727272727,1.0
discovery,mcar,0.05,f1_macro,True,20.0,0.8203125,10,5000,,1.0,MissForest,SimpleMean,0.9223843028951725,0.9234447677925939,-0.0010604648974214092,-0.0135754270186335,0.012014468834305776,-0.11111111111111116,1.0
discovery,mcar,0.05,f1_macro,True,19.0,0.734375,10,5000,,1.0,RFECA_SVR(k=5),"KNN(k=5,dist)",0.9222631691979519,0.9245413077260902,-0.002278138528138496,-0.011700831686429441,0.00806799948240169,-0.15555555555555556,1.0
discovery,mcar,0.05,f1_macro,True,19.0,0.431640625,10,5000,,1.0,RFECA_SVR(k=10),"KNN(k=5,dist)",0.9195475816454077,0.9245413077260902,-0.00499372608068257,-0.014306993067319067,0.004583896809712054,-0.3090909090909091,1.0
discovery,mcar,0.05,f1_macro,True,14.0,0.359375,10,5000,,1.0,RFECA_SVR(k=20),"KNN(k=5,dist)",0.9186194493911886,0.9245413077260902,-0.005921858334901775,-0.015077499372608024,0.003473562488236479,-0.37777777777777777,1.0
discovery,mcar,0.05,f1_macro,True,21.0,0.556640625,10,5000,,1.0,MissForest,"KNN(k=5,dist)",0.9223843028951725,0.9245413077260902,-0.0021570048309178524,-0.010901857472237897,0.007506167654809001,-0.23636363636363633,1.0
discovery,mcar,0.1,f1_macro,True,27.0,1.0,10,5000,,1.0,RFECA_SVR(k=5),SimpleMean,0.9176499720086676,0.9172617594965422,0.00038821251212556307,-0.01277668148880105,0.013595064681695095,-0.018181818181818188,1.0
discovery,mcar,0.1,f1_macro,True,15.0,0.42578125,10,5000,,1.0,RFECA_SVR(k=10),SimpleMean,0.9101142379359773,0.9172617594965422,-0.007147521560565018,-0.023148967409402144,0.006434201360233968,-0.33333333333333337,1.0
discovery,mcar,0.1,f1_macro,True,26.0,0.921875,10,5000,,1.0,RFECA_SVR(k=20),SimpleMean,0.9181455018411538,0.9172617594965422,0.0008837423446119263,-0.011212827263316388,0.013283280988335354,0.05454545454545445,1.0
discovery,mcar,0.1,f1_macro,True,25.0,0.845703125,10,5000,,1.0,MissForest,SimpleMean,0.9184111521328913,0.9172617594965422,0.0011493926363491669,-0.012758238518727618,0.015063783861066455,0.09090909090909083,1.0
discovery,mcar,0.1,f1_macro,True,18.0,0.375,10,5000,,1.0,RFECA_SVR(k=5),"KNN(k=5,dist)",0.9176499720086676,0.9250435506522464,-0.007393578643578647,-0.019595054583098046,0.0038061625572494663,-0.34545454545454546,1.0
discovery,mcar,0.1,f1_macro,True,5.0,0.0390625,10,5000,,0.5859375,RFECA_SVR(k=10),"KNN(k=5,dist)",0.9101142379359773,0.9250435506522464,-0.014929312716269228,-0.026651545917850263,-0.004042666174405332,-0.7777777777777778,0.3125
discovery,mcar,0.1,f1_macro,True,14.0,0.193359375,10,5000,,1.0,RFECA_SVR(k=20),"KNN(k=5,dist)",0.9181455018411538,0.9250435506522464,-0.006898048811092283,-0.014948376231256628,0.0001676293211619112,-0.49090909090909096,1.0
