cohort,mechanism,missing_rate,metric,higher_is_better,wilcoxon_stat,p_value,n_pairs,n_boot,note,p_holm,method_a,method_b,mean_a,mean_b,delta_a_minus_b,delta_ci95_low,delta_ci95_high,rank_biserial_r,p_holm_primary_family
metabric,mcar,0.1,f1_macro,True,2.0,0.005859375,10,5000,,0.087890625,RFECA_SVR(k=20),SimpleMean,0.8788408255873517,0.8747997280647162,0.0040410975226355065,0.0020513575702467003,0.006218575522372645,0.9272727272727272,0.046875
metabric,mcar,0.1,f1_macro,True,2.0,0.005859375,10,5000,,0.087890625,RFECA_SVR(k=20),"KNN(k=5,dist)",0.8788408255873517,0.8756739489033232,0.003166876684028519,0.0015232748933900076,0.005079384850869835,0.9272727272727272,0.046875
metabric,mcar,0.2,f1_macro,True,2.0,0.005859375,10,5000,,0.076171875,RFECA_SVR(k=5),SimpleMean,0.8699658920139648,0.8660736598153809,0.0038922321985838003,0.002042049566396578,0.005849832277244794,0.9272727272727272,0.03515625
metabric,mcar,0.2,f1_macro,True,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=20),SimpleMean,0.8748686891553614,0.8660736598153809,0.008795029339980475,0.005797637304112522,0.011617728702128627,1.0,0.015625
metabric,mcar,0.2,f1_macro,True,0.0,0.001953125,10,5000,,0.029296875,MissForest,SimpleMean,0.8741775961522379,0.8660736598153809,0.008103936336856942,0.005878138311060093,0.0103135905545507,1.0,0.015625
metabric,mcar,0.2,f1_macro,True,2.0,0.005859375,10,5000,,0.076171875,RFECA_SVR(k=20),"KNN(k=5,dist)",0.8748686891553614,0.8691416635535306,0.005727025601830626,0.002894337005171813,0.008907536535916782,0.9272727272727272,0.03515625
metabric,mcar,0.2,f1_macro,True,3.0,0.009765625,10,5000,,0.09765625,MissForest,"KNN(k=5,dist)",0.8741775961522379,0.8691416635535306,0.005035932598707093,0.0024833571421865016,0.007339606843102928,0.8909090909090909,0.0390625
metabric,mcar,0.3,f1_macro,True,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=10),SimpleMean,0.863862901789948,0.8550846750816824,0.008778226708265469,0.005395311463754569,0.012605590181498861,1.0,0.015625
metabric,mcar,0.3,f1_macro,True,0.0,0.001953125,10,5000,,0.029296875,MissForest,SimpleMean,0.8662237147375468,0.8550846750816824,0.011139039655864347,0.00854893444242509,0.014090127857434846,1.0,0.015625
metabric,mcar,0.3,f1_macro,True,2.0,0.005859375,10,5000,,0.076171875,MissForest,"KNN(k=5,dist)",0.8662237147375468,0.8582261234591261,0.007997591278420558,0.004338134897963902,0.011392184956019473,0.9272727272727272,0.03515625
metabric,mar,0.2,f1_macro,True,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=5),SimpleMean,0.8708808668237511,0.8635717320954566,0.007309134728294553,0.004944489251532935,0.00992133034360636,1.0,0.015625
metabric,mar,0.2,f1_macro,True,1.0,0.00390625,10,5000,,0.046875,RFECA_SVR(k=10),SimpleMean,0.8709077508526741,0.8635717320954566,0.007336018757217577,0.0038672690187053,0.011229808107042124,0.9636363636363636,0.0234375
metabric,mar,0.2,f1_macro,True,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=20),SimpleMean,0.8710153657068591,0.8635717320954566,0.007443633611402567,0.004523442312554615,0.011205498856242392,1.0,0.015625
metabric,mar,0.2,f1_macro,True,1.0,0.00390625,10,5000,,0.046875,MissForest,SimpleMean,0.8707923202001207,0.8635717320954566,0.007220588104664116,0.003946119067928493,0.010982994524121997,0.9636363636363636,0.0234375
metabric,mar,0.3,f1_macro,True,3.0,0.009765625,10,5000,,0.087890625,RFECA_SVR(k=5),SimpleMean,0.8557480643509361,0.8480200851951301,0.007727979155806286,0.0031354258235025034,0.012866882000303295,0.8909090909090909,0.01953125
metabric,mar,0.3,f1_macro,True,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=10),SimpleMean,0.8576248921493402,0.8480200851951301,0.00960480695421031,0.005200168909985934,0.014528622179787086,1.0,0.015625
metabric,mar,0.3,f1_macro,True,3.0,0.009765625,10,5000,,0.087890625,RFECA_SVR(k=20),SimpleMean,0.8585895875390565,0.8480200851951301,0.010569502343926373,0.004843503368472291,0.01710939006917456,0.8909090909090909,0.01953125
metabric,mar,0.3,f1_macro,True,0.0,0.001953125,10,5000,,0.029296875,MissForest,SimpleMean,0.8606189427022096,0.8480200851951301,0.012598857507079675,0.008558190798286626,0.017229060435167556,1.0,0.015625
metabric,mar,0.3,f1_macro,True,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=5),"KNN(k=5,dist)",0.8557480643509361,0.848245423395533,0.007502640955403106,0.004255063442935914,0.011332759967995399,1.0,0.015625
metabric,mar,0.3,f1_macro,True,1.0,0.00390625,10,5000,,0.04296875,RFECA_SVR(k=10),"KNN(k=5,dist)",0.8576248921493402,0.848245423395533,0.00937946875380713,0.0051590143110899385,0.013939740007148569,0.9636363636363636,0.015625
metabric,mar,0.3,f1_macro,True,2.0,0.005859375,10,5000,,0.05859375,RFECA_SVR(k=20),"KNN(k=5,dist)",0.8585895875390565,0.848245423395533,0.010344164143523193,0.005721721098408481,0.014664655318064525,0.9272727272727272,0.017578125
metabric,mar,0.3,f1_macro,True,0.0,0.001953125,10,5000,,0.029296875,MissForest,"KNN(k=5,dist)",0.8606189427022096,0.848245423395533,0.012373519306676494,0.008719844441569162,0.01617122721869745,1.0,0.015625
