cohort,mechanism,missing_rate,metric,higher_is_better,wilcoxon_stat,p_value,n_pairs,n_boot,note,p_holm,method_a,method_b,mean_a,mean_b,delta_a_minus_b,delta_ci95_low,delta_ci95_high,rank_biserial_r,p_holm_primary_family
metabric,mcar,0.05,f1_macro,True,11.0,0.10546875,10,5000,,1.0,RFECA_SVR(k=5),SimpleMean,0.881190811925919,0.878740165462206,0.002450646463713,-1.96088422061208e-05,0.00500556190966,0.6000000000000001,0.6328125
metabric,mcar,0.05,f1_macro,True,5.0,0.01953125,10,5000,,0.29296875,RFECA_SVR(k=10),SimpleMean,0.8821873344317991,0.878740165462206,0.0034471689695931,0.0014187278809929,0.0053678722950297,0.8181818181818181,0.15625
metabric,mcar,0.05,f1_macro,True,5.0,0.01953125,10,5000,,0.29296875,RFECA_SVR(k=20),SimpleMean,0.8822424970815849,0.878740165462206,0.0035023316193787,0.0012907231683899,0.0059270603730819,0.8181818181818181,0.15625
metabric,mcar,0.05,f1_macro,True,13.0,0.16015625,10,5000,,1.0,MissForest,SimpleMean,0.881212014345808,0.878740165462206,0.0024718488836017,-0.0007250507592956,0.0052635615573064,0.5272727272727273,0.654296875
metabric,mcar,0.1,f1_macro,True,14.0,0.193359375,10,5000,,1.0,RFECA_SVR(k=5),SimpleMean,0.8770501697569497,0.8747997280647162,0.0022504416922335,-0.0001894942816132,0.0047036447592502,0.4909090909090909,0.48046875
metabric,mcar,0.1,f1_macro,True,7.0,0.037109375,10,5000,,0.482421875,RFECA_SVR(k=10),SimpleMean,0.8780695701858203,0.8747997280647162,0.003269842121104,0.0006890279164488,0.0056245144045931,0.7454545454545454,0.22265625
metabric,mcar,0.1,f1_macro,True,2.0,0.005859375,10,5000,,0.087890625,RFECA_SVR(k=20),SimpleMean,0.8788408255873517,0.8747997280647162,0.0040410975226355,0.0020513575702467,0.0062185755223726,0.9272727272727272,0.046875
metabric,mcar,0.1,f1_macro,True,8.0,0.048828125,10,5000,,0.5859375,MissForest,SimpleMean,0.8786664667109548,0.8747997280647162,0.0038667386462386,0.0009471496209303,0.0067310993534047,0.709090909090909,0.244140625
metabric,mcar,0.2,f1_macro,True,2.0,0.005859375,10,5000,,0.076171875,RFECA_SVR(k=5),SimpleMean,0.8699658920139648,0.8660736598153809,0.0038922321985838,0.0020420495663965,0.0058498322772447,0.9272727272727272,0.03515625
metabric,mcar,0.2,f1_macro,True,7.0,0.037109375,10,5000,,0.296875,RFECA_SVR(k=10),SimpleMean,0.8699883418704252,0.8660736598153809,0.0039146820550443,0.0009823718686095,0.0066751241262724,0.7454545454545454,0.111328125
metabric,mcar,0.2,f1_macro,True,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=20),SimpleMean,0.8748686891553614,0.8660736598153809,0.0087950293399804,0.0057976373041125,0.0116177287021286,1.0,0.015625
metabric,mcar,0.2,f1_macro,True,0.0,0.001953125,10,5000,,0.029296875,MissForest,SimpleMean,0.8741775961522379,0.8660736598153809,0.0081039363368569,0.00587813831106,0.0103135905545507,1.0,0.015625
metabric,mcar,0.3,f1_macro,True,4.0,0.013671875,10,5000,,0.1640625,RFECA_SVR(k=5),SimpleMean,0.8611557612545108,0.8550846750816824,0.0060710861728285,0.0023776226089187,0.0102673089386276,0.8545454545454545,0.068359375
metabric,mcar,0.3,f1_macro,True,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=10),SimpleMean,0.863862901789948,0.8550846750816824,0.0087782267082654,0.0053953114637545,0.0126055901814988,1.0,0.015625
metabric,mcar,0.3,f1_macro,True,5.0,0.01953125,10,5000,,0.1953125,RFECA_SVR(k=20),SimpleMean,0.8627088318455878,0.8550846750816824,0.0076241567639054,0.0028229265244764,0.0127832676101342,0.8181818181818181,0.068359375
metabric,mcar,0.3,f1_macro,True,0.0,0.001953125,10,5000,,0.029296875,MissForest,SimpleMean,0.8662237147375468,0.8550846750816824,0.0111390396558643,0.008548934442425,0.0140901278574348,1.0,0.015625
metabric,mar,0.05,f1_macro,True,18.0,0.375,10,5000,,1.0,RFECA_SVR(k=5),SimpleMean,0.8801272587714714,0.8807230463647768,-0.0005957875933053,-0.0028678829010342,0.0022651634485993,-0.3454545454545454,1.0
metabric,mar,0.05,f1_macro,True,18.0,0.375,10,5000,,1.0,RFECA_SVR(k=10),SimpleMean,0.8812410534187956,0.8807230463647768,0.0005180070540189,-0.0013848329734346,0.0024581272224597,0.3454545454545454,1.0
metabric,mar,0.05,f1_macro,True,25.0,0.845703125,10,5000,,1.0,RFECA_SVR(k=20),SimpleMean,0.8816077162833883,0.8807230463647768,0.0008846699186116,-0.0019594307540218,0.0047903543097725,-0.0909090909090909,1.0
metabric,mar,0.05,f1_macro,True,24.0,0.76953125,10,5000,,1.0,MissForest,SimpleMean,0.8805805867748587,0.8807230463647768,-0.000142459589918,-0.0020926511866239,0.0020634090323014,-0.1272727272727273,1.0
metabric,mar,0.1,f1_macro,True,8.0,0.048828125,10,5000,,0.68359375,RFECA_SVR(k=5),SimpleMean,0.8787595376156411,0.8743290626841953,0.0044304749314457,0.0010839935134236,0.007497743900414,0.709090909090909,0.341796875
metabric,mar,0.1,f1_macro,True,13.0,0.16015625,10,5000,,1.0,RFECA_SVR(k=10),SimpleMean,0.8768648126699196,0.8743290626841953,0.0025357499857243,-0.0012902593617204,0.0057749133041246,0.5272727272727273,0.80078125
metabric,mar,0.1,f1_macro,True,10.0,0.083984375,10,5000,,1.0,RFECA_SVR(k=20),SimpleMean,0.8779987803856862,0.8743290626841953,0.003669717701491,-8.297510591392735e-05,0.0069162117770342,0.6363636363636365,0.50390625
metabric,mar,0.1,f1_macro,True,6.0,0.02734375,10,5000,,0.41015625,MissForest,SimpleMean,0.8791786876085735,0.8743290626841953,0.0048496249243784,0.0010141124294703,0.0081871032743709,0.7818181818181817,0.21875
metabric,mar,0.2,f1_macro,True,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=5),SimpleMean,0.8708808668237511,0.8635717320954566,0.0073091347282945,0.0049444892515329,0.0099213303436063,1.0,0.015625
metabric,mar,0.2,f1_macro,True,1.0,0.00390625,10,5000,,0.046875,RFECA_SVR(k=10),SimpleMean,0.8709077508526741,0.8635717320954566,0.0073360187572175,0.0038672690187053,0.0112298081070421,0.9636363636363636,0.0234375
metabric,mar,0.2,f1_macro,True,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=20),SimpleMean,0.8710153657068591,0.8635717320954566,0.0074436336114025,0.0045234423125546,0.0112054988562423,1.0,0.015625
metabric,mar,0.2,f1_macro,True,1.0,0.00390625,10,5000,,0.046875,MissForest,SimpleMean,0.8707923202001207,0.8635717320954566,0.0072205881046641,0.0039461190679284,0.0109829945241219,0.9636363636363636,0.0234375
