cohort,mechanism,missing_rate,metric,higher_is_better,wilcoxon_stat,p_value,n_pairs,n_boot,note,p_holm,method_a,method_b,mean_a,mean_b,delta_a_minus_b,delta_ci95_low,delta_ci95_high,rank_biserial_r,p_holm_primary_family
metabric,mcar,0.05,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=5),SimpleMean,0.6931456736171708,1.0667378370555554,-0.3735921634383845,-0.3853701525359486,-0.3613634463822491,-1.0,0.015625
metabric,mcar,0.05,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=10),SimpleMean,0.6778398115407647,1.0667378370555554,-0.3888980255147907,-0.40072834416430086,-0.3760660407996745,-1.0,0.015625
metabric,mcar,0.05,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=20),SimpleMean,0.6734393084175554,1.0667378370555554,-0.3932985286379999,-0.40246178558773793,-0.3833339917389978,-1.0,0.015625
metabric,mcar,0.05,rmse,False,0.0,0.001953125,10,5000,,0.029296875,MissForest,SimpleMean,0.6172462402652915,1.0667378370555554,-0.4494915967902638,-0.46028367016106986,-0.43780096359509857,-1.0,0.015625
metabric,mcar,0.1,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=5),SimpleMean,0.7057575081677976,1.0632839529894023,-0.35752644482160456,-0.36537898556881576,-0.35006827798969115,-1.0,0.015625
metabric,mcar,0.1,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=10),SimpleMean,0.6890601949888076,1.0632839529894023,-0.3742237580005946,-0.38252227348576834,-0.3667178493510083,-1.0,0.015625
metabric,mcar,0.1,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=20),SimpleMean,0.6858574707692758,1.0632839529894023,-0.37742648222012626,-0.38592581431298306,-0.37031356735731175,-1.0,0.015625
metabric,mcar,0.1,rmse,False,0.0,0.001953125,10,5000,,0.029296875,MissForest,SimpleMean,0.6236001728353093,1.0632839529894023,-0.43968378015409276,-0.4498982766435359,-0.43021349428939076,-1.0,0.015625
metabric,mcar,0.2,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=5),SimpleMean,0.7231464675236974,1.0675325388276042,-0.34438607130390686,-0.34951208434491865,-0.33943900987217546,-1.0,0.015625
metabric,mcar,0.2,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=10),SimpleMean,0.7059020033174648,1.0675325388276042,-0.3616305355101393,-0.36481373037858117,-0.358595410436038,-1.0,0.015625
metabric,mcar,0.2,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=20),SimpleMean,0.7059426056470143,1.0675325388276042,-0.36158993318058985,-0.3643990679830043,-0.3585550193084948,-1.0,0.015625
metabric,mcar,0.2,rmse,False,0.0,0.001953125,10,5000,,0.029296875,MissForest,SimpleMean,0.6371393598958995,1.0675325388276042,-0.43039317893170476,-0.4349873324118594,-0.42568124240975497,-1.0,0.015625
metabric,mcar,0.3,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=5),SimpleMean,0.7433308152272196,1.068808469877248,-0.3254776546500283,-0.32844516921480976,-0.3227349020531822,-1.0,0.015625
metabric,mcar,0.3,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=10),SimpleMean,0.7293349315575418,1.068808469877248,-0.33947353831970606,-0.3425706369845339,-0.33649475588214306,-1.0,0.015625
metabric,mcar,0.3,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=20),SimpleMean,0.7360615266759072,1.068808469877248,-0.3327469432013407,-0.3366329597513398,-0.3291341233035614,-1.0,0.015625
metabric,mcar,0.3,rmse,False,0.0,0.001953125,10,5000,,0.029296875,MissForest,SimpleMean,0.6532032377531888,1.068808469877248,-0.41560523212405903,-0.41894314739108396,-0.4117775678882014,-1.0,0.015625
metabric,mar,0.05,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=5),SimpleMean,0.7213461886337341,1.1688933346254948,-0.44754714599176076,-0.4580990657786012,-0.43584808669163433,-1.0,0.015625
metabric,mar,0.05,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=10),SimpleMean,0.7054996376019977,1.1688933346254948,-0.4633936970234971,-0.47212434051076846,-0.4540733538734198,-1.0,0.015625
metabric,mar,0.05,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=20),SimpleMean,0.7002640860420702,1.1688933346254948,-0.4686292485834246,-0.47593995918245874,-0.460795955159487,-1.0,0.015625
metabric,mar,0.05,rmse,False,0.0,0.001953125,10,5000,,0.029296875,MissForest,SimpleMean,0.6290763935180603,1.1688933346254948,-0.5398169411074345,-0.5503744686788291,-0.529729027910454,-1.0,0.015625
metabric,mar,0.1,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=5),SimpleMean,0.7413737203136193,1.1602141435329831,-0.4188404232193639,-0.4237319757619194,-0.4134122319338639,-1.0,0.015625
metabric,mar,0.1,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=10),SimpleMean,0.7191646774100003,1.1602141435329831,-0.4410494661229828,-0.4457556490820749,-0.4359695460992689,-1.0,0.015625
metabric,mar,0.1,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=20),SimpleMean,0.717180193815534,1.1602141435329831,-0.443033949717449,-0.44817264246037986,-0.43790148134916856,-1.0,0.015625
