cohort,mechanism,missing_rate,metric,higher_is_better,n_blocks,n_imputers,friedman_chi2,p_value,note,mean_rank__RFECA_SVR(k=5),mean_value__RFECA_SVR(k=5),mean_rank__RFECA_SVR(k=10),mean_value__RFECA_SVR(k=10),mean_rank__RFECA_SVR(k=20),mean_value__RFECA_SVR(k=20)
cptac_2c,mcar,0.05,f1_macro,True,10,3,0.0,1.0,,2.0,0.9209817839165666,2.0,0.9192493038362605,2.0,0.9203550350615568
cptac_2c,mcar,0.1,f1_macro,True,10,3,3.4857142857142986,0.1750196294860805,,1.55,0.9302896608222696,2.25,0.9216713974431366,2.2,0.9271625982712941
cptac_2c,mcar,0.2,f1_macro,True,10,3,0.051282051282062945,0.9746849137081465,,2.05,0.9027418086744176,2.0,0.902307922029661,1.95,0.9067789763376719
cptac_2c,mcar,0.3,f1_macro,True,10,3,0.8421052631579068,0.6563555554708362,,1.8,0.9016843123060516,2.0,0.8985973454082151,2.2,0.9003397339375601
cptac_2c,mcar,0.05,rmse,False,10,3,10.400000000000006,0.005516564420760756,,1.4,1.8019355319789043,1.8,1.8215748562860548,2.8,1.8814198921442298
cptac_2c,mcar,0.1,rmse,False,10,3,15.200000000000017,0.0005004514334406062,,1.4,1.8083404649737784,1.6,1.8152711388624219,3.0,1.9105050502087846
cptac_2c,mcar,0.2,rmse,False,10,3,8.599999999999994,0.01356855901220097,,1.4,1.9807884246272696,1.9,2.008597245048073,2.7,2.088108639015263
cptac_2c,mcar,0.3,rmse,False,10,3,18.200000000000017,0.0001116658084901137,,1.1,2.072919783458199,1.9,2.1225456653142145,3.0,2.251180482562588
metabric,mcar,0.05,f1_macro,True,10,3,1.4000000000000057,0.496585303791408,,1.9,0.8835451074301796,2.3,0.8822808921451191,1.8,0.8828589042177921
metabric,mcar,0.1,f1_macro,True,10,3,0.20000000000000284,0.9048374180359583,,1.9,0.8770155334895996,2.0,0.8778479141048244,2.1,0.8776612416259578
metabric,mcar,0.2,f1_macro,True,10,3,5.400000000000006,0.06720551273974958,,2.3,0.8707824031518786,2.3,0.8705005445032153,1.4,0.8734905636873807
metabric,mcar,0.3,f1_macro,True,10,3,3.200000000000003,0.20189651799465513,,2.4,0.8608981377578886,2.0,0.862669851872832,1.6,0.8639685799065422
metabric,mcar,0.05,rmse,False,10,3,20.0,4.539992976248486e-05,,3.0,0.6841588820133786,2.0,0.6634448401127584,1.0,0.6487709661318126
metabric,mcar,0.1,rmse,False,10,3,20.0,4.539992976248486e-05,,3.0,0.6929634655436018,2.0,0.6737971025302023,1.0,0.6588264502410854
metabric,mcar,0.2,rmse,False,10,3,20.0,4.539992976248486e-05,,3.0,0.7166232312087637,2.0,0.6954332128668085,1.0,0.6835613818233464
metabric,mcar,0.3,rmse,False,10,3,20.0,4.539992976248486e-05,,3.0,0.7466113811842476,2.0,0.7320845513651737,1.0,0.724341780518962
