cohort,mechanism,missing_rate,metric,higher_is_better,method_a,method_b,mean_a,mean_b,delta_a_minus_b,delta_ci95_low,delta_ci95_high,wilcoxon_stat,p_value,rank_biserial_r,n_pairs,n_boot,note,p_holm
cptac_2c,mcar,0.05,f1_macro,True,RFECA_SVR(k=5),RFECA_SVR(k=10),0.9209817839165666,0.9192493038362605,0.0017324800803061424,-0.005674622780601076,0.0087164211995733,23.0,0.673828125,0.1636363636363637,10,5000,,1.0
cptac_2c,mcar,0.05,f1_macro,True,RFECA_SVR(k=5),RFECA_SVR(k=20),0.9209817839165666,0.9203550350615568,0.0006267488550096955,-0.008176245765104487,0.010101732778091434,27.0,1.0,0.018181818181818188,10,5000,,1.0
cptac_2c,mcar,0.05,f1_macro,True,RFECA_SVR(k=10),RFECA_SVR(k=20),0.9192493038362605,0.9203550350615568,-0.0011057312252964469,-0.010526209297948442,0.006875068228872525,17.0,0.9453125,0.05555555555555558,10,5000,,1.0
cptac_2c,mcar,0.1,f1_macro,True,RFECA_SVR(k=5),RFECA_SVR(k=10),0.9302896608222696,0.9216713974431366,0.008618263379132952,0.000735101794340956,0.017547452004517225,5.0,0.078125,0.7222222222222222,10,5000,,0.234375
cptac_2c,mcar,0.1,f1_macro,True,RFECA_SVR(k=5),RFECA_SVR(k=20),0.9302896608222696,0.9271625982712941,0.0031270625509755567,-0.008364734299516906,0.012452976974716003,17.0,0.5546875,0.24444444444444446,10,5000,,0.8515625
cptac_2c,mcar,0.1,f1_macro,True,RFECA_SVR(k=10),RFECA_SVR(k=20),0.9216713974431366,0.9271625982712941,-0.005491200828157394,-0.015302504862287507,0.003946765794591833,15.0,0.42578125,-0.33333333333333326,10,5000,,0.8515625
cptac_2c,mcar,0.2,f1_macro,True,RFECA_SVR(k=5),RFECA_SVR(k=10),0.9027418086744176,0.902307922029661,0.00043388664475620955,-0.0056837773699730185,0.006845702395430665,25.0,0.845703125,-0.09090909090909083,10,5000,,1.0
cptac_2c,mcar,0.2,f1_macro,True,RFECA_SVR(k=5),RFECA_SVR(k=20),0.9027418086744176,0.9067789763376719,-0.004037167663254626,-0.015485925789186677,0.005430383022774319,20.0,0.8203125,-0.11111111111111116,10,5000,,1.0
cptac_2c,mcar,0.2,f1_macro,True,RFECA_SVR(k=10),RFECA_SVR(k=20),0.902307922029661,0.9067789763376719,-0.004471054308010836,-0.014382013879839927,0.004962686341436337,24.0,0.76953125,-0.1272727272727272,10,5000,,1.0
cptac_2c,mcar,0.3,f1_macro,True,RFECA_SVR(k=5),RFECA_SVR(k=10),0.9016843123060516,0.8985973454082151,0.003086966897836485,-0.013043218888599344,0.019570599810817286,16.0,0.84375,0.11111111111111116,10,5000,,1.0
cptac_2c,mcar,0.3,f1_macro,True,RFECA_SVR(k=5),RFECA_SVR(k=20),0.9016843123060516,0.9003397339375601,0.0013445783684913892,-0.01703871405164887,0.0173204533208338,23.0,0.6953125,0.1636363636363637,10,5000,,1.0
cptac_2c,mcar,0.3,f1_macro,True,RFECA_SVR(k=10),RFECA_SVR(k=20),0.8985973454082151,0.9003397339375601,-0.0017423885293450958,-0.010986469575110942,0.007535374739994307,25.0,0.845703125,-0.09090909090909083,10,5000,,1.0
