target_gene,target_entrez_id,documented_aliases,match_method,n_candidate_probes,candidate_probes_json,selected_probe_id,selected_hugo_symbol,selected_entrez_id,selected_variance,probe_selection_rule,status
ACTR3B,57180,,entrez,1,"[{""row_index"": 7789, ""Hugo_Symbol"": ""ACTR3B"", ""Entrez_Gene_Id"": 57180, ""variance"": 0.5540051534551653}]",row:7789|Hugo:ACTR3B|Entrez:57180,ACTR3B,57180,0.5540051534551653,"Among rows mapping to the same target gene, select the probe/row with the highest variance across all expression samples (unsupervised, deterministic; ties broken by smaller Entrez_Gene_Id then lexicographic Hugo_Symbol).",mapped
ANLN,54443,,entrez,1,"[{""row_index"": 17717, ""Hugo_Symbol"": ""ANLN"", ""Entrez_Gene_Id"": 54443, ""variance"": 0.36171359306969053}]",row:17717|Hugo:ANLN|Entrez:54443,ANLN,54443,0.36171359306969053,"Among rows mapping to the same target gene, select the probe/row with the highest variance across all expression samples (unsupervised, deterministic; ties broken by smaller Entrez_Gene_Id then lexicographic Hugo_Symbol).",mapped
BAG1,573,,entrez,1,"[{""row_index"": 5631, ""Hugo_Symbol"": ""BAG1"", ""Entrez_Gene_Id"": 573, ""variance"": 0.10766284585697546}]",row:5631|Hugo:BAG1|Entrez:573,BAG1,573,0.10766284585697546,"Among rows mapping to the same target gene, select the probe/row with the highest variance across all expression samples (unsupervised, deterministic; ties broken by smaller Entrez_Gene_Id then lexicographic Hugo_Symbol).",mapped
BCL2,596,,entrez,1,"[{""row_index"": 11332, ""Hugo_Symbol"": ""BCL2"", ""Entrez_Gene_Id"": 596, ""variance"": 1.089123275974744}]",row:11332|Hugo:BCL2|Entrez:596,BCL2,596,1.089123275974744,"Among rows mapping to the same target gene, select the probe/row with the highest variance across all expression samples (unsupervised, deterministic; ties broken by smaller Entrez_Gene_Id then lexicographic Hugo_Symbol).",mapped
BIRC5,332,,entrez,2,"[{""row_index"": 3394, ""Hugo_Symbol"": ""BIRC5"", ""Entrez_Gene_Id"": 332, ""variance"": 0.9405220780103493}, {""row_index"": 7879, ""Hugo_Symbol"": ""BIRC5"", ""Entrez_Gene_Id"": 332, ""variance"": 0.019736750804904512}]",row:3394|Hugo:BIRC5|Entrez:332,BIRC5,332,0.9405220780103493,"Among rows mapping to the same target gene, select the probe/row with the highest variance across all expression samples (unsupervised, deterministic; ties broken by smaller Entrez_Gene_Id then lexicographic Hugo_Symbol).",mapped
BLVRA,644,,entrez,1,"[{""row_index"": 8178, ""Hugo_Symbol"": ""BLVRA"", ""Entrez_Gene_Id"": 644, ""variance"": 0.5230110206873212}]",row:8178|Hugo:BLVRA|Entrez:644,BLVRA,644,0.5230110206873212,"Among rows mapping to the same target gene, select the probe/row with the highest variance across all expression samples (unsupervised, deterministic; ties broken by smaller Entrez_Gene_Id then lexicographic Hugo_Symbol).",mapped
CCNB1,891,,entrez,1,"[{""row_index"": 12602, ""Hugo_Symbol"": ""CCNB1"", ""Entrez_Gene_Id"": 891, ""variance"": 0.38402111825156277}]",row:12602|Hugo:CCNB1|Entrez:891,CCNB1,891,0.38402111825156277,"Among rows mapping to the same target gene, select the probe/row with the highest variance across all expression samples (unsupervised, deterministic; ties broken by smaller Entrez_Gene_Id then lexicographic Hugo_Symbol).",mapped
CCNE1,898,,entrez,1,"[{""row_index"": 10760, ""Hugo_Symbol"": ""CCNE1"", ""Entrez_Gene_Id"": 898, ""variance"": 0.7705481412216558}]",row:10760|Hugo:CCNE1|Entrez:898,CCNE1,898,0.7705481412216558,"Among rows mapping to the same target gene, select the probe/row with the highest variance across all expression samples (unsupervised, deterministic; ties broken by smaller Entrez_Gene_Id then lexicographic Hugo_Symbol).",mapped
CDC20,991,,entrez,1,"[{""row_index"": 4203, ""Hugo_Symbol"": ""CDC20"", ""Entrez_Gene_Id"": 991, ""variance"": 1.4306611096650987}]",row:4203|Hugo:CDC20|Entrez:991,CDC20,991,1.4306611096650987,"Among rows mapping to the same target gene, select the probe/row with the highest variance across all expression samples (unsupervised, deterministic; ties broken by smaller Entrez_Gene_Id then lexicographic Hugo_Symbol).",mapped
CDC6,990,,entrez,1,"[{""row_index"": 1333, ""Hugo_Symbol"": ""CDC6"", ""Entrez_Gene_Id"": 990, ""variance"": 0.04886421377471974}]",row:1333|Hugo:CDC6|Entrez:990,CDC6,990,0.04886421377471974,"Among rows mapping to the same target gene, select the probe/row with the highest variance across all expression samples (unsupervised, deterministic; ties broken by smaller Entrez_Gene_Id then lexicographic Hugo_Symbol).",mapped
NUF2,83540,CDCA1,entrez,1,"[{""row_index"": 5495, ""Hugo_Symbol"": ""NUF2"", ""Entrez_Gene_Id"": 83540, ""variance"": 0.18306981949584356}]",row:5495|Hugo:NUF2|Entrez:83540,NUF2,83540,0.18306981949584356,"Among rows mapping to the same target gene, select the probe/row with the highest variance across all expression samples (unsupervised, deterministic; ties broken by smaller Entrez_Gene_Id then lexicographic Hugo_Symbol).",mapped
CDH3,1001,,entrez,1,"[{""row_index"": 20492, ""Hugo_Symbol"": ""CDH3"", ""Entrez_Gene_Id"": 1001, ""variance"": 1.6251418482783657}]",row:20492|Hugo:CDH3|Entrez:1001,CDH3,1001,1.6251418482783657,"Among rows mapping to the same target gene, select the probe/row with the highest variance across all expression samples (unsupervised, deterministic; ties broken by smaller Entrez_Gene_Id then lexicographic Hugo_Symbol).",mapped
CENPF,1063,,entrez,1,"[{""row_index"": 13094, ""Hugo_Symbol"": ""CENPF"", ""Entrez_Gene_Id"": 1063, ""variance"": 0.6786613138644816}]",row:13094|Hugo:CENPF|Entrez:1063,CENPF,1063,0.6786613138644816,"Among rows mapping to the same target gene, select the probe/row with the highest variance across all expression samples (unsupervised, deterministic; ties broken by smaller Entrez_Gene_Id then lexicographic Hugo_Symbol).",mapped
CEP55,55165,,entrez,1,"[{""row_index"": 20215, ""Hugo_Symbol"": ""CEP55"", ""Entrez_Gene_Id"": 55165, ""variance"": 0.559509777205751}]",row:20215|Hugo:CEP55|Entrez:55165,CEP55,55165,0.559509777205751,"Among rows mapping to the same target gene, select the probe/row with the highest variance across all expression samples (unsupervised, deterministic; ties broken by smaller Entrez_Gene_Id then lexicographic Hugo_Symbol).",mapped
CXXC5,51523,,entrez,1,"[{""row_index"": 2697, ""Hugo_Symbol"": ""CXXC5"", ""Entrez_Gene_Id"": 51523, ""variance"": 0.6667758818617889}]",row:2697|Hugo:CXXC5|Entrez:51523,CXXC5,51523,0.6667758818617889,"Among rows mapping to the same target gene, select the probe/row with the highest variance across all expression samples (unsupervised, deterministic; ties broken by smaller Entrez_Gene_Id then lexicographic Hugo_Symbol).",mapped
EGFR,1956,,entrez,1,"[{""row_index"": 2919, ""Hugo_Symbol"": ""EGFR"", ""Entrez_Gene_Id"": 1956, ""variance"": 0.7374804181134722}]",row:2919|Hugo:EGFR|Entrez:1956,EGFR,1956,0.7374804181134722,"Among rows mapping to the same target gene, select the probe/row with the highest variance across all expression samples (unsupervised, deterministic; ties broken by smaller Entrez_Gene_Id then lexicographic Hugo_Symbol).",mapped
